trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
267,1001,-209,0,<DATE> @ 15:55:31.873,CENTER,FALSE,1791,62,,POINT (-122.528646 45.476779),46082,207,FALSE,1769,63,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:51:33.317,13882162,bus,3154
110,1002,0,0,<DATE> @ 15:56:16.143,CENTER,FALSE,,,,POINT (-122.679015 45.515369),46336,206,FALSE,14203,1,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:52:18.432,13882163,bus,3128
267,1001,-220,0,<DATE> @ 15:56:29.165,CENTER,FALSE,1769,63,,POINT (-122.532482 45.476664),46129,207,FALSE,1789,64,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:52:30.618,13882162,bus,3154
110,1002,0,0,<DATE> @ 15:57:15.436,CENTER,FALSE,,,,POINT (-122.679015 45.515369),46395,206,FALSE,14203,1,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:53:18.251,13882163,bus,3128
267,1001,-229,0,<DATE> @ 15:57:29.517,CENTER,FALSE,1789,64,,POINT (-122.536559 45.476551),46180,207,FALSE,1787,65,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:53:33.020,13882162,bus,3154
110,1002,0,0,<DATE> @ 15:58:16.816,CENTER,FALSE,,,,POINT (-122.679015 45.515369),46456,206,FALSE,14203,1,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:54:18.134,13882163,bus,3128
269,1001,-213,0,<DATE> @ 15:58:28.869,CENTER,FALSE,13032,66,,POINT (-122.542584 45.476453),46255,207,FALSE,1774,67,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:54:30.249,13882162,bus,3154
283,1001,-148,0,<DATE> @ 15:59:29.215,CENTER,FALSE,1785,68,,POINT (-122.552724 45.475932),46381,207,FALSE,1783,69,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:55:30.532,13882162,bus,3154
110,1002,0,0,<DATE> @ 15:59:37.251,CENTER,FALSE,,,,POINT (-122.679015 45.515369),46537,206,FALSE,14203,1,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:55:39.108,13882163,bus,3128
296,1001,-109,0,<DATE> @ 16:00:29.511,CENTER,FALSE,1780,71,,POINT (-122.560337 45.477395),46480,207,FALSE,1832,72,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:56:33.283,13882162,bus,3154
110,1002,0,0,<DATE> @ 16:00:36.562,CENTER,FALSE,,,,POINT (-122.679015 45.515369),46596,206,FALSE,14203,1,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:56:39.364,13882163,bus,3128
110,1002,-9,0,<DATE> @ 16:01:23.911,CENTER,FALSE,14203,1,,POINT (-122.678694 45.515284),46634,206,FALSE,3639,2,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:57:30.267,13882163,bus,3128
291,1001,-101,0,<DATE> @ 16:01:28.929,CENTER,FALSE,1832,72,,POINT (-122.565289 45.478899),46547,207,FALSE,1831,73,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster,vm,<DATE> @ 15:57:30.274,13882162,bus,3154
110,1002,3,0,<DATE> @ 16:02:18.230,CENTER,FALSE,3639,2,,POINT (-122.676164 45.514611),46701,206,FALSE,3635,3,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:58:24.776,13882163,bus,3128
110,1002,-56,0,<DATE> @ 16:03:28.782,CENTER,FALSE,3639,2,,POINT (-122.675652 45.514475),46712,206,FALSE,3635,3,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 15:59:30.524,13882163,bus,3128
110,1002,-17,0,<DATE> @ 16:04:29.160,CENTER,FALSE,3635,3,,POINT (-122.668966 45.512658),46812,206,FALSE,2594,4,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 16:00:30.295,13882163,bus,3128
90,1002,36,0,<DATE> @ 16:05:29.480,CENTER,FALSE,3635,3,,POINT (-122.660583 45.512243),46925,206,FALSE,2594,4,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 16:01:30.409,13882163,bus,3128
90,1002,-2,0,<DATE> @ 16:06:30.839,CENTER,FALSE,2594,4,,POINT (-122.658968 45.512238),46948,206,FALSE,7855,5,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 16:02:33.342,13882163,bus,3128
180,1002,30,0,<DATE> @ 16:07:30.154,CENTER,FALSE,7859,6,,POINT (-122.658749 45.5076),47040,206,FALSE,1375,7,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 16:03:33.206,13882163,bus,3128
90,1002,59,0,<DATE> @ 16:08:31.635,CENTER,FALSE,7859,6,,POINT (-122.654653 45.50486),47130,206,FALSE,1375,7,FALSE,084C8D,10,Bus,<DATE> @ 03:00:00.000,10 To 94-Foster,10  Harold St to 94th & Foster via 136th Ave,vm,<DATE> @ 16:04:33.167,13882163,bus,3128
