trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
101,1234,0,1,<DATE> @ 15:55:23.840,POWELL,FALSE,,,0,POINT (-122.76913 45.430038),46283,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:51:27.114,13882783,bus,4004
67,1271,-31,1,<DATE> @ 15:55:31.873,MERLO,FALSE,168,11,0,POINT (-122.717561 45.45458),46260,252,FALSE,212,12,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:51:33.094,13882782,bus,3240
101,1235,0,1,<DATE> @ 15:55:34.877,POWELL,FALSE,,,,POINT (-122.76913 45.430038),46294,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:51:35.962,13882784,bus,3750
90,1269,10,1,<DATE> @ 15:55:37.913,MERLO,FALSE,9526,36,0,POINT (-122.661049 45.522932),46307,253,FALSE,704,37,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:51:39.031,13882780,bus,3627
328,1270,-91,1,<DATE> @ 15:55:36.908,MERLO,FALSE,172,25,0,POINT (-122.677926 45.495619),46205,252,FALSE,177,26,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:51:39.036,13882781,bus,3617
12,1271,-76,1,<DATE> @ 15:56:16.143,MERLO,FALSE,168,11,0,POINT (-122.717355 45.454674),46260,252,FALSE,212,12,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:52:18.191,13882782,bus,3240
61,1239,-461,1,<DATE> @ 15:56:16.143,POWELL,FALSE,5070,45,0,POINT (-122.633778 45.53047),45875,253,FALSE,5076,46,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:52:18.268,13882779,bus,3316
101,1234,-24,1,<DATE> @ 15:56:24.179,POWELL,FALSE,,,0,POINT (-122.76913 45.430038),46320,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:52:30.654,13882783,bus,4004
90,1269,30,1,<DATE> @ 15:56:30.212,MERLO,FALSE,820,38,0,POINT (-122.657017 45.522922),46380,253,FALSE,13327,39,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:52:32.964,13882780,bus,3627
101,1235,0,1,<DATE> @ 15:56:36.221,POWELL,FALSE,,,,POINT (-122.76913 45.430038),46356,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:52:38.794,13882784,bus,3750
338,1270,-70,1,<DATE> @ 15:56:37.346,MERLO,FALSE,195,27,0,POINT (-122.681501 45.50187),46287,252,FALSE,174,28,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:52:38.971,13882781,bus,3617
50,1271,-33,1,<DATE> @ 15:57:15.436,MERLO,FALSE,212,12,0,POINT (-122.709779 45.458705),46362,252,FALSE,162,13,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:53:18.085,13882782,bus,3240
59,1239,-497,1,<DATE> @ 15:57:16.420,POWELL,FALSE,5070,45,0,POINT (-122.63256 45.530935),45899,253,FALSE,5076,46,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:53:18.143,13882779,bus,3316
101,1234,-84,1,<DATE> @ 15:57:24.509,POWELL,FALSE,,,0,POINT (-122.76913 45.430038),46320,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:53:30.299,13882783,bus,4004
89,1269,30,1,<DATE> @ 15:57:29.532,MERLO,FALSE,820,38,0,POINT (-122.653852 45.522907),46439,253,FALSE,13327,39,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:53:33.064,13882780,bus,3627
101,1235,0,1,<DATE> @ 15:57:36.591,POWELL,FALSE,,,,POINT (-122.76913 45.430038),46416,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:53:38.994,13882784,bus,3750
1,1270,-85,1,<DATE> @ 15:57:36.591,MERLO,FALSE,174,28,0,POINT (-122.682026 45.505524),46331,252,FALSE,12762,29,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:53:39.352,13882781,bus,3617
59,1239,-553,1,<DATE> @ 15:58:17.838,POWELL,FALSE,5076,46,0,POINT (-122.632226 45.531071),45904,253,FALSE,5079,47,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:54:21.325,13882779,bus,3316
50,1271,-12,1,<DATE> @ 15:58:26.881,MERLO,FALSE,208,14,0,POINT (-122.702882 45.462674),46454,252,FALSE,159,15,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:54:29.953,13882782,bus,3240
101,1234,-145,1,<DATE> @ 15:58:25.896,POWELL,FALSE,,,0,POINT (-122.76913 45.430038),46320,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:54:30.246,13882783,bus,4004
101,1235,0,1,<DATE> @ 15:58:35.909,POWELL,FALSE,,,,POINT (-122.76913 45.430038),46475,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:54:38.916,13882784,bus,3750
20,1270,-99,1,<DATE> @ 15:58:36.941,MERLO,FALSE,12762,29,0,POINT (-122.6816 45.509229),46377,253,FALSE,12763,30,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:54:39.075,13882781,bus,3617
89,1269,-29,1,<DATE> @ 15:58:36.956,MERLO,FALSE,13327,39,0,POINT (-122.653433 45.522904),46447,253,FALSE,6839,40,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:54:39.085,13882780,bus,3627
0,1269,29,1,<DATE> @ 15:59:10.125,MERLO,FALSE,13327,39,0,POINT (-122.649548 45.524202),46539,253,FALSE,6839,40,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:55:15.512,13882780,bus,3627
51,1271,-5,1,<DATE> @ 15:59:26.229,MERLO,FALSE,11031,16,0,POINT (-122.697896 45.465555),46521,252,FALSE,202,17,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:55:26.869,13882782,bus,3240
20,1270,-134,1,<DATE> @ 15:59:25.213,MERLO,FALSE,12763,30,0,POINT (-122.681328 45.509739),46391,253,FALSE,7772,31,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:55:27.187,13882781,bus,3617
101,1234,-208,1,<DATE> @ 15:59:28.215,POWELL,FALSE,,,0,POINT (-122.76913 45.430038),46320,252,FALSE,5846,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Barbur/Sandy Blvd to Parkrose TC via Portland City Ctr,vm,<DATE> @ 15:55:30.538,13882783,bus,4004
59,1239,-544,1,<DATE> @ 15:59:33.234,POWELL,FALSE,5048,48,0,POINT (-122.627624 45.532932),45989,253,FALSE,10793,49,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 Parkrose TC,12  Sandy Blvd to Parkrose TC,vm,<DATE> @ 15:55:36.102,13882779,bus,3316
