trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
241,1236,-62,0,<DATE> @ 15:55:25.840,POWELL,FALSE,8213,61,0,POINT (-122.72175 45.45331),46223,238,FALSE,10845,62,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur to Tigard TC,vm,<DATE> @ 15:51:26.982,13882466,bus,3958
200,1201,-367,0,<DATE> @ 15:55:23.840,CENTER,FALSE,7616,41,,POINT (-122.681885 45.510813),45916,238,FALSE,10491,42,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur to Tigard TC,vm,<DATE> @ 15:51:27.032,13882467,bus,3134
241,1237,-365,0,<DATE> @ 15:55:34.877,POWELL,FALSE,5060,31,0,POINT (-122.651483 45.523689),45929,239,FALSE,5058,32,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:51:35.949,13882468,bus,3710
241,1268,0,0,<DATE> @ 15:55:33.908,MERLO,FALSE,,,0,POINT (-122.564766 45.55805),46293,239,FALSE,10856,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:51:36.014,13882471,bus,3031
40,1267,-37,0,<DATE> @ 15:55:37.881,MERLO,FALSE,,,0,POINT (-122.564607 45.558801),46260,239,FALSE,10856,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:51:39.022,13882470,bus,3612
199,1201,-400,0,<DATE> @ 15:56:13.103,CENTER,FALSE,7616,41,,POINT (-122.682194 45.510241),45933,238,FALSE,10491,42,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur to Tigard TC,vm,<DATE> @ 15:52:15.972,13882467,bus,3134
48,1267,-80,0,<DATE> @ 15:56:20.160,MERLO,FALSE,,,0,POINT (-122.564524 45.558863),46260,239,FALSE,10856,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:52:21.340,13882470,bus,3612
238,1238,-72,0,<DATE> @ 15:56:27.210,POWELL,FALSE,10834,20,,POINT (-122.620299 45.535945),46275,239,FALSE,9756,21,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:52:30.484,13882469,bus,3942
222,1236,-33,0,<DATE> @ 15:56:24.179,POWELL,FALSE,10845,62,0,POINT (-122.727194 45.450968),46311,238,FALSE,178,63,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur to Tigard TC,vm,<DATE> @ 15:52:30.489,13882466,bus,3958
270,1237,-395,0,<DATE> @ 15:56:35.237,POWELL,FALSE,5058,32,0,POINT (-122.653368 45.523617),45960,239,FALSE,13328,33,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:52:36.004,13882468,bus,3710
241,1268,0,0,<DATE> @ 15:56:35.237,MERLO,FALSE,,,0,POINT (-122.564766 45.55805),46355,239,FALSE,10856,1,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur/Sandy Blvd to Tigard TC via Portland City Center,vm,<DATE> @ 15:52:36.070,13882471,bus,3031
181,1201,-312,0,<DATE> @ 15:57:12.432,CENTER,FALSE,7588,43,,POINT (-122.683183 45.505649),46080,238,FALSE,7591,44,FALSE,084C8D,12,Bus,<DATE> @ 03:00:00.000,12 To Tigard TC,12  Barbur to Tigard TC,vm,<DATE> @ 15:53:15.450,13882467,bus,3134
