trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
89,1441,-295,0,<DATE> @ 15:55:25.840,POWELL,FALSE,2625,13,,POINT (-122.620747 45.51204),45990,260,FALSE,2630,14,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:51:26.913,13883097,bus,3706
90,1441,-294,0,<DATE> @ 15:56:22.160,POWELL,FALSE,2625,13,,POINT (-122.61715 45.512033),46048,260,FALSE,2630,14,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:52:23.909,13883097,bus,3706
90,1434,57,0,<DATE> @ 15:56:38.238,POWELL,FALSE,2596,7,,POINT (-122.64585 45.512188),46415,260,FALSE,2608,8,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:52:38.787,13883098,bus,3714
90,1434,86,0,<DATE> @ 15:57:23.477,POWELL,FALSE,2608,8,,POINT (-122.641931 45.512082),46489,260,FALSE,2614,9,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:53:30.066,13883098,bus,3714
90,1434,97,0,<DATE> @ 15:58:23.865,POWELL,FALSE,2608,8,,POINT (-122.6382 45.512077),46560,260,FALSE,2614,9,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:54:29.997,13883098,bus,3714
90,1434,70,0,<DATE> @ 15:59:21.161,POWELL,FALSE,2614,9,,POINT (-122.636599 45.512072),46591,260,FALSE,2615,10,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:55:24.375,13883098,bus,3714
290,1435,131,1,<DATE> @ 15:59:28.246,POWELL,FALSE,11956,33,0,POINT (-122.678432 45.515978),46659,260,FALSE,13169,34,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:55:30.304,13883435,bus,3318
89,1434,60,0,<DATE> @ 16:00:11.437,POWELL,FALSE,2615,10,,POINT (-122.634468 45.512067),46631,260,FALSE,2620,11,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:56:15.175,13883098,bus,3714
290,1435,102,1,<DATE> @ 16:00:27.537,POWELL,FALSE,11956,33,0,POINT (-122.679841 45.516353),46689,260,FALSE,13169,34,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:56:29.856,13883435,bus,3318
90,1434,97,0,<DATE> @ 16:01:11.853,POWELL,FALSE,2615,10,,POINT (-122.629332 45.512059),46728,260,FALSE,2620,11,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To Foster & 94th,14 Hawthorne/Foster to SE Foster & 94th,vm,<DATE> @ 15:57:14.893,13883098,bus,3714
