trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
112,1402,192,0,<DATE> @ 15:55:32.876,CENTER,FALSE,6427,32,0,POINT (-122.567282 45.478687),46484,261,FALSE,6398,33,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:51:36.153,13883096,bus,4033
0,1402,202,0,<DATE> @ 15:56:33.203,CENTER,FALSE,6398,33,0,POINT (-122.563471 45.477851),46555,261,FALSE,8134,34,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:52:36.208,13883096,bus,4033
110,1402,122,0,<DATE> @ 15:57:03.363,CENTER,FALSE,6427,32,0,POINT (-122.566073 45.478358),46505,261,FALSE,6398,33,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:53:06.074,13883096,bus,4033
177,1441,-243,0,<DATE> @ 15:57:37.608,POWELL,FALSE,7651,16,,POINT (-122.611494 45.510748),46174,261,FALSE,7660,17,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:53:38.975,13883097,bus,3706
291,1402,0,0,<DATE> @ 15:58:32.918,CENTER,FALSE,8134,34,0,POINT (-122.566293 45.479175),46619,261,FALSE,1831,35,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:54:36.315,13883096,bus,4033
179,1441,-175,0,<DATE> @ 15:58:36.909,POWELL,FALSE,7660,17,,POINT (-122.611224 45.505616),46301,261,FALSE,7655,18,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:54:38.903,13883097,bus,3706
156,1441,-225,0,<DATE> @ 15:59:32.231,POWELL,FALSE,7655,18,,POINT (-122.611102 45.505282),46307,261,FALSE,7653,19,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:55:33.160,13883097,bus,3706
180,1441,-144,0,<DATE> @ 16:00:32.559,POWELL,FALSE,8241,20,,POINT (-122.611356 45.499468),46448,261,FALSE,7666,21,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:56:35.869,13883097,bus,3706
135,1441,-147,0,<DATE> @ 16:01:36.996,POWELL,FALSE,1792,22,,POINT (-122.610987 45.496998),46509,261,FALSE,1794,23,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:57:38.926,13883097,bus,3706
127,1441,-153,0,<DATE> @ 16:02:37.384,POWELL,FALSE,1792,22,,POINT (-122.608691 45.49552),46564,261,FALSE,1794,23,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:58:39.102,13883097,bus,3706
120,1441,-115,0,<DATE> @ 16:03:14.615,POWELL,FALSE,1794,23,,POINT (-122.6049 45.49377),46639,261,FALSE,1775,24,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 15:59:17.894,13883097,bus,3706
121,1441,-21,0,<DATE> @ 16:04:15.056,POWELL,FALSE,1775,24,,POINT (-122.597695 45.490029),46794,261,FALSE,10196,25,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:00:17.914,13883097,bus,3706
120,1441,-16,0,<DATE> @ 16:05:12.375,POWELL,FALSE,10196,25,,POINT (-122.594462 45.488692),46856,261,FALSE,1804,26,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:01:15.609,13883097,bus,3706
89,1434,90,0,<DATE> @ 16:06:37.910,POWELL,FALSE,2633,15,,POINT (-122.612566 45.512024),47047,261,FALSE,7651,16,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:02:39.374,13883098,bus,3714
119,1441,-15,0,<DATE> @ 16:06:37.910,POWELL,FALSE,1804,26,,POINT (-122.590166 45.486907),46942,261,FALSE,1810,27,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:02:39.375,13883097,bus,3706
116,1441,-40,0,<DATE> @ 16:07:38.193,POWELL,FALSE,1810,27,,POINT (-122.588273 45.486192),46978,261,FALSE,14482,28,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:03:39.130,13883097,bus,3706
176,1434,56,0,<DATE> @ 16:07:38.193,POWELL,FALSE,2633,15,,POINT (-122.611555 45.511616),47074,261,FALSE,7651,16,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:03:39.142,13883098,bus,3714
177,1434,99,0,<DATE> @ 16:08:21.536,POWELL,FALSE,7651,16,,POINT (-122.611319 45.5084),47160,261,FALSE,7660,17,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:04:24.468,13883098,bus,3714
118,1441,2,0,<DATE> @ 16:08:37.628,POWELL,FALSE,1810,27,,POINT (-122.582916 45.48435),47079,261,FALSE,14482,28,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:04:39.172,13883097,bus,3706
118,1441,29,0,<DATE> @ 16:09:16.861,POWELL,FALSE,14482,28,,POINT (-122.579509 45.48303),47145,261,FALSE,1819,29,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:05:18.325,13883097,bus,3706
170,1434,119,0,<DATE> @ 16:09:19.878,POWELL,FALSE,7660,17,,POINT (-122.611207 45.505507),47238,261,FALSE,7655,18,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:05:21.155,13883098,bus,3714
120,1441,-17,0,<DATE> @ 16:10:16.233,POWELL,FALSE,14482,28,,POINT (-122.578829 45.482757),47159,261,FALSE,1819,29,FALSE,084C8D,14,Bus,<DATE> @ 03:00:00.000,14 To SE Foster & 94th,14 Foster Rd to SE 94th Ave,vm,<DATE> @ 16:06:18.266,13883097,bus,3706
