trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
90,1501,-139,1,<DATE> @ 15:55:20.837,CENTER,FALSE,6168,64,0,POINT (-122.572443 45.518348),46141,272,FALSE,6170,65,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:51:24.720,13884065,bus,3111
120,1540,0,1,<DATE> @ 15:56:14.104,POWELL,FALSE,,,0,POINT (-122.730505 45.553806),46334,133,FALSE,6470,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont/NW 23rd to Gateway TC,vm,<DATE> @ 15:52:15.765,13884069,bus,3935
178,1538,-28,1,<DATE> @ 15:56:14.104,POWELL,FALSE,6013,3,0,POINT (-122.698857 45.535863),46306,133,FALSE,8986,4,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont/NW 23rd to Gateway TC,vm,<DATE> @ 15:52:16.025,13884068,bus,4010
70,1503,-28,1,<DATE> @ 15:56:14.135,CENTER,FALSE,425,30,,POINT (-122.623153 45.516489),46306,272,FALSE,427,31,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:52:16.047,13884066,bus,4025
89,1501,-135,1,<DATE> @ 15:56:21.129,CENTER,FALSE,6171,66,0,POINT (-122.566334 45.518326),46206,272,FALSE,6173,67,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:52:24.090,13884065,bus,3111
111,1537,-139,1,<DATE> @ 15:56:37.221,POWELL,FALSE,14190,29,0,POINT (-122.679777 45.520149),46218,272,FALSE,14191,30,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:52:38.808,13884067,bus,3304
120,1540,0,1,<DATE> @ 15:57:12.432,POWELL,FALSE,,,0,POINT (-122.730505 45.553806),46392,133,FALSE,6470,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont/NW 23rd to Gateway TC,vm,<DATE> @ 15:53:15.361,13884069,bus,3935
191,1501,-145,1,<DATE> @ 15:57:20.443,CENTER,FALSE,8935,68,0,POINT (-122.56237 45.517972),46255,272,FALSE,8912,69,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:53:20.981,13884065,bus,3111
178,1538,-44,1,<DATE> @ 15:57:34.559,POWELL,FALSE,9030,5,0,POINT (-122.698749 45.533331),46370,133,FALSE,10287,6,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont/NW 23rd to Gateway TC,vm,<DATE> @ 15:53:36.367,13884068,bus,4010
110,1537,-157,1,<DATE> @ 15:57:37.561,POWELL,FALSE,14190,29,0,POINT (-122.678508 45.519808),46260,272,FALSE,14191,30,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Gateway TC,15  Belmont to Gateway TC,vm,<DATE> @ 15:53:39.007,13884067,bus,3304
