trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
279,1504,6,0,<DATE> @ 15:56:13.103,CENTER,FALSE,747,59,0,POINT (-122.697994 45.523423),46339,282,FALSE,755,60,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  NW 23rd Ave to Montgomery Park,vm,<DATE> @ 15:52:15.821,13883756,bus,3540
164,1535,0,0,<DATE> @ 15:56:20.145,POWELL,FALSE,,,0,POINT (-122.563455 45.530941),46340,138,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:52:21.096,13883760,bus,3754
270,1543,-195,0,<DATE> @ 15:56:22.160,POWELL,FALSE,6442,26,,POINT (-122.593116 45.516936),46147,138,FALSE,460,27,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:52:23.925,13883758,bus,3733
164,1535,0,0,<DATE> @ 15:57:20.443,POWELL,FALSE,,,0,POINT (-122.563455 45.530941),46400,138,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:53:20.879,13883760,bus,3754
270,1543,-141,0,<DATE> @ 15:57:21.474,POWELL,FALSE,454,29,,POINT (-122.6017 45.516761),46260,138,FALSE,451,30,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:53:24.212,13883758,bus,3733
358,1504,-12,0,<DATE> @ 15:57:28.517,CENTER,FALSE,755,60,0,POINT (-122.698434 45.524883),46396,282,FALSE,7157,61,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  NW 23rd Ave to Montgomery Park,vm,<DATE> @ 15:53:30.217,13883756,bus,3540
164,1535,0,0,<DATE> @ 15:58:19.820,POWELL,FALSE,,,0,POINT (-122.563455 45.530941),46459,138,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:54:21.314,13883760,bus,3754
358,1504,11,0,<DATE> @ 15:58:27.867,CENTER,FALSE,7157,61,0,POINT (-122.698524 45.527319),46478,282,FALSE,7161,62,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  NW 23rd Ave to Montgomery Park,vm,<DATE> @ 15:54:30.175,13883756,bus,3540
269,1543,-188,0,<DATE> @ 15:58:35.909,POWELL,FALSE,451,30,,POINT (-122.6036 45.516755),46287,138,FALSE,449,31,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:54:38.907,13883758,bus,3733
164,1535,0,0,<DATE> @ 15:59:21.161,POWELL,FALSE,,,0,POINT (-122.563455 45.530941),46521,138,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:55:24.397,13883760,bus,3754
269,1543,-183,0,<DATE> @ 15:59:28.246,POWELL,FALSE,446,32,,POINT (-122.6076 45.516542),46345,138,FALSE,444,33,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:55:30.276,13883758,bus,3733
358,1504,29,0,<DATE> @ 15:59:38.304,CENTER,FALSE,7163,63,0,POINT (-122.69862 45.529932),46567,282,FALSE,8981,64,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  NW 23rd Ave to Montgomery Park,vm,<DATE> @ 15:55:39.067,13883756,bus,3540
164,1535,0,0,<DATE> @ 16:00:13.408,POWELL,FALSE,,,0,POINT (-122.563455 45.530941),46573,138,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:56:15.252,13883760,bus,3754
270,1543,-171,0,<DATE> @ 16:00:24.535,POWELL,FALSE,10449,34,,POINT (-122.612163 45.516551),46413,138,FALSE,440,35,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:56:27.057,13883758,bus,3733
356,1504,9,0,<DATE> @ 16:00:37.579,CENTER,FALSE,7163,63,0,POINT (-122.698671 45.531266),46606,282,FALSE,8981,64,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  NW 23rd Ave to Montgomery Park,vm,<DATE> @ 15:56:39.299,13883756,bus,3540
164,1535,50,0,<DATE> @ 16:01:13.856,POWELL,FALSE,8194,1,0,POINT (-122.563455 45.530941),46683,138,FALSE,10864,2,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 Montgomery Pk,15  Belmont/NW 23rd to Montgomery Park,vm,<DATE> @ 15:57:14.918,13883760,bus,3754
