trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
271,1542,66,0,<DATE> @ 15:55:29.873,POWELL,FALSE,10072,76,0,POINT (-122.717051 45.544233),46355,276,FALSE,10073,77,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th,vm,<DATE> @ 15:51:33.224,13883755,bus,3906
0,1542,98,0,<DATE> @ 15:56:30.212,POWELL,FALSE,10074,78,0,POINT (-122.71894 45.548052),46448,276,FALSE,10455,79,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th,vm,<DATE> @ 15:52:32.868,13883755,bus,3906
0,1542,55,0,<DATE> @ 15:57:29.532,POWELL,FALSE,10074,78,0,POINT (-122.71893 45.548942),46464,276,FALSE,10455,79,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th,vm,<DATE> @ 15:53:32.965,13883755,bus,3906
300,1542,160,0,<DATE> @ 15:58:30.900,POWELL,FALSE,6458,81,0,POINT (-122.729655 45.553459),46630,276,FALSE,13637,82,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th,vm,<DATE> @ 15:54:32.926,13883755,bus,3906
322,1542,155,0,<DATE> @ 15:59:30.200,POWELL,FALSE,6458,81,0,POINT (-122.732946 45.554334),46685,276,FALSE,13637,82,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th,vm,<DATE> @ 15:55:33.313,13883755,bus,3906
300,1505,-110,0,<DATE> @ 16:01:27.928,CENTER,FALSE,4029,51,0,POINT (-122.672395 45.518684),46537,281,FALSE,6158,52,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th via Montgomery Park,vm,<DATE> @ 15:57:30.269,13883757,bus,3152
291,1505,-127,0,<DATE> @ 16:02:29.300,CENTER,FALSE,4029,51,0,POINT (-122.674558 45.519518),46582,281,FALSE,6158,52,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th via Montgomery Park,vm,<DATE> @ 15:58:29.909,13883757,bus,3152
290,1505,-166,0,<DATE> @ 16:03:17.648,CENTER,FALSE,6158,52,0,POINT (-122.675077 45.519657),46591,281,FALSE,6160,53,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th via Montgomery Park,vm,<DATE> @ 15:59:21.365,13883757,bus,3152
290,1505,-199,0,<DATE> @ 16:04:31.163,CENTER,FALSE,6160,53,0,POINT (-122.677082 45.520193),46632,281,FALSE,6169,54,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th via Montgomery Park,vm,<DATE> @ 16:00:33.076,13883757,bus,3152
290,1505,-168,0,<DATE> @ 16:05:31.589,CENTER,FALSE,6160,53,0,POINT (-122.680603 45.521136),46723,281,FALSE,6169,54,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon-44th,15  NW 23rd Ave to NW Yeon & 44th via Montgomery Park,vm,<DATE> @ 16:01:33.111,13883757,bus,3152
