trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
345,1536,0,0,<DATE> @ 15:55:25.840,POWELL,FALSE,,,0,POINT (-122.563891 45.530645),46285,142,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:51:26.970,13883761,bus,3916
270,1505,-207,0,<DATE> @ 15:55:37.881,CENTER,FALSE,4023,44,0,POINT (-122.647533 45.517184),46090,142,FALSE,4022,45,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:51:38.970,13883757,bus,3152
163,1506,-68,0,<DATE> @ 15:55:35.877,CENTER,FALSE,6529,8,0,POINT (-122.558356 45.51737),46227,142,FALSE,11026,9,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:51:38.979,13883759,bus,3149
270,1505,-215,0,<DATE> @ 15:56:18.160,CENTER,FALSE,4022,45,0,POINT (-122.649516 45.51719),46123,142,FALSE,4019,46,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:52:21.287,13883757,bus,3152
345,1536,0,0,<DATE> @ 15:56:26.195,POWELL,FALSE,,,0,POINT (-122.563891 45.530645),46346,142,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:52:30.483,13883761,bus,3916
195,1506,-35,0,<DATE> @ 15:56:35.237,CENTER,FALSE,11411,10,0,POINT (-122.554829 45.514217),46320,142,FALSE,8917,11,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:52:36.200,13883759,bus,3149
345,1536,0,0,<DATE> @ 15:57:26.509,POWELL,FALSE,,,0,POINT (-122.563891 45.530645),46406,142,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:53:30.165,13883761,bus,3916
268,1505,-212,0,<DATE> @ 15:57:27.516,CENTER,FALSE,4016,47,0,POINT (-122.653667 45.517203),46195,142,FALSE,4014,48,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:53:30.287,13883757,bus,3152
270,1506,-44,0,<DATE> @ 15:57:37.608,CENTER,FALSE,11411,10,0,POINT (-122.558583 45.514095),46373,142,FALSE,8917,11,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:53:39.191,13883759,bus,3149
345,1536,0,0,<DATE> @ 15:58:25.896,POWELL,FALSE,,,0,POINT (-122.563891 45.530645),46465,142,FALSE,8194,1,FALSE,084C8D,15,Bus,<DATE> @ 03:00:00.000,15 To NW Yeon,15  Belmont/NW 23rd to NW Yeon via City Center,vm,<DATE> @ 15:54:30.117,13883761,bus,3916
