trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
269,5201,-154,1,<DATE> @ 15:56:15.127,CENTER,FALSE,13982,5,0,POINT (-122.586913 45.432572),46181,387,FALSE,13983,6,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 15:52:18.316,13900931,bus,3411
265,5201,-96,1,<DATE> @ 15:57:15.436,CENTER,FALSE,13983,6,0,POINT (-122.59613 45.431909),46299,387,FALSE,13984,7,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 15:53:18.182,13900931,bus,3411
174,5201,0,1,<DATE> @ 16:33:37.555,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48577,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:29:39.267,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:34:37.799,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48637,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:30:39.304,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:35:38.217,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48698,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:31:39.329,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:36:37.565,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48757,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:32:39.298,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:37:37.899,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48817,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:33:39.421,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:38:38.300,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48878,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:34:39.530,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:39:37.808,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48937,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:35:39.605,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:40:38.053,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),48998,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:36:39.411,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:41:37.525,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),49057,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:37:39.783,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:42:09.490,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),49089,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:38:12.435,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:43:38.060,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),49178,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:39:39.668,13900932,bus,3411
174,5201,0,1,<DATE> @ 16:44:38.423,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),49238,387,FALSE,13248,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 Milwaukie,152  To Milwaukie via Harmony Rd,vm,<DATE> @ 16:40:39.581,13900932,bus,3411
