trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
81,5201,0,0,<DATE> @ 16:09:15.845,CENTER,FALSE,,,0,POINT (-122.640505 45.444891),47115,381,FALSE,8225,1,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:05:18.397,13900899,bus,3411
349,5201,-17,0,<DATE> @ 16:10:24.269,CENTER,FALSE,8225,1,0,POINT (-122.640419 45.445149),47167,381,FALSE,2569,2,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:06:27.182,13900899,bus,3411
88,5201,0,0,<DATE> @ 16:11:25.613,CENTER,FALSE,2569,2,0,POINT (-122.636254 45.446449),47245,381,FALSE,2572,3,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:07:27.290,13900899,bus,3411
162,5201,18,0,<DATE> @ 16:12:23.938,CENTER,FALSE,2568,4,0,POINT (-122.631837 45.445419),47321,381,FALSE,13978,5,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:08:30.270,13900899,bus,3411
154,5201,97,0,<DATE> @ 16:13:24.263,CENTER,FALSE,13978,5,0,POINT (-122.625303 45.440187),47461,381,FALSE,8152,6,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:09:27.127,13900899,bus,3411
63,5201,57,0,<DATE> @ 16:14:24.606,CENTER,FALSE,13978,5,0,POINT (-122.624625 45.439355),47481,381,FALSE,8152,6,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:10:27.154,13900899,bus,3411
181,5201,94,0,<DATE> @ 16:15:25.113,CENTER,FALSE,8152,6,0,POINT (-122.618722 45.4385),47579,381,FALSE,10489,7,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:11:27.395,13900899,bus,3411
123,5201,94,0,<DATE> @ 16:16:22.346,CENTER,FALSE,10489,7,0,POINT (-122.617044 45.436011),47636,381,FALSE,8153,8,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:12:24.068,13900899,bus,3411
120,5201,114,0,<DATE> @ 16:17:23.802,CENTER,FALSE,8154,9,0,POINT (-122.612701 45.433533),47717,381,FALSE,8155,10,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:13:27.278,13900899,bus,3411
113,5201,96,0,<DATE> @ 16:18:23.021,CENTER,FALSE,8154,9,0,POINT (-122.609781 45.432947),47759,381,FALSE,8155,10,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:14:24.664,13900899,bus,3411
113,5201,36,0,<DATE> @ 16:19:23.448,CENTER,FALSE,8154,9,0,POINT (-122.609781 45.432947),47759,381,FALSE,8155,10,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:15:24.152,13900899,bus,3411
113,5201,-22,0,<DATE> @ 16:20:22.810,CENTER,FALSE,8154,9,0,POINT (-122.609781 45.432947),47760,381,FALSE,8155,10,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:16:24.334,13900899,bus,3411
89,5201,0,0,<DATE> @ 16:21:23.151,CENTER,FALSE,9503,11,0,POINT (-122.604922 45.430924),47843,381,FALSE,8156,12,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:17:24.437,13900899,bus,3411
60,5201,25,0,<DATE> @ 16:22:22.502,CENTER,FALSE,8156,12,0,POINT (-122.598743 45.43185),47927,381,FALSE,13979,13,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:18:24.063,13900899,bus,3411
32,5201,-49,0,<DATE> @ 16:23:37.952,CENTER,FALSE,8156,12,0,POINT (-122.598555 45.431965),47928,381,FALSE,13979,13,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:19:39.267,13900899,bus,3411
76,5201,25,0,<DATE> @ 16:24:38.395,CENTER,FALSE,13979,13,0,POINT (-122.587967 45.432518),48063,381,FALSE,13980,14,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:20:39.298,13900899,bus,3411
89,5201,10,0,<DATE> @ 16:25:16.653,CENTER,FALSE,13980,14,0,POINT (-122.586111 45.432573),48086,381,FALSE,13981,15,FALSE,084C8D,152,Bus,<DATE> @ 03:00:00.000,152 To Clackamas,152  Clackamas Town Center via Harmony Rd,vm,<DATE> @ 16:21:18.471,13900899,bus,3411
