trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
99,5303,-49,0,<DATE> @ 15:55:26.903,CENTER,FALSE,8208,2,0,POINT (-122.667513 45.419682),46237,736,FALSE,3,3,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:51:29.977,13900964,bus,3167
304,5301,7,1,<DATE> @ 15:55:26.903,CENTER,FALSE,14506,17,0,POINT (-122.672712 45.387156),46293,738,FALSE,14507,18,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:51:29.987,13900987,bus,4021
271,5301,44,1,<DATE> @ 15:56:27.210,CENTER,FALSE,14506,17,0,POINT (-122.683867 45.391441),46391,738,FALSE,14507,18,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:52:30.652,13900987,bus,4021
100,5303,-59,0,<DATE> @ 15:56:27.210,CENTER,FALSE,3,3,0,POINT (-122.66372 45.41925),46288,736,FALSE,5510,4,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:52:30.654,13900964,bus,3167
189,5303,-28,0,<DATE> @ 15:57:26.540,CENTER,FALSE,5513,5,0,POINT (-122.66388 45.414923),46378,736,FALSE,5511,6,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:53:30.296,13900964,bus,3167
20,5301,41,1,<DATE> @ 15:57:26.540,CENTER,FALSE,14506,17,0,POINT (-122.689903 45.393753),46447,738,FALSE,14507,18,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:53:30.301,13900987,bus,4021
188,5303,-37,0,<DATE> @ 15:58:16.816,CENTER,FALSE,5511,6,0,POINT (-122.664341 45.412808),46419,736,FALSE,3812,7,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:54:18.158,13900964,bus,3167
40,5301,47,1,<DATE> @ 15:58:26.881,CENTER,FALSE,14506,17,0,POINT (-122.685345 45.399123),46513,738,FALSE,14507,18,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:54:30.255,13900987,bus,4021
246,5303,-8,0,<DATE> @ 15:59:16.128,CENTER,FALSE,3812,7,0,POINT (-122.668641 45.409791),46508,736,FALSE,3813,8,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:55:18.235,13900964,bus,3167
40,5301,9,1,<DATE> @ 15:59:27.213,CENTER,FALSE,14506,17,0,POINT (-122.683422 45.400731),46536,738,FALSE,14507,18,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:55:30.543,13900987,bus,4021
246,5303,-65,0,<DATE> @ 16:00:16.424,CENTER,FALSE,3812,7,0,POINT (-122.668835 45.409732),46511,736,FALSE,3813,8,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:56:17.965,13900964,bus,3167
40,5301,-12,1,<DATE> @ 16:00:27.537,CENTER,FALSE,14507,18,0,POINT (-122.679959 45.403557),46575,738,FALSE,5307,19,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:56:30.018,13900987,bus,4021
247,5303,-93,0,<DATE> @ 16:01:16.890,CENTER,FALSE,3812,7,0,POINT (-122.671052 45.40906),46543,736,FALSE,3813,8,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:57:18.071,13900964,bus,3167
23,5301,-41,1,<DATE> @ 16:01:26.943,CENTER,FALSE,14507,18,0,POINT (-122.67806 45.40597),46605,738,FALSE,5307,19,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to Lake Oswego,vm,<DATE> @ 15:57:30.291,13900987,bus,4021
246,5303,-145,0,<DATE> @ 16:02:16.244,CENTER,FALSE,3812,7,0,POINT (-122.671578 45.4089),46551,736,FALSE,3813,8,FALSE,084C8D,153,Bus,<DATE> @ 03:00:00.000,153 Stafford/Salamo,153 Stafford/Salamo to West Linn,vm,<DATE> @ 15:58:18.252,13900964,bus,3167
