trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
85,5535,-83,0,<DATE> @ 15:55:37.866,POWELL,FALSE,13884,18,0,POINT (-122.497417 45.426918),46214,868,FALSE,13885,19,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 15:51:38.775,13901074,bus,3744
102,5535,-75,0,<DATE> @ 15:56:38.238,POWELL,FALSE,13885,19,0,POINT (-122.489801 45.426892),46283,868,FALSE,13887,20,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 15:52:38.800,13901074,bus,3744
0,5535,-129,0,<DATE> @ 15:57:36.559,POWELL,FALSE,13885,19,0,POINT (-122.489537 45.42695),46287,868,FALSE,13887,20,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 15:53:38.993,13901074,bus,3744
89,5535,-154,0,<DATE> @ 15:58:33.940,POWELL,FALSE,13887,20,0,POINT (-122.489202 45.429159),46319,868,FALSE,13888,21,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 15:54:36.112,13901074,bus,3744
353,5536,-13,0,<DATE> @ 16:06:33.861,POWELL,FALSE,13248,1,0,POINT (-122.56906 45.435676),46940,868,FALSE,12922,2,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:02:36.178,13901075,bus,4009
272,5536,19,0,<DATE> @ 16:07:33.155,POWELL,FALSE,13248,1,0,POINT (-122.571133 45.43721),47032,868,FALSE,12922,2,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:03:36.506,13901075,bus,4009
271,5536,26,0,<DATE> @ 16:08:33.609,POWELL,FALSE,13248,1,0,POINT (-122.573947 45.43741),47099,868,FALSE,12922,2,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:04:36.542,13901075,bus,4009
270,5536,-5,0,<DATE> @ 16:09:11.872,POWELL,FALSE,12922,2,0,POINT (-122.574466 45.437415),47106,868,FALSE,11926,3,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:05:15.653,13901075,bus,4009
90,5536,-34,0,<DATE> @ 16:10:38.372,POWELL,FALSE,12922,2,0,POINT (-122.573614 45.438278),47164,868,FALSE,11926,3,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:06:39.402,13901075,bus,4009
270,5536,-133,0,<DATE> @ 16:11:13.511,POWELL,FALSE,13248,1,0,POINT (-122.574006 45.437411),47100,868,FALSE,12922,2,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:07:15.494,13901075,bus,4009
127,5536,36,0,<DATE> @ 16:12:22.936,POWELL,FALSE,11926,3,0,POINT (-122.562255 45.435061),47338,868,FALSE,11453,4,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:08:24.484,13901075,bus,4009
178,5536,-12,0,<DATE> @ 16:13:37.405,POWELL,FALSE,11453,4,0,POINT (-122.561736 45.433649),47365,868,FALSE,11520,5,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:09:39.471,13901075,bus,4009
178,5536,-71,0,<DATE> @ 16:14:36.629,POWELL,FALSE,11453,4,0,POINT (-122.561736 45.433649),47365,868,FALSE,11520,5,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:10:39.244,13901075,bus,4009
82,5536,-114,0,<DATE> @ 16:15:37.088,POWELL,FALSE,11453,4,0,POINT (-122.560775 45.433383),47383,868,FALSE,11520,5,FALSE,084C8D,155,Bus,<DATE> @ 03:00:00.000,155 To Sunnyside-172nd Ave,155  Sunnyside to 172nd Ave,vm,<DATE> @ 16:11:39.464,13901075,bus,4009
