trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
353,5634,0,0,<DATE> @ 16:09:12.827,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47112,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:05:15.472,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:10:11.261,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47171,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:06:15.362,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:11:13.511,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47233,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:07:15.191,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:12:11.849,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47291,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:08:15.367,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:13:13.269,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47353,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:09:15.105,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:14:12.615,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47412,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:10:15.287,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:15:12.966,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47472,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:11:15.299,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:16:12.341,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47532,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:12:15.518,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:17:13.656,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47593,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:13:15.384,13901307,bus,3749
353,5634,0,0,<DATE> @ 16:18:12.014,POWELL,FALSE,,,,POINT (-122.569189 45.436463),47652,874,FALSE,13248,1,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To 147th-Sunnyside,156  Mather Rd to 147th & Sunnyside,vm,<DATE> @ 16:14:15.127,13901307,bus,3749
