trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
42,5634,82,1,<DATE> @ 15:56:22.160,POWELL,FALSE,9005,22,,POINT (-122.552462 45.432147),46424,876,FALSE,11929,23,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:52:23.930,13901328,bus,3749
1,5634,43,1,<DATE> @ 15:57:22.459,POWELL,FALSE,9005,22,,POINT (-122.552085 45.433516),46445,876,FALSE,11929,23,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:53:24.164,13901328,bus,3749
265,5634,18,1,<DATE> @ 15:58:22.848,POWELL,FALSE,9005,22,,POINT (-122.55508 45.433719),46480,876,FALSE,11929,23,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:54:24.138,13901328,bus,3749
267,5634,5,1,<DATE> @ 15:59:23.181,POWELL,FALSE,11929,23,,POINT (-122.559566 45.433529),46528,876,FALSE,13077,24,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:55:24.393,13901328,bus,3749
267,5634,-55,1,<DATE> @ 16:00:24.504,POWELL,FALSE,11929,23,,POINT (-122.559566 45.433529),46529,876,FALSE,13077,24,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:56:27.051,13901328,bus,3749
179,5634,-97,1,<DATE> @ 16:01:19.908,POWELL,FALSE,11929,23,,POINT (-122.559751 45.432769),46542,876,FALSE,13077,24,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:57:21.212,13901328,bus,3749
0,5634,-101,1,<DATE> @ 16:02:12.210,POWELL,FALSE,13077,24,,POINT (-122.561648 45.433067),46591,876,FALSE,11454,25,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:58:15.271,13901328,bus,3749
282,5634,-94,1,<DATE> @ 16:03:11.612,POWELL,FALSE,11454,25,,POINT (-122.56354 45.435644),46657,876,FALSE,11927,26,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 15:59:15.048,13901328,bus,3749
264,5634,-51,1,<DATE> @ 16:04:12.022,POWELL,FALSE,11927,26,,POINT (-122.568274 45.438314),46761,876,FALSE,12921,27,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 16:00:15.195,13901328,bus,3749
270,5634,-7,1,<DATE> @ 16:05:11.375,POWELL,FALSE,11927,26,,POINT (-122.57553 45.438279),46864,876,FALSE,12921,27,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 16:01:15.637,13901328,bus,3749
90,5634,-28,1,<DATE> @ 16:06:33.861,POWELL,FALSE,12921,27,,POINT (-122.573067 45.437399),46925,876,FALSE,13247,28,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 16:02:36.000,13901328,bus,3749
172,5634,0,1,<DATE> @ 16:07:33.155,POWELL,FALSE,12921,27,,POINT (-122.569146 45.436203),47013,876,FALSE,13247,28,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 16:03:36.351,13901328,bus,3749
328,5634,0,1,<DATE> @ 16:08:22.536,POWELL,FALSE,13247,28,,POINT (-122.56809 45.435757),47051,876,FALSE,13248,29,FALSE,084C8D,156,Bus,<DATE> @ 03:00:00.000,156 To Clackamas Town Ctr,156  Mather Rd to Clackamas Town Center,vm,<DATE> @ 16:04:24.512,13901328,bus,3749
