trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
291,1603,-37,0,<DATE> @ 15:55:37.913,CENTER,FALSE,,,0,POINT (-122.672006 45.520358),46260,288,FALSE,12798,1,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:51:38.961,13884275,bus,3141
291,1603,-98,0,<DATE> @ 15:56:38.223,CENTER,FALSE,,,0,POINT (-122.672006 45.520358),46260,288,FALSE,12798,1,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:52:38.922,13884275,bus,3141
291,1603,-138,0,<DATE> @ 15:57:37.576,CENTER,FALSE,12798,1,0,POINT (-122.672501 45.520491),46279,288,FALSE,13168,2,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:53:39.199,13884275,bus,3141
291,1603,-132,0,<DATE> @ 15:58:36.956,CENTER,FALSE,12798,1,0,POINT (-122.674304 45.520973),46344,288,FALSE,13168,2,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:54:39.031,13884275,bus,3141
290,1603,-98,0,<DATE> @ 15:59:38.288,CENTER,FALSE,12798,1,0,POINT (-122.677039 45.521705),46440,288,FALSE,13168,2,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:55:39.112,13884275,bus,3141
21,1603,-115,0,<DATE> @ 16:00:20.457,CENTER,FALSE,13168,2,0,POINT (-122.676942 45.522228),46465,288,FALSE,8886,3,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:56:21.122,13884275,bus,3141
20,1603,-150,0,<DATE> @ 16:01:18.861,CENTER,FALSE,13168,2,0,POINT (-122.676577 45.522816),46488,288,FALSE,8886,3,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:57:21.372,13884275,bus,3141
358,1603,-160,0,<DATE> @ 16:02:20.246,CENTER,FALSE,13168,2,0,POINT (-122.676491 45.524315),46540,288,FALSE,8886,3,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:58:24.788,13884275,bus,3141
88,1603,-165,0,<DATE> @ 16:03:18.601,CENTER,FALSE,13168,2,0,POINT (-122.675536 45.525224),46593,288,FALSE,8886,3,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 15:59:21.365,13884275,bus,3141
88,1603,-120,0,<DATE> @ 16:04:19.059,CENTER,FALSE,1612,4,0,POINT (-122.670518 45.525306),46699,288,FALSE,9873,5,FALSE,084C8D,16,Bus,<DATE> @ 03:00:00.000,16 To Sauvie Island,16  Front Ave/St Helens Rd to Sauvie Island,vm,<DATE> @ 16:00:21.407,13884275,bus,3141
