trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
358,1713,-118,1,<DATE> @ 15:55:37.866,CENTER,FALSE,9300,62,0,POINT (-122.677575 45.52715),46179,320,FALSE,625,63,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:51:39.001,13884799,bus,4051
273,1714,-460,1,<DATE> @ 15:55:37.881,CENTER,FALSE,2748,33,0,POINT (-122.598283 45.490316),45837,316,FALSE,2747,34,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:51:39.005,13884801,bus,4044
87,1715,0,1,<DATE> @ 15:56:13.103,CENTER,FALSE,,,0,POINT (-122.537068 45.489621),46333,316,FALSE,2703,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:52:15.947,13884803,bus,3122
270,1714,-480,1,<DATE> @ 15:56:15.127,CENTER,FALSE,2747,34,0,POINT (-122.599681 45.490271),45855,316,FALSE,2743,35,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:52:18.477,13884801,bus,4044
4,1713,-107,1,<DATE> @ 15:56:38.223,CENTER,FALSE,625,63,0,POINT (-122.67767 45.529703),46251,320,FALSE,611,64,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:52:38.957,13884799,bus,4051
87,1715,0,1,<DATE> @ 15:57:37.576,CENTER,FALSE,,,0,POINT (-122.537068 45.489621),46417,316,FALSE,2703,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:53:39.168,13884803,bus,3122
270,1714,-439,1,<DATE> @ 15:57:36.575,CENTER,FALSE,2741,36,0,POINT (-122.609449 45.490294),45977,316,FALSE,2739,37,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:53:39.276,13884801,bus,4044
51,1713,-76,1,<DATE> @ 15:57:37.608,CENTER,FALSE,625,63,0,POINT (-122.67404 45.531915),46341,320,FALSE,611,64,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:53:39.288,13884799,bus,4051
89,1715,-28,1,<DATE> @ 15:58:33.940,CENTER,FALSE,2703,1,0,POINT (-122.536582 45.489626),46445,316,FALSE,2684,2,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:54:36.279,13884803,bus,3122
269,1714,-463,1,<DATE> @ 15:58:37.911,CENTER,FALSE,2737,38,0,POINT (-122.612347 45.490294),46014,316,FALSE,2735,39,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:54:39.061,13884801,bus,4044
51,1713,-57,1,<DATE> @ 15:58:37.926,CENTER,FALSE,625,63,0,POINT (-122.670658 45.533701),46420,320,FALSE,611,64,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:54:39.065,13884799,bus,4051
90,1713,-33,1,<DATE> @ 15:59:28.246,CENTER,FALSE,611,64,0,POINT (-122.666983 45.534383),46495,320,FALSE,6220,65,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:55:30.545,13884799,bus,4051
89,1715,-5,1,<DATE> @ 15:59:34.251,CENTER,FALSE,2707,4,0,POINT (-122.527501 45.48966),46529,316,FALSE,2685,5,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:55:36.270,13884803,bus,3122
269,1714,-398,1,<DATE> @ 15:59:38.242,CENTER,FALSE,2729,41,0,POINT (-122.622461 45.490301),46140,316,FALSE,2727,42,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:55:39.161,13884801,bus,4044
89,1715,-35,1,<DATE> @ 16:00:19.457,CENTER,FALSE,2685,5,0,POINT (-122.525883 45.489664),46544,316,FALSE,2708,6,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:56:21.089,13884803,bus,3122
90,1713,-36,1,<DATE> @ 16:00:28.511,CENTER,FALSE,6220,65,0,POINT (-122.663829 45.534357),46552,320,FALSE,6232,66,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:56:30.037,13884799,bus,4051
270,1714,-395,1,<DATE> @ 16:00:37.595,CENTER,FALSE,2723,43,0,POINT (-122.627699 45.490303),46202,316,FALSE,2721,44,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:56:39.420,13884801,bus,4044
180,1715,-33,1,<DATE> @ 16:01:23.911,CENTER,FALSE,2708,6,0,POINT (-122.523575 45.485731),46610,316,FALSE,14416,7,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:57:30.249,13884803,bus,3122
270,1714,-348,1,<DATE> @ 16:01:35.996,CENTER,FALSE,2719,45,0,POINT (-122.636601 45.490308),46307,316,FALSE,2715,46,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:57:39.115,13884801,bus,4044
89,1713,-55,1,<DATE> @ 16:01:37.997,CENTER,FALSE,6232,66,0,POINT (-122.661199 45.534365),46602,320,FALSE,6218,67,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:57:39.118,13884799,bus,4051
89,1713,-89,1,<DATE> @ 16:02:17.198,CENTER,FALSE,6218,67,0,POINT (-122.66085 45.534364),46608,320,FALSE,6240,68,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:58:18.279,13884799,bus,4051
270,1715,-63,1,<DATE> @ 16:02:26.314,CENTER,FALSE,14416,7,0,POINT (-122.524 45.483437),46643,316,FALSE,2540,8,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:58:27.107,13884803,bus,3122
270,1714,-348,1,<DATE> @ 16:02:33.398,CENTER,FALSE,2713,47,0,POINT (-122.64162 45.490299),46365,316,FALSE,6876,48,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:58:36.496,13884801,bus,4044
270,1715,-57,1,<DATE> @ 16:03:18.617,CENTER,FALSE,2507,10,0,POINT (-122.530222 45.483482),46701,316,FALSE,2538,11,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:59:21.339,13884803,bus,3122
0,1714,-304,1,<DATE> @ 16:03:30.798,CENTER,FALSE,2713,47,0,POINT (-122.648382 45.491681),46466,316,FALSE,6876,48,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:59:33.304,13884801,bus,4044
90,1713,-107,1,<DATE> @ 16:03:37.835,CENTER,FALSE,6240,68,0,POINT (-122.657481 45.534355),46670,320,FALSE,6242,69,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 15:59:39.418,13884799,bus,4051
358,1714,-310,1,<DATE> @ 16:04:13.055,CENTER,FALSE,6849,49,0,POINT (-122.648338 45.494016),46503,316,FALSE,13693,50,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:00:15.350,13884801,bus,4044
263,1715,-52,1,<DATE> @ 16:04:19.168,CENTER,FALSE,2506,12,0,POINT (-122.537333 45.483369),46767,316,FALSE,6660,13,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:00:21.390,13884803,bus,3122
90,1713,-98,1,<DATE> @ 16:04:38.204,CENTER,FALSE,6242,69,0,POINT (-122.653697 45.534341),46740,320,FALSE,6216,70,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:00:39.408,13884799,bus,4051
271,1714,-291,1,<DATE> @ 16:05:13.440,CENTER,FALSE,13693,50,0,POINT (-122.650034 45.500436),46582,316,FALSE,4538,51,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:01:15.928,13884801,bus,4044
1,1715,-75,1,<DATE> @ 16:05:30.495,CENTER,FALSE,6660,13,0,POINT (-122.537838 45.486482),46815,316,FALSE,9487,14,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:01:33.096,13884803,bus,3122
89,1713,-113,1,<DATE> @ 16:05:31.589,CENTER,FALSE,6216,70,0,POINT (-122.650731 45.534334),46778,320,FALSE,10425,71,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:01:33.134,13884799,bus,4051
270,1715,-96,1,<DATE> @ 16:06:36.877,CENTER,FALSE,9487,14,0,POINT (-122.538135 45.489625),46860,316,FALSE,2705,15,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:02:39.588,13884803,bus,3122
0,1714,-284,1,<DATE> @ 16:06:35.893,CENTER,FALSE,4538,51,0,POINT (-122.656793 45.502349),46671,316,FALSE,13825,52,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:02:39.645,13884801,bus,4044
90,1713,-172,1,<DATE> @ 16:06:36.877,CENTER,FALSE,10425,71,0,POINT (-122.650266 45.534332),46784,320,FALSE,6227,72,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:02:39.673,13884799,bus,4051
271,1715,-127,1,<DATE> @ 16:07:14.118,CENTER,FALSE,2705,15,0,POINT (-122.538669 45.489631),46867,316,FALSE,2683,16,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:03:15.347,13884803,bus,3122
90,1713,-183,1,<DATE> @ 16:07:13.085,CENTER,FALSE,6227,72,0,POINT (-122.648275 45.534308),46810,320,FALSE,6235,73,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:03:15.388,13884799,bus,4051
272,1714,-278,1,<DATE> @ 16:07:36.158,CENTER,FALSE,4538,51,0,POINT (-122.657552 45.504872),46738,316,FALSE,13825,52,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Holgate/Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:03:39.409,13884801,bus,4044
90,1713,-185,1,<DATE> @ 16:08:14.518,CENTER,FALSE,6235,73,0,POINT (-122.643598 45.534303),46869,320,FALSE,6237,74,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To Saratoga,17  Broadway to NE Saratoga & 27th,vm,<DATE> @ 16:04:15.478,13884799,bus,4051
