trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
90,1705,99,0,<DATE> @ 15:55:24.840,CENTER,FALSE,2691,74,0,POINT (-122.553099 45.489776),46383,310,FALSE,2692,75,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:51:26.949,13884519,bus,4226
217,1701,0,0,<DATE> @ 15:55:25.840,CENTER,FALSE,,,0,POINT (-122.675356 45.527684),46285,310,FALSE,9573,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:51:27.040,13884522,bus,3129
46,1706,64,0,<DATE> @ 15:55:30.889,CENTER,FALSE,13732,40,0,POINT (-122.6674 45.504681),46354,310,FALSE,13772,41,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:51:33.171,13884521,bus,4206
89,1716,-13,0,<DATE> @ 15:56:13.103,CENTER,FALSE,2722,20,0,POINT (-122.623615 45.490297),46320,310,FALSE,2726,21,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:52:15.836,13884520,bus,3543
186,1702,0,0,<DATE> @ 15:56:14.104,CENTER,FALSE,,,,POINT (-122.675301 45.527756),46334,310,FALSE,9573,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:52:15.976,13884524,bus,3133
180,1707,4,0,<DATE> @ 15:56:20.160,CENTER,FALSE,7198,20,0,POINT (-122.641163 45.539048),46344,306,FALSE,7205,21,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate/Broadway to SE 122nd Ave via City Center,vm,<DATE> @ 15:52:21.255,13884523,bus,3119
91,1705,194,0,<DATE> @ 15:56:24.179,CENTER,FALSE,2699,77,0,POINT (-122.542616 45.489687),46538,310,FALSE,2701,78,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:52:30.408,13884519,bus,4226
90,1706,44,0,<DATE> @ 15:56:32.212,CENTER,FALSE,13732,40,0,POINT (-122.66282 45.506555),46396,310,FALSE,13772,41,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:52:32.824,13884521,bus,4206
223,1701,-36,0,<DATE> @ 15:56:36.221,CENTER,FALSE,,,0,POINT (-122.675376 45.527667),46320,310,FALSE,9573,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:52:38.918,13884522,bus,3129
186,1702,0,0,<DATE> @ 15:57:12.432,CENTER,FALSE,,,,POINT (-122.675301 45.527756),46392,310,FALSE,9573,1,FALSE,084C8D,17,Bus,<DATE> @ 03:00:00.000,17 To SE 122nd,17  Holgate to SE 122nd Ave,vm,<DATE> @ 15:53:15.451,13884524,bus,3133
