trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
103,1903,-215,1,<DATE> @ 15:55:35.861,CENTER,FALSE,,,,POINT (-122.565331 45.468331),46080,351,FALSE,13145,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:51:38.889,13885233,bus,3549
103,1903,-266,1,<DATE> @ 15:56:26.195,CENTER,FALSE,,,,POINT (-122.565331 45.468331),46080,351,FALSE,13145,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:52:30.546,13885233,bus,3549
99,1903,-287,1,<DATE> @ 15:57:33.552,CENTER,FALSE,4032,3,,POINT (-122.559364 45.465641),46126,351,FALSE,4036,4,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:53:36.272,13885233,bus,3549
94,1903,-282,1,<DATE> @ 15:58:33.940,CENTER,FALSE,4036,4,,POINT (-122.548835 45.464686),46191,351,FALSE,6567,5,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:54:36.237,13885233,bus,3549
269,1903,-313,1,<DATE> @ 15:59:19.161,CENTER,FALSE,6567,5,,POINT (-122.548415 45.464713),46206,351,FALSE,4037,6,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:55:24.636,13885233,bus,3549
285,1903,-282,1,<DATE> @ 16:00:19.457,CENTER,FALSE,4035,7,,POINT (-122.558915 45.465578),46297,351,FALSE,4033,8,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:56:21.066,13885233,bus,3549
273,1903,-276,1,<DATE> @ 16:01:36.964,CENTER,FALSE,4040,9,,POINT (-122.567402 45.468368),46380,351,FALSE,10307,10,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:57:39.050,13885233,bus,3549
272,1903,-314,1,<DATE> @ 16:02:37.384,CENTER,FALSE,10307,10,,POINT (-122.569073 45.468429),46403,351,FALSE,1765,11,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:58:39.210,13885233,bus,3549
271,1903,-283,1,<DATE> @ 16:03:11.612,CENTER,FALSE,1729,12,,POINT (-122.573968 45.468549),46468,351,FALSE,1762,13,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 15:59:15.235,13885233,bus,3549
359,1903,-261,1,<DATE> @ 16:04:33.180,CENTER,FALSE,1760,14,,POINT (-122.579059 45.470632),46572,351,FALSE,7982,15,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 16:00:36.397,13885233,bus,3549
0,1903,-227,1,<DATE> @ 16:05:33.531,CENTER,FALSE,7970,16,,POINT (-122.579078 45.47575),46666,351,FALSE,1551,17,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Gateway via Union Manor,"19  Woodstock/Glisan to Gateway via Union Manor, City Ctr",vm,<DATE> @ 16:01:36.371,13885233,bus,3549
