trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
174,2435,0,0,<DATE> @ 15:55:17.805,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46277,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:51:24.786,13885043,bus,4016
200,1936,-184,0,<DATE> @ 15:55:37.913,POWELL,FALSE,7594,41,0,POINT (-122.680148 45.514019),46113,333,FALSE,7602,42,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:51:38.765,13885041,bus,3712
90,1934,-157,0,<DATE> @ 15:56:16.143,POWELL,FALSE,8243,70,0,POINT (-122.622834 45.479196),46179,333,FALSE,6411,71,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:52:18.265,13885040,bus,3303
174,2435,0,0,<DATE> @ 15:56:18.129,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46338,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:52:21.331,13885043,bus,4016
270,1904,-75,0,<DATE> @ 15:56:23.132,CENTER,FALSE,2128,15,0,POINT (-122.602343 45.526481),46268,335,FALSE,2126,16,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:52:24.064,13885042,bus,3526
200,1936,-169,0,<DATE> @ 15:56:38.238,POWELL,FALSE,7594,41,0,POINT (-122.681754 45.511056),46189,333,FALSE,7602,42,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:52:38.784,13885041,bus,3712
174,2435,0,0,<DATE> @ 15:57:16.436,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46396,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:53:18.278,13885043,bus,4016
270,1904,-96,0,<DATE> @ 15:57:23.477,CENTER,FALSE,2128,15,0,POINT (-122.604582 45.526489),46307,335,FALSE,2126,16,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:53:30.216,13885042,bus,3526
179,1936,-156,0,<DATE> @ 15:57:31.564,POWELL,FALSE,7602,42,0,POINT (-122.683023 45.508482),46255,333,FALSE,3397,43,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:53:32.926,13885041,bus,3712
90,1934,-179,0,<DATE> @ 15:57:32.550,POWELL,FALSE,6413,72,0,POINT (-122.618267 45.479184),46233,333,FALSE,6415,73,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:53:36.136,13885040,bus,3303
174,2435,0,0,<DATE> @ 15:58:17.838,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46457,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:54:21.472,13885043,bus,4016
270,1904,-77,0,<DATE> @ 15:58:23.865,CENTER,FALSE,2123,17,0,POINT (-122.609316 45.5265),46386,335,FALSE,2121,18,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:54:30.162,13885042,bus,3526
107,1936,-185,0,<DATE> @ 15:58:32.918,POWELL,FALSE,7602,42,0,POINT (-122.681789 45.507951),46287,333,FALSE,3397,43,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:54:36.092,13885041,bus,3712
90,1934,-206,0,<DATE> @ 15:58:32.918,POWELL,FALSE,6413,72,0,POINT (-122.615649 45.479178),46266,333,FALSE,6415,73,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:54:36.119,13885040,bus,3303
174,2435,0,0,<DATE> @ 15:59:18.130,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46518,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:55:24.777,13885043,bus,4016
89,1934,-216,0,<DATE> @ 15:59:28.215,POWELL,FALSE,6415,73,0,POINT (-122.612217 45.479139),46312,333,FALSE,6419,74,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:55:30.304,13885040,bus,3303
89,1936,-217,0,<DATE> @ 15:59:32.231,POWELL,FALSE,7602,42,0,POINT (-122.68015 45.507836),46315,333,FALSE,3397,43,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:55:33.178,13885041,bus,3712
270,1904,-70,0,<DATE> @ 15:59:31.231,CENTER,FALSE,2121,18,0,POINT (-122.613746 45.526511),46461,335,FALSE,2009,19,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:55:33.367,13885042,bus,3526
174,2435,0,0,<DATE> @ 16:00:17.440,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46577,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:56:17.974,13885043,bus,4016
90,1934,-240,0,<DATE> @ 16:00:21.457,POWELL,FALSE,6419,74,0,POINT (-122.609949 45.479127),46341,333,FALSE,10484,75,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:56:24.247,13885040,bus,3303
85,1936,-252,0,<DATE> @ 16:00:28.511,POWELL,FALSE,3397,43,0,POINT (-122.678917 45.507893),46336,333,FALSE,13732,44,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:56:29.847,13885041,bus,3712
270,1904,-60,0,<DATE> @ 16:00:31.558,CENTER,FALSE,2117,20,0,POINT (-122.617845 45.526415),46531,335,FALSE,2115,21,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:56:33.238,13885042,bus,3526
90,1934,-297,0,<DATE> @ 16:01:19.908,POWELL,FALSE,6419,74,0,POINT (-122.609917 45.479126),46342,333,FALSE,10484,75,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:57:21.235,13885040,bus,3303
174,2435,0,0,<DATE> @ 16:01:17.892,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46637,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:57:21.409,13885043,bus,4016
168,1936,-241,0,<DATE> @ 16:01:28.929,POWELL,FALSE,3397,43,0,POINT (-122.675481 45.507077),46407,333,FALSE,13732,44,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:57:30.026,13885041,bus,3712
270,1904,-12,0,<DATE> @ 16:01:31.929,CENTER,FALSE,2111,22,0,POINT (-122.624154 45.526431),46639,335,FALSE,2002,23,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:57:32.996,13885042,bus,3526
90,1934,-359,0,<DATE> @ 16:02:21.293,POWELL,FALSE,6419,74,0,POINT (-122.609917 45.479126),46342,333,FALSE,10484,75,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:58:24.499,13885040,bus,3303
174,2435,0,0,<DATE> @ 16:02:18.230,POWELL,FALSE,,,0,POINT (-122.563128 45.529987),46698,335,FALSE,8194,1,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock/Glisan to Mt Scott Blvd & 112th via City Ctr,vm,<DATE> @ 15:58:24.819,13885043,bus,4016
119,1936,-178,0,<DATE> @ 16:02:28.299,POWELL,FALSE,3397,43,0,POINT (-122.672584 45.502466),46530,333,FALSE,13732,44,FALSE,084C8D,19,Bus,<DATE> @ 03:00:00.000,19 To Mt Scott Blvd & 112th,19  Woodstock to Mt Scott Blvd & 112th,vm,<DATE> @ 15:58:29.762,13885041,bus,3712
