trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
0,2001,130,0,<DATE> @ 15:55:27.857,CENTER,FALSE,730,86,,POINT (-122.64955 45.523748),46417,369,FALSE,6839,87,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:51:30.005,13885476,bus,4046
268,2068,-12,0,<DATE> @ 15:55:34.924,MERLO,FALSE,782,94,0,POINT (-122.681433 45.522974),46282,367,FALSE,10791,95,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC,vm,<DATE> @ 15:51:36.031,13885475,bus,3038
269,2071,-162,0,<DATE> @ 15:55:35.861,MERLO,FALSE,5443,45,0,POINT (-122.510968 45.519142),46133,369,FALSE,5442,46,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:51:38.738,13885478,bus,3223
90,2074,-136,0,<DATE> @ 15:55:37.866,MERLO,FALSE,1320,9,0,POINT (-122.402397 45.504797),46161,369,FALSE,3092,10,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:51:38.825,13885480,bus,3005
270,2073,52,0,<DATE> @ 15:56:19.160,MERLO,FALSE,13523,30,,POINT (-122.46413 45.519186),46391,369,FALSE,5472,31,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:21.013,13885479,bus,3217
269,2071,-166,0,<DATE> @ 15:56:22.160,MERLO,FALSE,5442,46,0,POINT (-122.514097 45.51913),46176,369,FALSE,12949,47,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:23.883,13885478,bus,3223
270,2070,-480,0,<DATE> @ 15:56:24.163,MERLO,FALSE,5415,57,0,POINT (-122.555951 45.519025),45864,369,FALSE,5414,58,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:30.212,13885477,bus,3642
240,2001,118,0,<DATE> @ 15:56:28.180,CENTER,FALSE,6839,87,,POINT (-122.651326 45.523751),46466,369,FALSE,5058,88,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:30.679,13885476,bus,4046
268,2076,0,0,<DATE> @ 15:56:34.221,MERLO,FALSE,,,0,POINT (-122.42717 45.502248),46354,369,FALSE,14202,1,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:35.978,13885482,bus,3209
359,2074,-150,0,<DATE> @ 15:56:34.221,MERLO,FALSE,3092,10,0,POINT (-122.399975 45.505667),46204,369,FALSE,3097,11,FALSE,084C8D,20,Bus,<DATE> @ 03:00:00.000,20 Beaverton TC,20  Burnside/Stark to Beaverton TC via Portland City Center,vm,<DATE> @ 15:52:36.069,13885480,bus,3005
