trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
33,2134,0,1,<DATE> @ 15:55:24.840,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46284,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:51:26.962,13886180,bus,3907
33,2134,0,1,<DATE> @ 15:56:26.195,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46346,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:52:30.458,13886180,bus,3907
33,2134,0,1,<DATE> @ 15:57:24.509,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46404,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:53:30.156,13886180,bus,3907
33,2134,0,1,<DATE> @ 15:58:24.881,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46464,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:54:30.115,13886180,bus,3907
33,2134,0,1,<DATE> @ 15:59:25.213,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46525,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:55:26.972,13886180,bus,3907
33,2134,0,1,<DATE> @ 16:00:25.536,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46585,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:56:27.136,13886180,bus,3907
33,2134,0,1,<DATE> @ 16:01:23.911,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46643,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:57:30.137,13886180,bus,3907
33,2134,0,1,<DATE> @ 16:02:25.282,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46705,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:58:27.015,13886180,bus,3907
33,2134,0,1,<DATE> @ 16:03:25.763,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46765,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 15:59:30.433,13886180,bus,3907
33,2134,0,1,<DATE> @ 16:04:26.221,POWELL,FALSE,,,0,POINT (-122.565162 45.558339),46826,371,FALSE,14136,1,FALSE,084C8D,21,Bus,<DATE> @ 03:00:00.000,21 To Gresham TC,21  Sandy Blvd/223rd to Gresham TC,vm,<DATE> @ 16:00:27.119,13886180,bus,3907
