trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
164,2237,0,0,<DATE> @ 15:56:18.129,POWELL,FALSE,,,,POINT (-122.563391 45.530781),46338,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:52:21.186,13886291,bus,3902
164,2237,0,0,<DATE> @ 15:57:16.420,POWELL,FALSE,,,,POINT (-122.563391 45.530781),46396,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:53:18.206,13886291,bus,3902
164,2237,0,0,<DATE> @ 15:58:17.838,POWELL,FALSE,,,,POINT (-122.563391 45.530781),46457,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:54:21.377,13886291,bus,3902
164,2237,0,0,<DATE> @ 15:59:17.144,POWELL,FALSE,,,,POINT (-122.563391 45.530781),46517,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:55:18.140,13886291,bus,3902
164,2237,54,0,<DATE> @ 16:00:17.440,POWELL,FALSE,8194,1,,POINT (-122.563391 45.530781),46631,375,FALSE,10864,2,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:56:17.858,13886291,bus,3902
164,2237,-5,0,<DATE> @ 16:01:17.892,POWELL,FALSE,8194,1,,POINT (-122.563391 45.530781),46632,375,FALSE,10864,2,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:57:21.287,13886291,bus,3902
174,2237,-34,0,<DATE> @ 16:02:34.321,POWELL,FALSE,8194,1,,POINT (-122.563128 45.529987),46680,375,FALSE,10864,2,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:58:36.374,13886291,bus,3902
89,2237,-52,0,<DATE> @ 16:03:27.905,POWELL,FALSE,10864,2,,POINT (-122.561049 45.529481),46715,375,FALSE,4287,3,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 15:59:30.425,13886291,bus,3902
89,2237,-70,0,<DATE> @ 16:04:17.088,POWELL,FALSE,4287,3,,POINT (-122.558345 45.529487),46747,375,FALSE,6522,4,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:00:18.006,13886291,bus,3902
0,2237,-109,0,<DATE> @ 16:05:17.441,POWELL,FALSE,4287,3,,POINT (-122.558101 45.5305),46768,375,FALSE,6522,4,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:01:18.110,13886291,bus,3902
0,2237,-166,0,<DATE> @ 16:06:33.830,POWELL,FALSE,4287,3,,POINT (-122.558086 45.531734),46787,375,FALSE,6522,4,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:02:36.062,13886291,bus,3902
0,2237,-188,0,<DATE> @ 16:07:33.155,POWELL,FALSE,6522,4,,POINT (-122.558065 45.533733),46825,375,FALSE,6531,5,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:03:36.420,13886291,bus,3902
0,2237,-243,0,<DATE> @ 16:08:33.656,POWELL,FALSE,6522,4,,POINT (-122.558062 45.533984),46830,375,FALSE,6531,5,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:04:36.447,13886291,bus,3902
0,2237,-227,0,<DATE> @ 16:09:18.925,POWELL,FALSE,6531,5,,POINT (-122.558007 45.537348),46891,375,FALSE,6530,6,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:05:21.267,13886291,bus,3902
0,2237,-184,0,<DATE> @ 16:10:18.235,POWELL,FALSE,6508,7,,POINT (-122.557855 45.543234),46994,375,FALSE,14075,8,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:06:24.281,13886291,bus,3902
0,2237,-183,0,<DATE> @ 16:11:17.593,POWELL,FALSE,14075,8,,POINT (-122.557805 45.546566),47054,375,FALSE,6514,9,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:07:21.088,13886291,bus,3902
0,2237,-167,0,<DATE> @ 16:12:17.902,POWELL,FALSE,6506,10,,POINT (-122.557809 45.550866),47130,375,FALSE,6528,11,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:08:21.551,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:12:25.938,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47305,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:08:30.171,13886292,bus,3321
89,2237,-153,0,<DATE> @ 16:13:16.302,POWELL,FALSE,5226,12,,POINT (-122.553316 45.551767),47203,375,FALSE,5228,13,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:09:18.052,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:13:26.279,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47366,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:09:27.060,13886292,bus,3321
89,2237,-144,0,<DATE> @ 16:14:17.569,POWELL,FALSE,5228,13,,POINT (-122.547652 45.55177),47273,375,FALSE,5230,14,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:10:20.918,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:14:26.637,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47426,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:10:30.433,13886292,bus,3321
89,2237,-118,0,<DATE> @ 16:15:17.984,POWELL,FALSE,5232,15,,POINT (-122.540817 45.551761),47359,375,FALSE,8471,16,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:11:24.460,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:15:25.175,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47485,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:11:27.338,13886292,bus,3321
90,2237,-138,0,<DATE> @ 16:16:18.299,POWELL,FALSE,8471,16,,POINT (-122.537468 45.551687),47400,375,FALSE,5234,17,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:12:21.255,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:16:25.427,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47545,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:12:27.425,13886292,bus,3321
2,2237,-160,0,<DATE> @ 16:17:18.846,POWELL,FALSE,5234,17,,POINT (-122.534618 45.552119),47438,375,FALSE,6683,18,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:13:24.756,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:17:26.803,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47606,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:13:30.160,13886292,bus,3321
0,2237,-176,0,<DATE> @ 16:18:15.048,POWELL,FALSE,6682,19,,POINT (-122.532785 45.553883),47479,375,FALSE,4772,20,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:14:18.529,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:18:25.069,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47665,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:14:27.499,13886292,bus,3321
102,2237,-173,0,<DATE> @ 16:19:15.429,POWELL,FALSE,4774,21,,POINT (-122.52903 45.554609),47542,375,FALSE,4776,22,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:15:18.071,13886291,bus,3902
347,2238,0,0,<DATE> @ 16:19:26.528,POWELL,FALSE,,,,POINT (-122.563949 45.530827),47726,375,FALSE,8194,1,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:15:27.116,13886292,bus,3321
188,2237,-196,0,<DATE> @ 16:20:16.774,POWELL,FALSE,4776,22,,POINT (-122.525954 45.554072),47580,375,FALSE,6719,23,FALSE,084C8D,22,Bus,<DATE> @ 03:00:00.000,22 To Parkrose,22  Parkrose to 141st & Failing - Argay Park,vm,<DATE> @ 16:16:18.246,13886291,bus,3902
