trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
164,2234,0,0,<DATE> @ 15:56:16.143,POWELL,FALSE,,,,POINT (-122.563327 45.530622),46336,389,FALSE,8194,1,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:52:18.241,13886447,bus,3755
164,2234,64,0,<DATE> @ 15:57:16.436,POWELL,FALSE,8194,1,,POINT (-122.563327 45.530622),46460,389,FALSE,10864,2,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:53:18.117,13886447,bus,3755
165,2234,10,0,<DATE> @ 15:58:31.901,POWELL,FALSE,8194,1,,POINT (-122.563177 45.530247),46481,389,FALSE,10864,2,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:54:32.863,13886447,bus,3755
145,2234,-26,0,<DATE> @ 15:59:34.251,POWELL,FALSE,10864,2,,POINT (-122.563055 45.529522),46508,389,FALSE,4287,3,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:55:36.091,13886447,bus,3755
89,2234,-40,0,<DATE> @ 16:00:17.440,POWELL,FALSE,10864,2,,POINT (-122.5608 45.529482),46537,389,FALSE,4287,3,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:56:17.792,13886447,bus,3755
0,2234,-30,0,<DATE> @ 16:01:16.890,POWELL,FALSE,4287,3,,POINT (-122.558093 45.531116),46606,389,FALSE,6522,4,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:57:17.930,13886447,bus,3755
90,2234,-53,0,<DATE> @ 16:02:33.398,POWELL,FALSE,2354,5,,POINT (-122.557533 45.533533),46660,389,FALSE,14071,6,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:58:36.314,13886447,bus,3755
90,2234,-47,0,<DATE> @ 16:03:24.778,POWELL,FALSE,14071,6,,POINT (-122.553299 45.533512),46717,389,FALSE,6565,7,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 15:59:30.366,13886447,bus,3755
0,2234,-43,0,<DATE> @ 16:04:24.096,POWELL,FALSE,14071,6,,POINT (-122.549072 45.533817),46781,389,FALSE,6565,7,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:00:27.028,13886447,bus,3755
0,2234,-74,0,<DATE> @ 16:05:24.431,POWELL,FALSE,6565,7,,POINT (-122.549063 45.53535),46810,389,FALSE,6563,8,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:01:26.936,13886447,bus,3755
0,2234,-93,0,<DATE> @ 16:06:20.858,POWELL,FALSE,6563,8,,POINT (-122.549045 45.537301),46847,389,FALSE,6561,9,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:02:23.967,13886447,bus,3755
8,2234,-63,0,<DATE> @ 16:07:19.074,POWELL,FALSE,6561,9,,POINT (-122.548978 45.541884),46936,389,FALSE,6557,10,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:03:21.270,13886447,bus,3755
89,2234,-53,0,<DATE> @ 16:08:20.536,POWELL,FALSE,6559,11,,POINT (-122.544743 45.543272),47007,389,FALSE,4012,12,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:04:24.514,13886447,bus,3755
89,2234,-36,0,<DATE> @ 16:09:25.944,POWELL,FALSE,4012,12,,POINT (-122.538796 45.542927),47089,389,FALSE,14177,13,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:05:30.119,13886447,bus,3755
180,2234,-19,0,<DATE> @ 16:10:26.317,POWELL,FALSE,14177,13,,POINT (-122.537561 45.539592),47167,389,FALSE,6667,14,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:06:27.156,13886447,bus,3755
90,2234,3,0,<DATE> @ 16:11:28.694,POWELL,FALSE,5035,15,,POINT (-122.533795 45.537212),47251,389,FALSE,5033,16,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:07:30.559,13886447,bus,3755
90,2234,9,0,<DATE> @ 16:12:26.907,POWELL,FALSE,5037,17,,POINT (-122.527287 45.537212),47315,389,FALSE,5039,18,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To 148th & Sandy,23  San Rafael to 148th & Sandy,vm,<DATE> @ 16:08:30.165,13886447,bus,3755
