trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
181,2234,-48,1,<DATE> @ 16:21:30.201,POWELL,FALSE,10790,1,,POINT (-122.509951 45.549299),47802,390,FALSE,8589,2,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:17:33.221,13886474,bus,3755
179,2234,-2,1,<DATE> @ 16:22:30.523,POWELL,FALSE,13141,3,,POINT (-122.510231 45.540952),47908,390,FALSE,8592,4,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:18:33.205,13886474,bus,3755
279,2234,3,1,<DATE> @ 16:23:29.896,POWELL,FALSE,4982,5,,POINT (-122.51548 45.540426),47972,390,FALSE,4980,6,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:19:33.471,13886474,bus,3755
291,2234,2,1,<DATE> @ 16:24:30.355,POWELL,FALSE,4991,7,,POINT (-122.521992 45.540815),48032,390,FALSE,4984,8,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:20:33.178,13886474,bus,3755
180,2234,-1,1,<DATE> @ 16:25:31.696,POWELL,FALSE,4987,9,,POINT (-122.527044 45.541865),48090,390,FALSE,6713,10,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:21:32.986,13886474,bus,3755
180,2234,-4,1,<DATE> @ 16:26:29.990,POWELL,FALSE,6715,11,,POINT (-122.527135 45.53755),48145,390,FALSE,6718,12,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:22:33.014,13886474,bus,3755
270,2234,-4,1,<DATE> @ 16:27:30.277,POWELL,FALSE,13143,13,,POINT (-122.533433 45.53721),48206,390,FALSE,5034,14,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:23:33.027,13886474,bus,3755
0,2234,-7,1,<DATE> @ 16:28:30.714,POWELL,FALSE,5036,15,,POINT (-122.537586 45.538257),48263,390,FALSE,6620,16,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:24:33.405,13886474,bus,3755
269,2234,34,1,<DATE> @ 16:29:31.025,POWELL,FALSE,6620,16,,POINT (-122.538876 45.542926),48365,390,FALSE,5385,17,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:25:33.479,13886474,bus,3755
269,2234,64,1,<DATE> @ 16:30:30.396,POWELL,FALSE,5384,18,,POINT (-122.54543 45.543271),48454,390,FALSE,4011,19,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:26:33.168,13886474,bus,3755
180,2234,74,1,<DATE> @ 16:31:30.787,POWELL,FALSE,6558,20,,POINT (-122.549008 45.54147),48524,390,FALSE,6562,21,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:27:33.233,13886474,bus,3755
180,2234,91,1,<DATE> @ 16:32:31.197,POWELL,FALSE,6562,21,,POINT (-122.549045 45.53727),48602,390,FALSE,6564,22,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:28:33.313,13886474,bus,3755
270,2234,126,1,<DATE> @ 16:33:32.457,POWELL,FALSE,6225,23,,POINT (-122.551883 45.534161),48698,390,FALSE,6223,24,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:29:33.173,13886474,bus,3755
261,2234,147,1,<DATE> @ 16:34:30.726,POWELL,FALSE,6223,24,,POINT (-122.557826 45.534159),48777,390,FALSE,6513,25,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:30:33.066,13886474,bus,3755
180,2234,104,1,<DATE> @ 16:35:30.189,POWELL,FALSE,6223,24,,POINT (-122.558064 45.533415),48794,390,FALSE,6513,25,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:31:33.333,13886474,bus,3755
269,2234,143,1,<DATE> @ 16:36:31.513,POWELL,FALSE,6525,27,,POINT (-122.560099 45.529483),48894,390,FALSE,4288,28,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:32:33.211,13886474,bus,3755
269,2234,128,1,<DATE> @ 16:37:15.813,POWELL,FALSE,4288,28,,POINT (-122.562297 45.529469),48923,390,FALSE,8321,29,FALSE,084C8D,23,Bus,<DATE> @ 03:00:00.000,23 To Gateway TC,23  San Rafael to Gateway TC,vm,<DATE> @ 16:33:18.288,13886474,bus,3755
