trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
270,2401,-382,0,<DATE> @ 15:55:20.837,CENTER,FALSE,1905,18,,POINT (-122.588483 45.548213),45898,400,FALSE,1903,19,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:51:24.792,13886561,bus,4030
178,2468,-219,0,<DATE> @ 15:55:36.862,MERLO,FALSE,14034,48,0,POINT (-122.690514 45.530083),46077,401,FALSE,14035,49,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:51:38.845,13886560,bus,3018
345,2467,0,0,<DATE> @ 15:56:16.143,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46336,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:52:18.333,13886562,bus,3051
178,2468,-200,0,<DATE> @ 15:56:23.116,MERLO,FALSE,14034,48,0,POINT (-122.690427 45.527833),46143,401,FALSE,14035,49,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:52:23.980,13886560,bus,3018
270,2401,-443,0,<DATE> @ 15:56:21.129,CENTER,FALSE,1905,18,,POINT (-122.588483 45.548213),45898,400,FALSE,1903,19,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:52:24.137,13886561,bus,4030
345,2467,0,0,<DATE> @ 15:57:15.436,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46395,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:53:18.203,13886562,bus,3051
178,2468,-199,0,<DATE> @ 15:57:22.459,MERLO,FALSE,14034,48,0,POINT (-122.69037 45.525802),46203,401,FALSE,14035,49,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:53:24.240,13886560,bus,3018
270,2401,-486,0,<DATE> @ 15:57:24.493,CENTER,FALSE,1905,18,,POINT (-122.590201 45.548215),45918,400,FALSE,1903,19,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:53:30.311,13886561,bus,4030
345,2467,0,0,<DATE> @ 15:58:15.800,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46455,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:54:18.075,13886562,bus,3051
270,2401,-510,0,<DATE> @ 15:58:14.816,CENTER,FALSE,1903,19,,POINT (-122.592301 45.548215),45944,400,FALSE,1902,20,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:54:18.177,13886561,bus,4030
179,2468,-185,0,<DATE> @ 15:58:23.865,MERLO,FALSE,14035,49,0,POINT (-122.690258 45.523267),46278,401,FALSE,6911,50,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:54:30.093,13886560,bus,3018
270,2401,-448,0,<DATE> @ 15:59:14.112,CENTER,FALSE,1893,23,,POINT (-122.601867 45.548227),46066,400,FALSE,1891,24,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:55:15.453,13886561,bus,4030
345,2467,0,0,<DATE> @ 15:59:34.251,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46534,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:55:36.183,13886562,bus,3051
210,2468,-136,0,<DATE> @ 15:59:38.304,MERLO,FALSE,6911,50,0,POINT (-122.691316 45.520393),46402,401,FALSE,9553,51,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:55:39.040,13886560,bus,3018
206,2468,-135,0,<DATE> @ 16:00:11.437,MERLO,FALSE,9553,51,0,POINT (-122.691819 45.519757),46436,401,FALSE,10168,52,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  NW 18th Ave to SW 18th & Columbia,vm,<DATE> @ 15:56:15.376,13886560,bus,3018
345,2467,0,0,<DATE> @ 16:00:16.409,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46576,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:56:17.853,13886562,bus,3051
270,2401,-422,0,<DATE> @ 16:00:32.559,CENTER,FALSE,1891,24,,POINT (-122.610167 45.548269),46170,400,FALSE,1887,25,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:56:36.077,13886561,bus,4030
270,2401,-406,0,<DATE> @ 16:01:32.930,CENTER,FALSE,1883,26,,POINT (-122.616299 45.548289),46246,400,FALSE,10594,27,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:57:36.325,13886561,bus,4030
345,2467,0,0,<DATE> @ 16:01:37.997,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46657,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:57:39.003,13886562,bus,3051
270,2401,-421,0,<DATE> @ 16:02:34.321,CENTER,FALSE,10594,27,,POINT (-122.620066 45.5483),46293,400,FALSE,1877,28,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:58:36.494,13886561,bus,4030
345,2467,-38,0,<DATE> @ 16:02:38.400,MERLO,FALSE,,,,POINT (-122.563858 45.530556),46680,400,FALSE,8194,1,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:58:39.167,13886562,bus,3051
269,2401,-456,0,<DATE> @ 16:03:27.764,CENTER,FALSE,1877,28,,POINT (-122.621515 45.548297),46311,400,FALSE,1835,29,FALSE,084C8D,24,Bus,<DATE> @ 03:00:00.000,24 To SW 18th & Columbia,24  Fremont/NW 18th to SW 18th & Columbia,vm,<DATE> @ 15:59:30.568,13886561,bus,4030
