trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
347,2541,0,0,<DATE> @ 15:55:33.877,POWELL,FALSE,,,0,POINT (-122.563939 45.530794),46293,181,FALSE,8194,1,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:51:36.041,13886841,bus,3923
90,2535,-154,0,<DATE> @ 15:55:37.913,POWELL,FALSE,14514,22,0,POINT (-122.465243 45.526381),46143,181,FALSE,14515,23,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:51:38.866,13886840,bus,3929
347,2541,0,0,<DATE> @ 15:56:34.221,POWELL,FALSE,,,0,POINT (-122.563939 45.530794),46354,181,FALSE,8194,1,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:52:36.111,13886841,bus,3923
69,2535,-110,0,<DATE> @ 15:56:38.223,POWELL,FALSE,14515,23,0,POINT (-122.455424 45.526566),46248,181,FALSE,14516,24,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:52:38.871,13886840,bus,3929
347,2541,0,0,<DATE> @ 15:57:34.559,POWELL,FALSE,,,0,POINT (-122.563939 45.530794),46414,181,FALSE,8194,1,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:53:36.242,13886841,bus,3923
89,2535,-87,0,<DATE> @ 15:57:37.561,POWELL,FALSE,14516,24,0,POINT (-122.448194 45.527835),46330,181,FALSE,14517,25,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:53:39.089,13886840,bus,3929
347,2541,0,0,<DATE> @ 15:58:33.971,POWELL,FALSE,,,0,POINT (-122.563939 45.530794),46473,181,FALSE,8194,1,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:54:36.213,13886841,bus,3923
90,2535,-89,0,<DATE> @ 15:58:36.941,POWELL,FALSE,14516,24,0,POINT (-122.442809 45.527831),46387,181,FALSE,14517,25,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:54:38.977,13886840,bus,3929
89,2535,-71,0,<DATE> @ 15:59:10.125,POWELL,FALSE,14517,25,0,POINT (-122.438008 45.527834),46439,181,FALSE,14518,26,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:55:15.335,13886840,bus,3929
347,2541,0,0,<DATE> @ 15:59:34.251,POWELL,FALSE,,,0,POINT (-122.563939 45.530794),46534,181,FALSE,8194,1,FALSE,084C8D,25,Bus,<DATE> @ 03:00:00.000,25 To Mt Hood Community Coll,25 Glisan/Troutdale Rd to Mt Hood Community Colllege,vm,<DATE> @ 15:55:36.214,13886841,bus,3923
