trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
270,2934,-36,1,<DATE> @ 15:55:36.877,POWELL,FALSE,13248,1,0,POINT (-122.574016 45.437411),46260,442,FALSE,12922,2,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:51:38.868,13887113,bus,3951
0,2934,-64,1,<DATE> @ 15:56:27.163,POWELL,FALSE,12922,2,0,POINT (-122.575656 45.437647),46283,442,FALSE,8006,3,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:52:30.500,13887113,bus,3951
270,2934,-83,1,<DATE> @ 15:57:26.540,POWELL,FALSE,12922,2,0,POINT (-122.578648 45.438279),46323,442,FALSE,8006,3,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:53:30.188,13887113,bus,3951
181,2934,-139,1,<DATE> @ 15:58:26.881,POWELL,FALSE,12922,2,0,POINT (-122.579007 45.438217),46327,442,FALSE,8006,3,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:54:30.151,13887113,bus,3951
181,2934,-136,1,<DATE> @ 15:59:27.213,POWELL,FALSE,8006,3,0,POINT (-122.579197 45.433747),46391,442,FALSE,8050,4,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:55:30.424,13887113,bus,3951
180,2934,-180,1,<DATE> @ 16:00:27.537,POWELL,FALSE,8050,4,0,POINT (-122.57925 45.432666),46407,442,FALSE,7975,5,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:56:29.936,13887113,bus,3951
170,2934,-188,1,<DATE> @ 16:01:26.943,POWELL,FALSE,10446,6,0,POINT (-122.578969 45.429136),46458,442,FALSE,11963,7,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:57:30.176,13887113,bus,3951
190,2934,-149,1,<DATE> @ 16:02:26.314,POWELL,FALSE,10446,6,0,POINT (-122.577495 45.422451),46557,442,FALSE,11963,7,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:58:27.062,13887113,bus,3951
280,2934,-165,1,<DATE> @ 16:03:26.794,POWELL,FALSE,10446,6,0,POINT (-122.581274 45.422506),46601,442,FALSE,11963,7,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 15:59:30.451,13887113,bus,3951
174,2936,0,1,<DATE> @ 16:04:15.072,POWELL,FALSE,,,0,POINT (-122.568589 45.435678),46815,442,FALSE,13248,1,FALSE,084C8D,29,Bus,<DATE> @ 03:00:00.000,29 To Milwaukie,29  Lake/Webster to Milwaukie,vm,<DATE> @ 16:00:17.944,13887114,bus,3752
