trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
351,7935,-21,1,<DATE> @ 15:55:28.857,POWELL,FALSE,13662,52,0,POINT (-122.50059 45.402978),46267,444,FALSE,13663,53,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:51:29.874,13887222,bus,3950
330,7935,-12,1,<DATE> @ 15:56:29.165,POWELL,FALSE,13663,53,0,POINT (-122.504786 45.409061),46337,444,FALSE,2896,54,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:52:30.495,13887222,bus,3950
334,7935,-69,1,<DATE> @ 15:57:29.532,POWELL,FALSE,13663,53,0,POINT (-122.504966 45.409295),46340,444,FALSE,2896,54,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:53:32.977,13887222,bus,3950
276,7935,-72,1,<DATE> @ 15:58:15.800,POWELL,FALSE,2911,55,0,POINT (-122.510524 45.409815),46383,444,FALSE,2909,56,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:54:18.087,13887222,bus,3950
264,7935,-34,1,<DATE> @ 15:59:15.112,POWELL,FALSE,2909,56,0,POINT (-122.523957 45.410515),46481,444,FALSE,8830,57,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:55:18.149,13887222,bus,3950
254,7935,-82,1,<DATE> @ 16:00:15.424,POWELL,FALSE,8830,57,0,POINT (-122.525486 45.410305),46493,444,FALSE,2890,58,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:56:17.870,13887222,bus,3950
269,7935,-45,1,<DATE> @ 16:01:15.859,POWELL,FALSE,11931,59,0,POINT (-122.538384 45.407898),46590,444,FALSE,2905,60,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:57:18.008,13887222,bus,3950
269,7935,-60,1,<DATE> @ 16:02:13.213,POWELL,FALSE,2905,60,0,POINT (-122.544283 45.407863),46633,444,FALSE,2892,61,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:58:15.370,13887222,bus,3950
267,7935,-19,1,<DATE> @ 16:03:12.598,POWELL,FALSE,2899,62,0,POINT (-122.558129 45.407771),46733,444,FALSE,2889,63,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 15:59:15.200,13887222,bus,3950
265,7935,-61,1,<DATE> @ 16:04:13.055,POWELL,FALSE,2889,63,0,POINT (-122.560682 45.407692),46752,444,FALSE,2915,64,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Clackamas TC,30  Clackamas Town Center,vm,<DATE> @ 16:00:15.276,13887222,bus,3950
