trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
177,7934,-290,0,<DATE> @ 15:56:16.143,POWELL,FALSE,8794,26,0,POINT (-122.461116 45.392546),46046,443,FALSE,12937,27,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:52:18.249,13887161,bus,3751
111,7934,-287,0,<DATE> @ 15:57:17.452,POWELL,FALSE,8755,29,0,POINT (-122.453642 45.3853),46110,443,FALSE,13655,30,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:53:18.117,13887161,bus,3751
57,7934,-293,0,<DATE> @ 15:58:17.838,POWELL,FALSE,13655,30,0,POINT (-122.442064 45.386122),46164,443,FALSE,8720,31,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:54:21.321,13887161,bus,3751
58,7934,-297,0,<DATE> @ 15:59:17.144,POWELL,FALSE,8720,31,0,POINT (-122.432723 45.391258),46220,443,FALSE,10186,32,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:55:18.072,13887161,bus,3751
134,7934,-295,0,<DATE> @ 16:00:17.471,POWELL,FALSE,8421,33,0,POINT (-122.420556 45.39385),46282,443,FALSE,2881,34,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:56:20.902,13887161,bus,3751
174,3034,0,0,<DATE> @ 16:00:30.542,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46590,443,FALSE,13248,1,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:56:33.138,13887162,bus,3311
115,7934,-289,0,<DATE> @ 16:01:17.892,POWELL,FALSE,8421,33,0,POINT (-122.4076 45.389286),46348,443,FALSE,2881,34,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:57:21.220,13887161,bus,3751
174,3034,0,0,<DATE> @ 16:01:28.960,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46648,443,FALSE,13248,1,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:57:30.049,13887162,bus,3311
131,7934,-274,0,<DATE> @ 16:02:18.230,POWELL,FALSE,2877,36,0,POINT (-122.392876 45.384043),46424,443,FALSE,10500,37,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:58:24.482,13887161,bus,3751
174,3034,0,0,<DATE> @ 16:02:29.300,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46709,443,FALSE,13248,1,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:58:29.795,13887162,bus,3311
137,7934,-251,0,<DATE> @ 16:03:17.648,POWELL,FALSE,2900,39,0,POINT (-122.379951 45.375007),46506,443,FALSE,9321,40,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:59:21.200,13887161,bus,3751
174,3034,0,0,<DATE> @ 16:03:29.782,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46769,443,FALSE,13248,1,FALSE,084C8D,30,Bus,<DATE> @ 03:00:00.000,30 To Estacada,30  Estacada,vm,<DATE> @ 15:59:33.173,13887162,bus,3311
