trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
81,3203,0,0,<DATE> @ 09:31:36.988,CENTER,FALSE,,,,POINT (-122.640505 45.444891),23256,470,FALSE,8225,1,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:27:39.681,13887488,bus,4023
81,3203,0,0,<DATE> @ 09:32:38.503,CENTER,FALSE,,,,POINT (-122.640505 45.444891),23318,470,FALSE,8225,1,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:28:39.437,13887488,bus,4023
170,3203,-5,0,<DATE> @ 09:33:24.579,CENTER,FALSE,8225,1,,POINT (-122.640089 45.443715),23359,470,FALSE,7136,2,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:29:27.889,13887488,bus,4023
170,3203,-40,0,<DATE> @ 09:34:13.872,CENTER,FALSE,8225,1,,POINT (-122.639833 45.442583),23373,470,FALSE,7136,2,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:30:15.398,13887488,bus,4023
122,3203,-60,0,<DATE> @ 09:35:13.238,CENTER,FALSE,7136,2,,POINT (-122.638557 45.440227),23413,470,FALSE,3344,3,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:31:15.760,13887488,bus,4023
122,3203,-44,0,<DATE> @ 09:36:13.554,CENTER,FALSE,3348,4,,POINT (-122.632046 45.43736),23489,470,FALSE,3349,5,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:32:15.564,13887488,bus,4023
212,3203,-29,0,<DATE> @ 09:37:13.950,CENTER,FALSE,4160,7,,POINT (-122.630896 45.433575),23564,470,FALSE,4141,8,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:33:15.497,13887488,bus,4023
175,3203,-25,0,<DATE> @ 09:38:14.239,CENTER,FALSE,4141,8,,POINT (-122.632811 45.43072),23629,470,FALSE,4185,9,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:34:15.938,13887488,bus,4023
165,3203,-3,0,<DATE> @ 09:39:13.691,CENTER,FALSE,4172,11,,POINT (-122.631107 45.425135),23710,470,FALSE,4151,12,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:35:15.890,13887488,bus,4023
164,3203,28,0,<DATE> @ 09:40:13.034,CENTER,FALSE,4136,13,,POINT (-122.62894 45.418799),23801,470,FALSE,4165,14,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:36:15.594,13887488,bus,4023
142,3203,8,0,<DATE> @ 09:41:29.488,CENTER,FALSE,4178,15,,POINT (-122.625448 45.415034),23857,470,FALSE,4183,16,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:37:31.084,13887488,bus,4023
142,3203,0,0,<DATE> @ 09:42:30.794,CENTER,FALSE,4192,17,,POINT (-122.621556 45.411487),23910,470,FALSE,4149,18,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:38:34.043,13887488,bus,4023
141,3203,-40,0,<DATE> @ 09:43:13.132,CENTER,FALSE,4149,18,,POINT (-122.621345 45.411296),23913,470,FALSE,4189,19,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:39:15.683,13887488,bus,4023
134,3203,-22,0,<DATE> @ 09:44:13.382,CENTER,FALSE,4144,21,,POINT (-122.61476 45.406391),23991,470,FALSE,4176,22,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:40:15.871,13887488,bus,4023
128,3203,-11,0,<DATE> @ 09:45:14.816,CENTER,FALSE,4194,24,,POINT (-122.608586 45.401947),24063,470,FALSE,4138,25,FALSE,084C8D,32,Bus,<DATE> @ 03:00:00.000,32 To Clackamas CC,32  Oatfield to Clackamas Community College,vm,<DATE> @ 09:41:15.875,13887488,bus,4023
