trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
234,3308,-6,0,<DATE> @ 00:04:12.839,CENTER,FALSE,3727,52,0,POINT (-122.608275 45.357892),75606,424,FALSE,11331,53,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:00:14.286,13887807,bus,4024
353,3312,0,0,<DATE> @ 00:04:25.880,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75625,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:00:29.301,13887809,bus,4209
270,3310,-100,0,<DATE> @ 00:04:36.918,CENTER,FALSE,3228,5,,POINT (-122.58408 45.447047),75536,423,FALSE,3254,6,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:00:38.106,13887808,bus,3552
220,3308,0,0,<DATE> @ 00:05:12.112,CENTER,FALSE,3727,52,0,POINT (-122.610376 45.35499),75672,424,FALSE,11331,53,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:01:14.122,13887807,bus,4024
353,3312,0,0,<DATE> @ 00:05:26.185,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75686,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:01:29.163,13887809,bus,4209
288,3310,-52,0,<DATE> @ 00:05:37.258,CENTER,FALSE,12956,7,,POINT (-122.592596 45.447862),75645,423,FALSE,3229,8,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:01:38.514,13887808,bus,3552
75,3308,34,0,<DATE> @ 00:06:12.416,CENTER,FALSE,3727,52,0,POINT (-122.61362 45.351389),75766,424,FALSE,11331,53,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:02:14.387,13887807,bus,4024
353,3312,0,0,<DATE> @ 00:06:26.528,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75746,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:02:29.455,13887809,bus,4209
270,3310,-37,0,<DATE> @ 00:06:37.628,CENTER,FALSE,3249,9,,POINT (-122.59873 45.447949),75720,423,FALSE,3235,10,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:02:38.330,13887808,bus,3552
270,3310,-25,0,<DATE> @ 00:07:10.939,CENTER,FALSE,3235,10,,POINT (-122.602671 45.447965),75765,423,FALSE,3232,11,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:03:14.523,13887808,bus,3552
35,3308,67,0,<DATE> @ 00:07:13.925,CENTER,FALSE,2664,55,0,POINT (-122.60901 45.354989),75860,424,FALSE,2666,56,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:03:17.226,13887807,bus,4024
353,3312,0,0,<DATE> @ 00:07:26.966,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75806,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:03:29.574,13887809,bus,4209
270,3310,37,0,<DATE> @ 00:08:10.189,CENTER,FALSE,10303,14,,POINT (-122.613394 45.448017),75887,423,FALSE,3243,15,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:04:11.315,13887808,bus,3552
353,3312,0,0,<DATE> @ 00:08:25.295,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75865,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:04:26.471,13887809,bus,4209
125,3308,32,0,<DATE> @ 00:08:27.301,CENTER,FALSE,2666,56,0,POINT (-122.606716 45.354934),75899,424,FALSE,7643,57,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:04:29.162,13887807,bus,4024
353,3312,0,0,<DATE> @ 00:09:26.399,CENTER,FALSE,,,,POINT (-122.569174 45.436365),75926,423,FALSE,13248,1,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:05:29.269,13887809,bus,4209
214,3310,19,0,<DATE> @ 00:09:37.426,CENTER,FALSE,3243,15,,POINT (-122.619488 45.447955),75956,423,FALSE,7524,16,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:05:38.630,13887808,bus,3552
125,3308,10,0,<DATE> @ 00:09:33.393,CENTER,FALSE,7609,58,0,POINT (-122.603166 45.353166),75943,424,FALSE,7620,59,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin to Clackamas Community College,vm,<DATE> @ 00:05:38.681,13887807,bus,4024
270,3310,10,0,<DATE> @ 00:10:16.605,CENTER,FALSE,7524,16,,POINT (-122.620245 45.446618),75986,423,FALSE,2583,17,FALSE,084C8D,33,Bus,<DATE> @ 03:00:00.000,33 To Clackamas College,33  McLoughlin/King Rd to Clackamas College via Milwaukie,vm,<DATE> @ 00:06:17.392,13887808,bus,3552
