trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
177,3403,0,1,<DATE> @ 08:43:38.471,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20378,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:39:39.239,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:44:36.841,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20436,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:40:39.003,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:45:37.398,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20497,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:41:39.204,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:46:07.574,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20527,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:42:09.282,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:47:35.153,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20615,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:43:36.234,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:48:37.649,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20677,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:44:39.117,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:49:38.082,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20738,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:45:39.568,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:50:37.451,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20797,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:46:39.071,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:51:37.868,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20857,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:47:39.457,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:52:38.403,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20918,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:48:39.343,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:53:36.735,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),20976,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:49:39.477,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:54:37.083,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),21037,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:50:39.285,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:55:08.242,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),21068,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:51:09.146,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:56:07.690,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),21127,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:52:12.392,13888183,bus,4058
177,3403,0,1,<DATE> @ 08:57:38.070,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),21218,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:53:39.296,13888183,bus,4058
151,3403,0,1,<DATE> @ 08:58:22.282,CENTER,FALSE,,,0,POINT (-122.570614 45.371312),21262,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:54:27.420,13888183,bus,4058
234,3403,26,1,<DATE> @ 08:59:20.667,CENTER,FALSE,2682,2,0,POINT (-122.57498 45.368457),21346,394,FALSE,2679,3,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:55:21.309,13888183,bus,4058
236,3403,6,1,<DATE> @ 09:00:22.020,CENTER,FALSE,8441,4,0,POINT (-122.580059 45.366062),21388,394,FALSE,2675,5,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:56:27.518,13888183,bus,4058
318,3403,0,1,<DATE> @ 09:01:21.227,CENTER,FALSE,2675,5,0,POINT (-122.586315 45.364445),21441,394,FALSE,8446,6,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:57:24.406,13888183,bus,4058
278,3403,-10,1,<DATE> @ 09:02:21.624,CENTER,FALSE,8446,6,0,POINT (-122.592803 45.363471),21491,394,FALSE,8313,7,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:58:24.489,13888183,bus,4058
214,3403,-28,1,<DATE> @ 09:03:21.022,CENTER,FALSE,8313,7,0,POINT (-122.598329 45.363047),21533,394,FALSE,7644,8,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 08:59:24.361,13888183,bus,4058
215,3403,-49,1,<DATE> @ 09:04:22.437,CENTER,FALSE,11111,9,0,POINT (-122.602107 45.361847),21573,394,FALSE,8759,10,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:00:27.563,13888183,bus,4058
325,3403,-82,1,<DATE> @ 09:05:22.828,CENTER,FALSE,11111,9,0,POINT (-122.604458 45.360072),21600,394,FALSE,8759,10,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:01:27.484,13888183,bus,4058
177,3401,0,1,<DATE> @ 09:41:24.444,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),23844,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:37:27.708,13888184,bus,3574
177,3401,0,1,<DATE> @ 09:42:22.790,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),23902,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:38:25.078,13888184,bus,3574
177,3401,0,1,<DATE> @ 09:43:22.188,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),23962,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:39:27.895,13888184,bus,3574
177,3401,0,1,<DATE> @ 09:44:22.522,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),24022,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:40:24.647,13888184,bus,3574
177,3401,0,1,<DATE> @ 09:45:23.883,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),24083,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:41:27.879,13888184,bus,3574
177,3401,0,1,<DATE> @ 09:46:22.265,CENTER,FALSE,,,0,POINT (-122.570722 45.371578),24142,394,FALSE,3588,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Road,34  To Clackamas TC,vm,<DATE> @ 09:42:24.842,13888184,bus,3574
