trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
170,3403,-87,0,<DATE> @ 08:07:32.885,CENTER,FALSE,8225,30,0,POINT (-122.640314 45.444714),18125,386,FALSE,7136,31,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:03:35.923,13888153,bus,4058
171,3403,-118,0,<DATE> @ 08:08:33.188,CENTER,FALSE,8225,30,0,POINT (-122.639863 45.442718),18155,386,FALSE,7136,31,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:04:35.815,13888153,bus,4058
168,3403,-149,0,<DATE> @ 08:09:32.602,CENTER,FALSE,7136,31,0,POINT (-122.641998 45.442241),18183,386,FALSE,7141,32,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:05:35.976,13888153,bus,4058
181,3403,-125,0,<DATE> @ 08:10:32.905,CENTER,FALSE,7141,32,0,POINT (-122.640972 45.436819),18267,386,FALSE,7144,33,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:06:35.962,13888153,bus,4058
221,3403,-115,0,<DATE> @ 08:11:32.338,CENTER,FALSE,7144,33,0,POINT (-122.640879 45.432913),18337,386,FALSE,4820,34,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:07:33.110,13888153,bus,4058
199,3403,-79,0,<DATE> @ 08:12:32.718,CENTER,FALSE,4847,36,0,POINT (-122.645191 45.427443),18433,386,FALSE,13756,37,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:08:36.025,13888153,bus,4058
180,3403,-56,0,<DATE> @ 08:13:32.012,CENTER,FALSE,4841,38,0,POINT (-122.645494 45.421979),18516,386,FALSE,4823,39,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:09:33.004,13888153,bus,4058
180,3403,-32,0,<DATE> @ 08:14:32.290,CENTER,FALSE,4858,40,0,POINT (-122.645493 45.416533),18600,386,FALSE,4866,41,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:10:32.949,13888153,bus,4058
179,3403,-12,0,<DATE> @ 08:15:33.689,CENTER,FALSE,4832,43,0,POINT (-122.645459 45.409814),18681,386,FALSE,4874,44,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:11:36.050,13888153,bus,4058
126,3403,5,0,<DATE> @ 08:16:34.021,CENTER,FALSE,4889,46,0,POINT (-122.639574 45.405244),18759,386,FALSE,4838,47,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:12:36.032,13888153,bus,4058
128,3403,7,0,<DATE> @ 08:17:34.351,CENTER,FALSE,4854,48,0,POINT (-122.634397 45.401737),18821,386,FALSE,4863,49,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:13:36.028,13888153,bus,4058
129,3403,32,0,<DATE> @ 08:18:33.774,CENTER,FALSE,4824,51,0,POINT (-122.62736 45.396879),18905,386,FALSE,4880,52,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:14:36.017,13888153,bus,4058
134,3403,40,0,<DATE> @ 08:19:34.070,CENTER,FALSE,4880,52,0,POINT (-122.621274 45.392998),18974,386,FALSE,4834,53,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:15:35.885,13888153,bus,4058
134,3403,33,0,<DATE> @ 08:20:22.344,CENTER,FALSE,13215,54,0,POINT (-122.617849 45.390684),19015,386,FALSE,4852,55,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:16:26.983,13888153,bus,4058
134,3403,28,0,<DATE> @ 08:21:20.761,CENTER,FALSE,4850,56,0,POINT (-122.613342 45.387636),19068,386,FALSE,4871,57,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:17:24.175,13888153,bus,4058
44,3403,25,0,<DATE> @ 08:22:19.108,CENTER,FALSE,4836,59,0,POINT (-122.6086 45.384736),19124,386,FALSE,1993,60,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:18:20.975,13888153,bus,4058
133,3403,6,0,<DATE> @ 08:23:20.445,CENTER,FALSE,1993,60,0,POINT (-122.605149 45.386099),19166,386,FALSE,14,61,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:19:21.051,13888153,bus,4058
86,3403,17,0,<DATE> @ 08:24:19.846,CENTER,FALSE,11,63,0,POINT (-122.597994 45.384165),19236,386,FALSE,17,64,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:20:21.033,13888153,bus,4058
155,3403,0,0,<DATE> @ 08:25:19.232,CENTER,FALSE,4475,65,0,POINT (-122.595497 45.381633),19279,386,FALSE,4467,66,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:21:21.142,13888153,bus,4058
154,3403,-20,0,<DATE> @ 08:26:20.642,CENTER,FALSE,4462,67,0,POINT (-122.593434 45.378533),19320,386,FALSE,4456,68,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:22:24.049,13888153,bus,4058
248,3403,-27,0,<DATE> @ 08:27:19.967,CENTER,FALSE,122,71,0,POINT (-122.600848 45.375896),19372,386,FALSE,135,72,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:23:20.896,13888153,bus,4058
176,3403,-36,0,<DATE> @ 08:28:19.316,CENTER,FALSE,135,72,0,POINT (-122.601298 45.370589),19423,386,FALSE,3831,73,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:24:21.189,13888153,bus,4058
0,3403,-52,0,<DATE> @ 08:29:20.657,CENTER,FALSE,3831,73,0,POINT (-122.602613 45.370034),19468,386,FALSE,14510,74,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:25:24.223,13888153,bus,4058
148,3403,-84,0,<DATE> @ 08:30:38.103,CENTER,FALSE,14510,74,0,POINT (-122.595882 45.369079),19514,386,FALSE,14511,75,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:26:38.933,13888153,bus,4058
230,3403,-95,0,<DATE> @ 08:31:38.467,CENTER,FALSE,14511,75,0,POINT (-122.599205 45.364394),19563,386,FALSE,10447,76,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:27:38.971,13888153,bus,4058
306,3403,-127,0,<DATE> @ 08:32:37.772,CENTER,FALSE,14511,75,0,POINT (-122.601999 45.362431),19590,386,FALSE,10447,76,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 River Rd,34 River Rd to Clackamas Heights Via Oregon City TC,vm,<DATE> @ 08:28:39.244,13888153,bus,4058
