trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
35,3403,-216,0,<DATE> @ 08:35:14.777,CENTER,FALSE,10447,76,0,POINT (-122.602493 45.361461),19658,391,FALSE,3690,77,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:31:18.285,13888153,bus,4058
125,3403,-234,0,<DATE> @ 08:36:14.294,CENTER,FALSE,3690,77,0,POINT (-122.600224 45.36154),19700,391,FALSE,8309,78,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:32:15.098,13888153,bus,4058
125,3403,-295,0,<DATE> @ 08:37:16.734,CENTER,FALSE,3690,77,0,POINT (-122.600145 45.361501),19701,391,FALSE,8309,78,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:33:17.987,13888153,bus,4058
98,3403,-271,0,<DATE> @ 08:38:37.379,CENTER,FALSE,8309,78,0,POINT (-122.593776 45.363569),19806,391,FALSE,8,79,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:34:39.104,13888153,bus,4058
59,3403,-239,0,<DATE> @ 08:39:36.705,CENTER,FALSE,8,79,0,POINT (-122.587337 45.364412),19897,391,FALSE,8447,80,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:35:39.192,13888153,bus,4058
56,3403,-188,0,<DATE> @ 08:40:36.126,CENTER,FALSE,2674,81,0,POINT (-122.580254 45.36597),20008,391,FALSE,8310,82,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:36:39.380,13888153,bus,4058
56,3403,-151,0,<DATE> @ 08:41:07.378,CENTER,FALSE,8310,82,0,POINT (-122.575938 45.368004),20076,391,FALSE,8311,83,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:37:09.176,13888153,bus,4058
344,3403,0,0,<DATE> @ 08:42:36.994,CENTER,FALSE,2681,84,0,POINT (-122.56778 45.372877),20217,391,FALSE,8312,85,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 08:38:39.044,13888153,bus,4058
125,3401,-138,0,<DATE> @ 09:34:16.922,CENTER,FALSE,3690,77,0,POINT (-122.601569 45.362212),23278,391,FALSE,8309,78,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:30:18.640,13888154,bus,3574
125,3401,-177,0,<DATE> @ 09:35:17.241,CENTER,FALSE,3690,77,0,POINT (-122.600184 45.36152),23300,391,FALSE,8309,78,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:31:18.462,13888154,bus,3574
35,3401,-202,0,<DATE> @ 09:36:17.541,CENTER,FALSE,3690,77,0,POINT (-122.598647 45.362731),23335,391,FALSE,8309,78,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:32:18.831,13888154,bus,3574
61,3401,-124,0,<DATE> @ 09:37:16.972,CENTER,FALSE,8,79,0,POINT (-122.589032 45.36377),23472,391,FALSE,8447,80,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:33:18.754,13888154,bus,3574
55,3401,-97,0,<DATE> @ 09:38:17.258,CENTER,FALSE,8447,80,0,POINT (-122.583343 45.364513),23560,391,FALSE,2674,81,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:34:18.637,13888154,bus,3574
50,3401,-1,0,<DATE> @ 09:39:17.741,CENTER,FALSE,8311,83,0,POINT (-122.57348 45.369278),23716,391,FALSE,2681,84,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:35:18.615,13888154,bus,3574
344,3401,40,0,<DATE> @ 09:40:16.056,CENTER,FALSE,2681,84,0,POINT (-122.56778 45.372877),23816,391,FALSE,8312,85,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 09:36:18.732,13888154,bus,3574
35,3402,-478,0,<DATE> @ 10:39:25.229,CENTER,FALSE,10447,76,0,POINT (-122.603073 45.360888),26847,391,FALSE,3690,77,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 To Clackamas Heights,34  To Clackamas Heights to Longview Way & Holcomb,vm,<DATE> @ 10:35:28.178,13888155,bus,4032
