trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
355,3501,-93,1,<DATE> @ 00:22:35.587,CENTER,FALSE,3622,37,0,POINT (-122.67144 45.47305),76622,501,FALSE,3619,38,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:18:38.539,13888574,bus,4208
347,3501,-87,1,<DATE> @ 00:23:34.996,CENTER,FALSE,3619,38,0,POINT (-122.672525 45.478714),76687,501,FALSE,3623,39,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:19:38.260,13888574,bus,4208
339,3501,-84,1,<DATE> @ 00:24:35.378,CENTER,FALSE,3623,39,0,POINT (-122.674649 45.48418),76751,501,FALSE,3603,40,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:20:38.234,13888574,bus,4208
343,3501,-122,1,<DATE> @ 00:25:25.720,CENTER,FALSE,3603,40,0,POINT (-122.675144 45.485152),76763,501,FALSE,3616,41,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:21:29.596,13888574,bus,4208
32,3501,-146,1,<DATE> @ 00:26:28.133,CENTER,FALSE,3616,41,0,POINT (-122.674871 45.48842),76802,501,FALSE,3613,42,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:22:29.257,13888574,bus,4208
0,3501,-138,1,<DATE> @ 00:27:27.456,CENTER,FALSE,13184,43,0,POINT (-122.67294 45.494083),76869,501,FALSE,3611,44,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:23:29.712,13888574,bus,4208
0,3501,-124,1,<DATE> @ 00:28:27.827,CENTER,FALSE,13185,45,0,POINT (-122.672525 45.500567),76943,501,FALSE,143,46,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:24:29.611,13888574,bus,4208
274,3501,-123,1,<DATE> @ 00:29:29.147,CENTER,FALSE,13185,45,0,POINT (-122.678457 45.503767),77006,501,FALSE,143,46,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:25:32.305,13888574,bus,4208
354,3502,13,1,<DATE> @ 00:51:24.635,CENTER,FALSE,3622,41,0,POINT (-122.671784 45.476163),78457,501,FALSE,3619,42,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:47:26.353,13888575,bus,4219
346,3502,7,1,<DATE> @ 00:52:24.919,CENTER,FALSE,3619,42,0,POINT (-122.673258 45.480896),78511,501,FALSE,3623,43,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:48:26.418,13888575,bus,4219
339,3502,-7,1,<DATE> @ 00:53:26.254,CENTER,FALSE,3623,43,0,POINT (-122.675001 45.484849),78559,501,FALSE,3603,44,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:49:29.613,13888575,bus,4219
24,3502,-6,1,<DATE> @ 00:54:26.569,CENTER,FALSE,3616,45,0,POINT (-122.673724 45.489819),78620,501,FALSE,3613,46,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:50:29.756,13888575,bus,4219
6,3502,-28,1,<DATE> @ 00:55:25.082,CENTER,FALSE,3613,46,0,POINT (-122.672964 45.493003),78657,501,FALSE,13184,47,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:51:26.555,13888575,bus,4219
0,3502,-51,1,<DATE> @ 00:56:26.414,CENTER,FALSE,13184,47,0,POINT (-122.672866 45.496368),78695,501,FALSE,3611,48,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:52:29.578,13888575,bus,4219
0,3502,-110,1,<DATE> @ 00:57:25.743,CENTER,FALSE,13184,47,0,POINT (-122.672866 45.496368),78695,501,FALSE,3611,48,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:53:29.642,13888575,bus,4219
0,3502,-171,1,<DATE> @ 00:58:26.099,CENTER,FALSE,13184,47,0,POINT (-122.672866 45.496368),78695,501,FALSE,3611,48,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:54:26.862,13888575,bus,4219
0,3502,-219,1,<DATE> @ 00:59:18.360,CENTER,FALSE,3611,48,0,POINT (-122.67286 45.496731),78699,501,FALSE,13185,49,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:55:20.620,13888575,bus,4219
298,3502,-201,1,<DATE> @ 01:00:18.833,CENTER,FALSE,13185,49,0,POINT (-122.675587 45.502291),78777,501,FALSE,143,50,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:56:20.673,13888575,bus,4219
0,3502,-198,1,<DATE> @ 01:01:18.173,CENTER,FALSE,143,50,0,POINT (-122.678604 45.5066),78840,501,FALSE,6472,51,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 00:57:23.628,13888575,bus,4219
352,3504,27,1,<DATE> @ 01:21:14.856,CENTER,FALSE,3622,37,0,POINT (-122.671854 45.476532),80261,501,FALSE,3619,38,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 01:17:17.809,13888576,bus,4065
341,3504,40,1,<DATE> @ 01:22:15.320,CENTER,FALSE,3623,39,0,POINT (-122.673995 45.482916),80335,501,FALSE,3603,40,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 01:18:17.849,13888576,bus,4065
340,3504,-2,1,<DATE> @ 01:23:21.785,CENTER,FALSE,3623,39,0,POINT (-122.675051 45.484946),80359,501,FALSE,3603,40,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 01:19:23.671,13888576,bus,4065
24,3504,-2,1,<DATE> @ 01:24:22.215,CENTER,FALSE,3616,41,0,POINT (-122.67372 45.489825),80420,501,FALSE,3613,42,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 01:20:23.770,13888576,bus,4065
2,3504,-4,1,<DATE> @ 01:25:23.569,CENTER,FALSE,13184,43,0,POINT (-122.672918 45.494966),80479,501,FALSE,3611,44,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35 University of Portland,35  Macadam/Greeley to University of Portland via City Ctr,vm,<DATE> @ 01:21:27.208,13888576,bus,4065
