trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
200,3506,-108,0,<DATE> @ 00:04:21.906,CENTER,FALSE,7586,36,0,POINT (-122.677827 45.518274),75513,496,FALSE,7614,37,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:00:23.057,13888368,bus,4238
200,3506,-117,0,<DATE> @ 00:05:26.185,CENTER,FALSE,7614,37,0,POINT (-122.679044 45.516056),75569,496,FALSE,13167,38,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:01:29.163,13888368,bus,4238
200,3506,-114,0,<DATE> @ 00:06:26.528,CENTER,FALSE,7614,37,0,POINT (-122.680355 45.513636),75632,496,FALSE,13167,38,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:02:29.462,13888368,bus,4238
200,3506,-177,0,<DATE> @ 00:07:36.990,CENTER,FALSE,13167,38,0,POINT (-122.680531 45.513312),75639,496,FALSE,2580,39,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:03:38.436,13888368,bus,4238
200,3506,-198,0,<DATE> @ 00:08:09.188,CENTER,FALSE,13167,38,0,POINT (-122.680785 45.512843),75651,496,FALSE,2580,39,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:04:11.289,13888368,bus,4238
110,3506,-230,0,<DATE> @ 00:09:37.410,CENTER,FALSE,13167,38,0,POINT (-122.681679 45.510739),75707,496,FALSE,2580,39,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:05:38.584,13888368,bus,4238
110,3506,-243,0,<DATE> @ 00:10:37.738,CENTER,FALSE,2580,39,0,POINT (-122.679017 45.510009),75754,496,FALSE,2566,40,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:06:38.147,13888368,bus,4238
110,3506,-263,0,<DATE> @ 00:11:10.868,CENTER,FALSE,2566,40,0,POINT (-122.67832 45.509821),75767,496,FALSE,13180,41,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:07:11.529,13888368,bus,4238
110,3506,-305,0,<DATE> @ 00:12:11.158,CENTER,FALSE,2566,40,0,POINT (-122.677241 45.509532),75786,496,FALSE,13180,41,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:08:14.438,13888368,bus,4238
108,3506,-305,0,<DATE> @ 00:13:11.546,CENTER,FALSE,2566,40,0,POINT (-122.676248 45.507371),75846,496,FALSE,13180,41,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:09:14.363,13888368,bus,4238
110,3506,-338,0,<DATE> @ 00:14:10.854,CENTER,FALSE,2566,40,0,POINT (-122.674715 45.507242),75872,496,FALSE,13180,41,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:10:11.497,13888368,bus,4238
158,3506,-286,0,<DATE> @ 00:15:11.153,CENTER,FALSE,13180,41,0,POINT (-122.672871 45.503366),75985,496,FALSE,13601,42,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:11:14.207,13888368,bus,4238
181,3506,-269,0,<DATE> @ 00:16:19.544,CENTER,FALSE,13601,42,0,POINT (-122.67173 45.499899),76070,496,FALSE,12760,43,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:12:20.383,13888368,bus,4238
181,3506,-222,0,<DATE> @ 00:17:21.776,CENTER,FALSE,12880,44,0,POINT (-122.671929 45.495266),76179,496,FALSE,13183,45,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:13:23.564,13888368,bus,4238
180,3506,-251,0,<DATE> @ 00:18:25.100,CENTER,FALSE,13183,45,0,POINT (-122.672004 45.493331),76214,496,FALSE,3612,46,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35R To Ore City via Riverside,35R  Macadam/Riverside to Ore City TC via Riverside Dr,vm,<DATE> @ 00:14:26.193,13888368,bus,4238
