trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
121,4009,-33,0,<DATE> @ 00:25:36.764,CENTER,FALSE,11813,32,,POINT (-122.667379 45.529845),76863,498,FALSE,9311,33,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:21:38.477,13888369,bus,3524
254,4009,-24,0,<DATE> @ 00:26:34.167,CENTER,FALSE,11813,32,,POINT (-122.670922 45.526837),76930,498,FALSE,9311,33,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:22:35.591,13888369,bus,3524
179,4009,6,0,<DATE> @ 00:27:35.522,CENTER,FALSE,9311,33,,POINT (-122.675515 45.526151),77021,498,FALSE,9301,34,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:23:38.605,13888369,bus,3524
178,4009,20,0,<DATE> @ 00:28:26.826,CENTER,FALSE,9301,34,,POINT (-122.675457 45.524449),77086,498,FALSE,7631,35,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:24:29.654,13888369,bus,3524
198,4009,21,0,<DATE> @ 00:29:25.157,CENTER,FALSE,9301,34,,POINT (-122.675398 45.522871),77146,498,FALSE,7631,35,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:25:26.598,13888369,bus,3524
201,4009,6,0,<DATE> @ 00:30:16.487,CENTER,FALSE,7631,35,,POINT (-122.675826 45.521965),77182,498,FALSE,7586,36,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:26:17.677,13888369,bus,3524
201,4009,43,0,<DATE> @ 00:31:16.838,CENTER,FALSE,7631,35,,POINT (-122.677092 45.51964),77279,498,FALSE,7586,36,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:27:17.654,13888369,bus,3524
200,4009,7,0,<DATE> @ 00:32:36.444,CENTER,FALSE,7586,36,,POINT (-122.67805 45.517863),77323,498,FALSE,7614,37,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:28:38.421,13888369,bus,3524
200,4009,-13,0,<DATE> @ 00:33:37.788,CENTER,FALSE,7586,36,,POINT (-122.678901 45.51632),77364,498,FALSE,7614,37,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:29:38.706,13888369,bus,3524
200,4009,-39,0,<DATE> @ 00:34:11.976,CENTER,FALSE,7614,37,,POINT (-122.679095 45.515963),77372,498,FALSE,13167,38,FALSE,084C8D,35,Bus,<DAY EIGHT> @ 03:00:00.000,35T To OCTC via Terwilliger,35T  Macadam/Terwilliger to Oregon City TC via Terwilliger,vm,<DATE> @ 00:30:14.492,13888369,bus,3524
