trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
214,3502,0,1,<DATE> @ 00:04:13.823,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75613,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:00:14.225,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:05:15.128,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75675,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:01:17.185,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:06:14.447,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75734,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:02:17.462,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:07:14.925,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75794,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:03:17.156,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:08:14.226,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75854,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:04:17.590,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:09:14.255,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75914,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:05:17.351,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:10:13.620,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),75973,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:06:14.232,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:11:13.885,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76033,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:07:14.138,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:12:14.160,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76094,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:08:17.550,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:13:14.565,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76154,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:09:17.455,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:14:14.872,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76214,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:10:17.253,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:15:15.155,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76275,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:11:17.368,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:16:13.472,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76333,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:12:14.204,13888575,bus,4219
214,3502,0,1,<DATE> @ 00:17:14.741,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76394,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:13:17.358,13888575,bus,4219
214,3502,-15,1,<DATE> @ 00:18:15.033,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76440,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:14:17.315,13888575,bus,4219
214,3502,-76,1,<DATE> @ 00:19:16.433,CENTER,FALSE,,,0,POINT (-122.603815 45.36015),76440,494,FALSE,8762,1,FALSE,084C8D,35,Bus,<DATE> @ 03:00:00.000,35T To U. Port via Terwilliger,35T  Macadam/Terwilliger to Univ of Portland via Terwilliger,vm,<DATE> @ 00:15:17.568,13888575,bus,4219
