trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
108,3867,0,0,<DATE> @ 09:36:38.729,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23558,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:32:39.557,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:37:38.086,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23618,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:33:39.713,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:38:38.462,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23678,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:34:39.841,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:39:37.850,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23737,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:35:39.618,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:40:38.097,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23798,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:36:39.799,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:41:38.557,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23858,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:37:39.740,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:42:37.852,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23917,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:38:39.985,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:43:38.248,MERLO,FALSE,,,,POINT (-122.684774 45.515379),23978,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:39:39.335,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:44:38.567,MERLO,FALSE,,,,POINT (-122.684774 45.515379),24038,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:40:39.832,13888647,bus,3001
108,3867,0,0,<DATE> @ 09:45:37.986,MERLO,FALSE,,,,POINT (-122.684774 45.515379),24097,527,FALSE,9044,1,FALSE,084C8D,38,Bus,<DATE> @ 03:00:00.000,38 To Tualatin P&R,38  Boones Ferry to Tualatin Park & Ride,vm,<DATE> @ 09:41:39.524,13888647,bus,3001
