trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
60,3901,0,0,<DATE> @ 10:05:34.121,CENTER,FALSE,,,0,POINT (-122.692949 45.47891),25294,479,FALSE,929,1,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:01:36.959,13888675,bus,4211
60,3901,0,0,<DATE> @ 10:06:33.403,CENTER,FALSE,,,0,POINT (-122.692949 45.47891),25353,479,FALSE,929,1,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:02:37.003,13888675,bus,4211
87,3901,30,0,<DATE> @ 10:07:11.678,CENTER,FALSE,929,1,0,POINT (-122.688735 45.480257),25421,479,FALSE,956,2,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:03:12.959,13888675,bus,4211
180,3901,37,0,<DATE> @ 10:08:12.137,CENTER,FALSE,956,2,0,POINT (-122.684367 45.477416),25489,479,FALSE,5785,3,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:04:12.859,13888675,bus,4211
209,3901,42,0,<DATE> @ 10:09:12.558,CENTER,FALSE,5792,4,0,POINT (-122.685023 45.473198),25554,479,FALSE,5787,5,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:05:16.066,13888675,bus,4211
269,3901,3,0,<DATE> @ 10:10:29.954,CENTER,FALSE,191,6,0,POINT (-122.686618 45.471136),25592,479,FALSE,199,7,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:06:30.832,13888675,bus,4211
230,3901,-32,0,<DATE> @ 10:11:38.384,CENTER,FALSE,199,7,0,POINT (-122.689899 45.470204),25626,479,FALSE,200,8,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:07:40.032,13888675,bus,4211
230,3901,15,0,<DATE> @ 10:12:38.661,CENTER,FALSE,201,9,0,POINT (-122.697205 45.465956),25733,479,FALSE,7036,10,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:08:39.570,13888675,bus,4211
179,3901,-5,0,<DATE> @ 10:13:38.188,CENTER,FALSE,7036,10,0,POINT (-122.697323 45.463601),25773,479,FALSE,7049,11,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:09:39.792,13888675,bus,4211
89,3901,-16,0,<DATE> @ 10:14:25.341,CENTER,FALSE,5317,12,0,POINT (-122.694292 45.463508),25809,479,FALSE,5315,13,FALSE,084C8D,39,Bus,<DATE> @ 03:00:00.000,39 Arnold Creek to Barbur TC,39  Arnold Creek to Barbur TC,vm,<DATE> @ 10:10:27.666,13888675,bus,4211
