trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
235,405,-804,0,<DATE> @ 16:10:15.265,CENTER,FALSE,13479,61,0,POINT (-122.751458 45.595933),46371,126,FALSE,5374,62,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:06:18.437,13879697,bus,3125
235,405,-756,0,<DATE> @ 16:11:15.591,CENTER,FALSE,5375,63,0,POINT (-122.756679 45.593391),46479,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:07:18.316,13879697,bus,3125
234,405,-800,0,<DATE> @ 16:12:15.899,CENTER,FALSE,5375,63,0,POINT (-122.757449 45.593014),46495,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:08:18.341,13879697,bus,3125
147,405,-788,0,<DATE> @ 16:13:16.223,CENTER,FALSE,9505,64,0,POINT (-122.755248 45.590541),46568,126,FALSE,3465,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:09:18.124,13879697,bus,3125
235,420,-63,0,<DATE> @ 16:14:19.571,CENTER,FALSE,5375,63,0,POINT (-122.755532 45.59395),47356,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:10:20.952,13879698,bus,3520
138,405,0,0,<DATE> @ 16:14:36.769,CENTER,FALSE,3465,65,0,POINT (-122.751768 45.589212),46637,126,FALSE,3474,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:10:39.222,13879697,bus,3125
224,420,-82,0,<DATE> @ 16:15:19.062,CENTER,FALSE,5375,63,0,POINT (-122.757537 45.592962),47397,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:11:24.545,13879698,bus,3520
118,420,-64,0,<DATE> @ 16:16:22.346,CENTER,FALSE,9505,64,0,POINT (-122.754898 45.590242),47478,126,FALSE,3465,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:12:24.179,13879698,bus,3520
114,420,-128,0,<DATE> @ 16:17:38.029,CENTER,FALSE,3465,65,0,POINT (-122.754273 45.590035),47490,126,FALSE,3474,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:13:39.330,13879698,bus,3520
198,420,0,0,<DATE> @ 16:18:38.171,CENTER,FALSE,3474,66,0,POINT (-122.751334 45.588571),47562,126,FALSE,4818,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:14:39.214,13879698,bus,3520
235,407,-398,0,<DATE> @ 16:35:29.187,CENTER,FALSE,13479,61,,POINT (-122.751458 45.595933),48291,126,FALSE,5374,62,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:31:30.727,13879699,bus,3170
235,407,-368,0,<DATE> @ 16:36:31.482,CENTER,FALSE,5375,63,,POINT (-122.75586 45.59379),48383,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:32:33.379,13879699,bus,3170
234,407,-396,0,<DATE> @ 16:37:29.857,CENTER,FALSE,5375,63,,POINT (-122.757359 45.593058),48413,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:33:33.582,13879699,bus,3170
145,407,-437,0,<DATE> @ 16:38:30.227,CENTER,FALSE,5375,63,,POINT (-122.757117 45.592464),48433,126,FALSE,9505,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:34:33.609,13879699,bus,3170
145,407,-445,0,<DATE> @ 16:39:29.643,CENTER,FALSE,9505,64,,POINT (-122.755377 45.590672),48484,126,FALSE,3465,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:35:30.380,13879699,bus,3170
115,407,-486,0,<DATE> @ 16:40:27.964,CENTER,FALSE,9505,64,,POINT (-122.754672 45.590166),48501,126,FALSE,3465,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:36:30.306,13879699,bus,3170
114,407,-503,0,<DATE> @ 16:41:33.319,CENTER,FALSE,3465,65,,POINT (-122.752159 45.589357),48550,126,FALSE,3474,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To N Richmond & Syracuse,4  To N Richmond & Syracuse,vm,<DATE> @ 16:37:36.961,13879699,bus,3170
