trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
358,408,-334,0,<DATE> @ 15:55:19.806,CENTER,FALSE,7751,4,0,POINT (-122.676457 45.523334),45945,125,FALSE,8886,5,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:51:24.735,13879700,bus,3142
270,407,-215,0,<DATE> @ 15:55:18.806,CENTER,FALSE,1843,17,,POINT (-122.675201 45.547825),46063,125,FALSE,3955,18,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:51:24.780,13879699,bus,3170
0,420,-209,0,<DATE> @ 15:55:24.840,CENTER,FALSE,3485,33,0,POINT (-122.686891 45.577265),46075,124,FALSE,1303,34,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:51:26.993,13879698,bus,3520
290,409,0,0,<DATE> @ 15:55:25.840,CENTER,FALSE,,,0,POINT (-122.679568 45.514747),46285,125,FALSE,12791,1,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:51:27.088,13879701,bus,3148
270,405,-1019,0,<DATE> @ 15:55:30.889,CENTER,FALSE,1303,34,0,POINT (-122.687217 45.58239),45271,124,FALSE,3221,35,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:51:33.299,13879697,bus,3125
270,405,-1031,0,<DATE> @ 15:56:13.119,CENTER,FALSE,3218,36,0,POINT (-122.689776 45.582401),45302,124,FALSE,2315,37,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:52:15.999,13879697,bus,3125
358,408,-368,0,<DATE> @ 15:56:18.160,CENTER,FALSE,7751,4,0,POINT (-122.676483 45.5241),45970,125,FALSE,8886,5,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:52:21.275,13879700,bus,3142
0,407,-199,0,<DATE> @ 15:56:18.160,CENTER,FALSE,3955,18,,POINT (-122.675545 45.550714),46139,125,FALSE,3958,19,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:52:21.305,13879699,bus,3170
359,420,-182,0,<DATE> @ 15:56:24.179,CENTER,FALSE,1303,34,0,POINT (-122.686897 45.582136),46162,124,FALSE,3221,35,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:52:30.526,13879698,bus,3520
290,409,0,0,<DATE> @ 15:56:26.195,CENTER,FALSE,,,0,POINT (-122.679568 45.514747),46346,125,FALSE,12791,1,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:52:30.624,13879701,bus,3148
270,405,-1015,0,<DATE> @ 15:57:12.432,CENTER,FALSE,2315,37,0,POINT (-122.695618 45.582705),45377,124,FALSE,2317,38,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:53:15.462,13879697,bus,3125
0,407,-249,0,<DATE> @ 15:57:16.436,CENTER,FALSE,3958,19,,POINT (-122.675543 45.551033),46147,125,FALSE,3966,20,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:53:18.281,13879699,bus,3170
88,408,-365,0,<DATE> @ 15:57:18.455,CENTER,FALSE,8886,5,0,POINT (-122.675371 45.525226),46033,125,FALSE,1612,6,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:53:20.986,13879700,bus,3142
270,420,-233,0,<DATE> @ 15:57:24.509,CENTER,FALSE,1303,34,0,POINT (-122.687168 45.58239),46171,124,FALSE,3221,35,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:53:30.214,13879698,bus,3520
290,409,0,0,<DATE> @ 15:57:25.509,CENTER,FALSE,,,0,POINT (-122.679568 45.514747),46405,125,FALSE,12791,1,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:53:30.286,13879701,bus,3148
270,405,-1026,0,<DATE> @ 15:58:12.830,CENTER,FALSE,2317,38,0,POINT (-122.697644 45.583998),45426,124,FALSE,6384,39,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:54:15.370,13879697,bus,3125
290,409,0,0,<DATE> @ 15:58:11.797,CENTER,FALSE,,,0,POINT (-122.679568 45.514747),46451,125,FALSE,12791,1,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:54:15.383,13879701,bus,3148
87,408,-342,0,<DATE> @ 15:58:19.820,CENTER,FALSE,1612,6,0,POINT (-122.67173 45.525292),46117,125,FALSE,1097,7,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:54:21.435,13879700,bus,3142
0,407,-245,0,<DATE> @ 15:58:24.881,CENTER,FALSE,3966,20,,POINT (-122.67552 45.553998),46219,125,FALSE,3976,21,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns via Albina Ave,vm,<DATE> @ 15:54:30.250,13879699,bus,3170
270,420,-264,0,<DATE> @ 15:58:30.900,CENTER,FALSE,3218,36,0,POINT (-122.690081 45.582401),46206,124,FALSE,2315,37,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:54:32.965,13879698,bus,3520
270,405,-987,0,<DATE> @ 15:59:12.141,CENTER,FALSE,6378,41,0,POINT (-122.705596 45.584008),45525,124,FALSE,6387,42,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To St. Johns,4  Fessenden to St Johns,vm,<DATE> @ 15:55:15.416,13879697,bus,3125
