trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
198,411,-95,1,<DATE> @ 15:55:30.873,CENTER,FALSE,9301,64,,POINT (-122.675695 45.522258),46195,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:51:33.258,13880017,bus,3529
200,411,-97,1,<DATE> @ 15:56:31.196,CENTER,FALSE,7631,65,,POINT (-122.67638 45.520949),46254,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:52:32.887,13880017,bus,3529
201,411,-108,1,<DATE> @ 15:57:26.509,CENTER,FALSE,7642,66,,POINT (-122.676894 45.519995),46298,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:53:30.216,13880017,bus,3529
201,411,-81,1,<DATE> @ 15:58:25.896,CENTER,FALSE,7642,66,,POINT (-122.6779 45.518141),46384,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:54:30.172,13880017,bus,3529
200,411,0,1,<DATE> @ 15:59:26.229,CENTER,FALSE,7642,66,,POINT (-122.678545 45.51698),46440,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:55:27.014,13880017,bus,3529
200,411,0,1,<DATE> @ 16:00:14.424,CENTER,FALSE,7634,67,,POINT (-122.679337 45.515516),46512,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 15:56:15.513,13880017,bus,3529
266,401,-7,1,<DATE> @ 16:05:20.427,CENTER,FALSE,9311,63,0,POINT (-122.674563 45.526678),46873,120,FALSE,9301,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:01:21.483,13880018,bus,4040
178,401,60,1,<DATE> @ 16:06:18.806,CENTER,FALSE,9301,64,0,POINT (-122.675456 45.524419),46998,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:02:21.337,13880018,bus,4040
198,401,82,1,<DATE> @ 16:07:18.073,CENTER,FALSE,9301,64,0,POINT (-122.675564 45.522532),47080,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:03:21.448,13880018,bus,4040
198,401,28,1,<DATE> @ 16:08:18.504,CENTER,FALSE,9301,64,0,POINT (-122.675625 45.522405),47086,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:04:24.796,13880018,bus,4040
198,401,-41,1,<DATE> @ 16:09:36.995,CENTER,FALSE,9301,64,0,POINT (-122.675676 45.522298),47095,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:05:39.416,13880018,bus,4040
201,401,-53,1,<DATE> @ 16:10:16.265,CENTER,FALSE,7631,65,0,POINT (-122.676015 45.521623),47123,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:06:18.472,13880018,bus,4040
200,401,42,1,<DATE> @ 16:11:36.708,CENTER,FALSE,7642,66,0,POINT (-122.678082 45.517802),47298,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:07:39.479,13880018,bus,4040
200,401,24,1,<DATE> @ 16:12:35.002,CENTER,FALSE,7642,66,0,POINT (-122.678545 45.51698),47339,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:08:36.433,13880018,bus,4040
200,401,0,1,<DATE> @ 16:13:37.437,CENTER,FALSE,7634,67,0,POINT (-122.679819 45.514626),47456,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:09:39.490,13880018,bus,4040
178,402,93,1,<DATE> @ 16:19:38.535,CENTER,FALSE,9311,63,0,POINT (-122.675511 45.525968),47831,120,FALSE,9301,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:15:39.369,13880019,bus,3150
178,402,115,1,<DATE> @ 16:20:23.810,CENTER,FALSE,9301,64,0,POINT (-122.675456 45.524419),47898,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:16:27.275,13880019,bus,3150
178,402,102,1,<DATE> @ 16:21:24.168,CENTER,FALSE,9301,64,0,POINT (-122.675417 45.523299),47946,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:17:27.392,13880019,bus,3150
201,402,104,1,<DATE> @ 16:22:23.504,CENTER,FALSE,7631,65,0,POINT (-122.675844 45.521934),48007,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:18:24.223,13880019,bus,3150
200,402,123,1,<DATE> @ 16:23:22.830,CENTER,FALSE,7631,65,0,POINT (-122.676728 45.520305),48085,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:19:24.321,13880019,bus,3150
200,402,155,1,<DATE> @ 16:24:13.143,CENTER,FALSE,7642,66,0,POINT (-122.677722 45.518471),48168,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:20:15.610,13880019,bus,3150
200,402,0,1,<DATE> @ 16:25:37.728,CENTER,FALSE,7634,67,0,POINT (-122.679614 45.515005),48336,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:21:39.314,13880019,bus,3150
110,402,0,1,<DATE> @ 16:26:37.029,CENTER,FALSE,7634,67,0,POINT (-122.679107 45.513872),48415,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:22:39.254,13880019,bus,3150
290,402,0,1,<DATE> @ 16:27:37.368,CENTER,FALSE,7634,67,0,POINT (-122.67933 45.514684),48471,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:23:39.300,13880019,bus,3150
290,402,0,1,<DATE> @ 16:28:37.754,CENTER,FALSE,7634,67,0,POINT (-122.67933 45.514684),48471,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:24:39.358,13880019,bus,3150
290,402,0,1,<DATE> @ 16:29:38.094,CENTER,FALSE,7634,67,0,POINT (-122.67933 45.514684),48471,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:25:39.545,13880019,bus,3150
245,415,-113,1,<DATE> @ 16:36:16.458,CENTER,FALSE,9311,63,0,POINT (-122.674451 45.526707),48623,120,FALSE,9301,64,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:32:18.369,13880020,bus,3559
178,415,-40,1,<DATE> @ 16:37:27.966,CENTER,FALSE,9301,64,0,POINT (-122.675454 45.524383),48767,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:33:30.214,13880020,bus,3559
198,415,1,1,<DATE> @ 16:38:29.211,CENTER,FALSE,9301,64,0,POINT (-122.675662 45.522328),48870,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:34:30.381,13880020,bus,3559
200,415,28,1,<DATE> @ 16:39:31.675,CENTER,FALSE,7631,65,0,POINT (-122.676634 45.520479),48959,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:35:33.587,13880020,bus,3559
200,415,-19,1,<DATE> @ 16:40:30.965,CENTER,FALSE,7631,65,0,POINT (-122.676726 45.52031),48971,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:36:33.480,13880020,bus,3559
200,415,23,1,<DATE> @ 16:41:27.300,CENTER,FALSE,7642,66,0,POINT (-122.677824 45.51828),49070,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:37:30.682,13880020,bus,3559
200,415,-6,1,<DATE> @ 16:41:57.476,CENTER,FALSE,7642,66,0,POINT (-122.677824 45.51828),49071,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:38:00.715,13880020,bus,3559
200,415,0,1,<DATE> @ 16:43:27.888,CENTER,FALSE,7634,67,0,POINT (-122.678709 45.516675),49153,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:39:30.436,13880020,bus,3559
200,415,0,1,<DATE> @ 16:44:29.317,CENTER,FALSE,7634,67,0,POINT (-122.679541 45.515139),49230,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:40:30.771,13880020,bus,3559
200,415,0,1,<DATE> @ 16:45:28.635,CENTER,FALSE,7634,67,0,POINT (-122.680033 45.514231),49277,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:41:30.322,13880020,bus,3559
178,416,56,1,<DATE> @ 16:51:22.739,CENTER,FALSE,9301,64,,POINT (-122.675431 45.523701),49698,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:47:24.597,13880021,bus,4209
174,416,26,1,<DATE> @ 16:52:22.088,CENTER,FALSE,9301,64,,POINT (-122.675392 45.523069),49728,120,FALSE,7631,65,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:48:24.573,13880021,bus,4209
200,416,81,1,<DATE> @ 16:53:34.501,CENTER,FALSE,7631,65,,POINT (-122.676599 45.520545),49855,120,FALSE,7642,66,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:49:36.668,13880021,bus,4209
200,416,49,1,<DATE> @ 16:54:29.868,CENTER,FALSE,7642,66,,POINT (-122.676839 45.520097),49878,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:50:33.710,13880021,bus,4209
200,416,131,1,<DATE> @ 16:55:29.239,CENTER,FALSE,7642,66,,POINT (-122.678368 45.517305),50020,120,FALSE,7634,67,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:51:30.660,13880021,bus,4209
200,416,0,1,<DATE> @ 16:56:27.597,CENTER,FALSE,7634,67,,POINT (-122.679933 45.514415),50166,120,FALSE,12791,68,FALSE,084C8D,4,Bus,<DATE> @ 03:00:00.000,4  To SW 5th & Jefferson,4  To SW 5th & Jefferson,vm,<DATE> @ 16:52:31.277,13880021,bus,4209
