trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
127,4009,54,0,<DATE> @ 15:55:25.840,CENTER,FALSE,317,6,0,POINT (-122.703758 45.561805),46339,511,FALSE,115,7,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:51:27.078,13888847,bus,3137
217,4009,69,0,<DATE> @ 15:56:26.195,CENTER,FALSE,317,6,0,POINT (-122.702851 45.557963),46415,511,FALSE,115,7,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:52:30.611,13888847,bus,3137
162,4009,33,0,<DATE> @ 15:57:26.540,CENTER,FALSE,317,6,0,POINT (-122.703833 45.556711),46439,511,FALSE,115,7,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:53:30.267,13888847,bus,3137
178,4009,84,0,<DATE> @ 15:58:26.881,CENTER,FALSE,9399,8,0,POINT (-122.692645 45.555149),46550,511,FALSE,2964,9,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:54:30.231,13888847,bus,3137
110,4009,192,0,<DATE> @ 15:59:25.213,CENTER,FALSE,9399,8,0,POINT (-122.680827 45.545649),46717,511,FALSE,2964,9,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:55:27.099,13888847,bus,3137
179,4009,200,0,<DATE> @ 16:00:26.504,CENTER,FALSE,2964,9,0,POINT (-122.677294 45.541805),46786,511,FALSE,2945,10,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:56:29.992,13888847,bus,3137
155,4009,228,0,<DATE> @ 16:01:26.927,CENTER,FALSE,11844,11,0,POINT (-122.674329 45.535868),46874,511,FALSE,2592,12,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:57:30.260,13888847,bus,3137
90,4009,251,0,<DATE> @ 16:02:27.314,CENTER,FALSE,11844,11,0,POINT (-122.669235 45.533074),46958,511,FALSE,2592,12,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:58:29.901,13888847,bus,3137
89,4009,212,0,<DATE> @ 16:03:26.794,CENTER,FALSE,11844,11,0,POINT (-122.667081 45.533052),46978,511,FALSE,2592,12,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 15:59:30.528,13888847,bus,3137
141,4009,169,0,<DATE> @ 16:04:20.090,CENTER,FALSE,11844,11,0,POINT (-122.666217 45.532583),46989,511,FALSE,2592,12,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 - Tacoma/Swan Isl,40 Tacoma/Swan Isl to Tacoma P&R Via Rose Qtr via Portland City Ctr,vm,<DATE> @ 16:00:21.415,13888847,bus,3137
