trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
27,4006,-37,1,<DATE> @ 16:01:28.929,CENTER,FALSE,9418,1,,POINT (-122.63819 45.465423),46611,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 15:57:30.058,13889087,bus,4201
269,4006,-6,1,<DATE> @ 16:02:28.284,CENTER,FALSE,9418,1,,POINT (-122.642952 45.464313),46702,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 15:58:29.808,13889087,bus,4201
270,4006,-18,1,<DATE> @ 16:03:28.766,CENTER,FALSE,9418,1,,POINT (-122.646833 45.464318),46750,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 15:59:30.374,13889087,bus,4201
270,4006,-30,1,<DATE> @ 16:04:29.160,CENTER,FALSE,5669,2,,POINT (-122.650776 45.464321),46799,515,FALSE,5665,3,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:00:30.012,13889087,bus,4201
270,4006,-21,1,<DATE> @ 16:05:29.480,CENTER,FALSE,5665,3,,POINT (-122.656338 45.464332),46868,515,FALSE,5675,4,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:01:30.282,13889087,bus,4201
269,4006,-43,1,<DATE> @ 16:06:22.828,CENTER,FALSE,5665,3,,POINT (-122.659045 45.464332),46899,515,FALSE,5675,4,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:02:23.988,13889087,bus,4201
269,4006,16,1,<DATE> @ 16:07:21.152,CENTER,FALSE,5675,4,,POINT (-122.668378 45.464282),47017,515,FALSE,13817,5,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:03:24.089,13889087,bus,4201
357,4006,48,1,<DATE> @ 16:08:22.536,CENTER,FALSE,13817,5,,POINT (-122.671679 45.470881),47110,515,FALSE,3622,6,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:04:24.538,13889087,bus,4201
356,4006,15,1,<DATE> @ 16:09:19.909,CENTER,FALSE,13817,5,,POINT (-122.671416 45.472766),47134,515,FALSE,3622,6,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:05:21.224,13889087,bus,4201
347,4006,3,1,<DATE> @ 16:10:21.329,CENTER,FALSE,3622,6,,POINT (-122.671965 45.476962),47184,515,FALSE,3619,7,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:06:24.190,13889087,bus,4201
346,4006,-8,1,<DATE> @ 16:11:21.562,CENTER,FALSE,3619,7,,POINT (-122.673298 45.481011),47233,515,FALSE,3623,8,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:07:24.396,13889087,bus,4201
350,4006,-4,1,<DATE> @ 16:12:20.903,CENTER,FALSE,3603,9,,POINT (-122.675388 45.485862),47296,515,FALSE,3616,10,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:08:24.302,13889087,bus,4201
24,4006,-26,1,<DATE> @ 16:13:33.364,CENTER,FALSE,3616,10,,POINT (-122.673729 45.489811),47347,515,FALSE,3613,11,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:09:36.073,13889087,bus,4201
0,4006,-29,1,<DATE> @ 16:14:33.643,CENTER,FALSE,13184,12,,POINT (-122.672935 45.494501),47404,515,FALSE,3611,13,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:10:36.154,13889087,bus,4201
3,4006,-33,1,<DATE> @ 16:15:33.116,CENTER,FALSE,3611,13,,POINT (-122.672801 45.499169),47460,515,FALSE,13185,14,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:11:36.031,13889087,bus,4201
289,4006,-4,1,<DATE> @ 16:16:15.297,CENTER,FALSE,13185,14,,POINT (-122.674412 45.501818),47531,515,FALSE,143,15,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:12:17.966,13889087,bus,4201
1,4006,13,1,<DATE> @ 16:17:33.855,CENTER,FALSE,143,15,,POINT (-122.67864 45.504748),47626,515,FALSE,6472,16,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:13:36.318,13889087,bus,4201
10,4007,0,1,<DATE> @ 16:21:21.149,CENTER,FALSE,,,,POINT (-122.638552 45.462831),47841,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:17:24.552,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:22:21.471,CENTER,FALSE,,,,POINT (-122.638552 45.462831),47901,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:18:24.215,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:23:21.813,CENTER,FALSE,,,,POINT (-122.638552 45.462831),47961,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:19:24.312,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:24:21.240,CENTER,FALSE,,,,POINT (-122.638552 45.462831),48021,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:20:24.895,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:24:51.465,CENTER,FALSE,,,,POINT (-122.638552 45.462831),48051,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:20:54.210,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:26:21.999,CENTER,FALSE,,,,POINT (-122.638552 45.462831),48141,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:22:24.627,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:27:22.272,CENTER,FALSE,,,,POINT (-122.638552 45.462831),48202,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:23:24.616,13889088,bus,3126
10,4007,0,1,<DATE> @ 16:28:23.644,CENTER,FALSE,,,,POINT (-122.638552 45.462831),48263,515,FALSE,9418,1,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:24:24.542,13889088,bus,3126
10,4007,-18,1,<DATE> @ 16:29:23.002,CENTER,FALSE,9418,1,,POINT (-122.638552 45.462831),48305,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:25:24.649,13889088,bus,3126
10,4007,-92,1,<DATE> @ 16:30:37.480,CENTER,FALSE,9418,1,,POINT (-122.638552 45.462831),48305,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:26:39.603,13889088,bus,3126
66,4007,-104,1,<DATE> @ 16:31:36.845,CENTER,FALSE,9418,1,,POINT (-122.638097 45.465478),48352,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:27:39.740,13889088,bus,3126
270,4007,-54,1,<DATE> @ 16:32:38.298,CENTER,FALSE,9418,1,,POINT (-122.644747 45.464317),48464,515,FALSE,5669,2,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:28:39.826,13889088,bus,3126
270,4007,-59,1,<DATE> @ 16:33:22.450,CENTER,FALSE,5669,2,,POINT (-122.647916 45.464319),48503,515,FALSE,5665,3,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:29:24.401,13889088,bus,3126
270,4007,-24,1,<DATE> @ 16:34:22.722,CENTER,FALSE,5665,3,,POINT (-122.655548 45.464331),48598,515,FALSE,5675,4,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma/Swan Island,40 Tacoma/Swan Island to Swan Island Via Portland City Center,vm,<DATE> @ 16:30:24.656,13889088,bus,3126
