trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
200,4008,-135,0,<DATE> @ 15:55:30.873,CENTER,FALSE,13167,8,,POINT (-122.680485 45.513397),46155,512,FALSE,2580,9,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:51:33.306,13888846,bus,3140
110,4008,-119,0,<DATE> @ 15:56:30.212,CENTER,FALSE,13167,8,,POINT (-122.681539 45.510701),46231,512,FALSE,2580,9,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:52:32.919,13888846,bus,3140
110,4008,-127,0,<DATE> @ 15:57:35.575,CENTER,FALSE,2566,10,,POINT (-122.678423 45.509849),46288,512,FALSE,13180,11,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:53:39.194,13888846,bus,3140
110,4008,-162,0,<DATE> @ 15:58:34.893,CENTER,FALSE,2566,10,,POINT (-122.677165 45.509512),46312,512,FALSE,13180,11,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:54:36.287,13888846,bus,3140
110,4008,-139,0,<DATE> @ 15:59:36.251,CENTER,FALSE,2566,10,,POINT (-122.674822 45.507271),46397,512,FALSE,13180,11,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:55:39.121,13888846,bus,3140
155,4008,-74,0,<DATE> @ 16:00:36.562,CENTER,FALSE,13180,11,,POINT (-122.672759 45.503175),46522,512,FALSE,13601,12,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:56:39.372,13888846,bus,3140
181,4008,-55,0,<DATE> @ 16:01:34.980,CENTER,FALSE,13601,12,,POINT (-122.67172 45.500149),46599,512,FALSE,12760,13,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:57:36.296,13888846,bus,3140
181,4008,-65,0,<DATE> @ 16:02:37.368,CENTER,FALSE,12760,13,,POINT (-122.671829 45.497983),46652,512,FALSE,12880,14,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:58:39.235,13888846,bus,3140
181,4008,-53,0,<DATE> @ 16:03:09.550,CENTER,FALSE,12760,13,,POINT (-122.671892 45.496217),46696,512,FALSE,12880,14,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 15:59:15.274,13888846,bus,3140
203,4008,-19,0,<DATE> @ 16:04:37.203,CENTER,FALSE,13183,15,,POINT (-122.673701 45.490093),46818,512,FALSE,3612,16,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 Tacoma,40 Tacoma to Tacoma P&R,vm,<DATE> @ 16:00:39.343,13888846,bus,3140
