trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
20,4001,-151,1,<DATE> @ 15:56:13.103,CENTER,FALSE,13305,18,0,POINT (-122.681674 45.51344),46182,516,FALSE,11486,19,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:52:15.550,13889086,bus,4204
19,4001,-146,1,<DATE> @ 15:57:13.404,CENTER,FALSE,11486,19,0,POINT (-122.680121 45.516364),46247,516,FALSE,7789,20,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:53:15.174,13889086,bus,4204
20,4001,-147,1,<DATE> @ 15:58:19.804,CENTER,FALSE,7789,20,0,POINT (-122.678709 45.518968),46312,516,FALSE,7803,21,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:54:21.335,13889086,bus,4204
21,4001,-176,1,<DATE> @ 15:59:19.145,CENTER,FALSE,7789,20,0,POINT (-122.678079 45.520151),46343,516,FALSE,7803,21,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:55:24.441,13889086,bus,4204
21,4001,-188,1,<DATE> @ 16:00:13.393,CENTER,FALSE,7803,21,0,POINT (-122.677204 45.521753),46385,516,FALSE,7751,22,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:56:15.314,13889086,bus,4204
6,4001,-231,1,<DATE> @ 16:01:32.946,CENTER,FALSE,7751,22,0,POINT (-122.676461 45.523112),46421,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:57:36.164,13889086,bus,4204
358,4001,-252,1,<DATE> @ 16:02:33.382,CENTER,FALSE,7751,22,0,POINT (-122.67651 45.524768),46461,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:58:36.338,13889086,bus,4204
88,4001,-275,1,<DATE> @ 16:03:22.683,CENTER,FALSE,7751,22,0,POINT (-122.675774 45.525219),46487,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 15:59:24.005,13889086,bus,4204
88,4001,-281,1,<DATE> @ 16:04:13.070,CENTER,FALSE,8886,23,0,POINT (-122.673007 45.525267),46532,516,FALSE,1612,24,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:00:15.214,13889086,bus,4204
304,4001,-158,1,<DATE> @ 16:05:22.475,CENTER,FALSE,1612,24,0,POINT (-122.666149 45.529568),46724,516,FALSE,13106,25,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:01:24.114,13889086,bus,4204
226,4001,-142,1,<DATE> @ 16:06:22.812,CENTER,FALSE,13106,25,0,POINT (-122.666366 45.530021),46800,516,FALSE,2592,26,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:02:24.001,13889086,bus,4204
319,4001,-176,1,<DATE> @ 16:07:32.264,CENTER,FALSE,2592,26,0,POINT (-122.670244 45.531617),46836,516,FALSE,3365,27,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:03:33.000,13889086,bus,4204
347,4001,-175,1,<DATE> @ 16:08:31.666,CENTER,FALSE,3365,27,0,POINT (-122.674417 45.536436),46896,516,FALSE,11840,28,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:04:33.060,13889086,bus,4204
307,4001,-196,1,<DATE> @ 16:09:31.930,CENTER,FALSE,11839,29,0,POINT (-122.675865 45.53984),46935,516,FALSE,2962,30,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:05:33.081,13889086,bus,4204
356,4001,-213,1,<DATE> @ 16:10:32.350,CENTER,FALSE,2962,30,0,POINT (-122.677099 45.543516),46979,516,FALSE,2195,31,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:06:33.201,13889086,bus,4204
290,4001,-246,1,<DATE> @ 16:11:32.714,CENTER,FALSE,2962,30,0,POINT (-122.679201 45.545219),47006,516,FALSE,2195,31,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:07:36.369,13889086,bus,4204
322,4001,-189,1,<DATE> @ 16:12:31.959,CENTER,FALSE,2962,30,0,POINT (-122.690602 45.552612),47122,516,FALSE,2195,31,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:08:33.072,13889086,bus,4204
268,4001,-185,1,<DATE> @ 16:13:32.425,CENTER,FALSE,2195,31,0,POINT (-122.690567 45.556077),47187,516,FALSE,2161,32,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:09:33.263,13889086,bus,4204
308,4001,-158,1,<DATE> @ 16:14:32.703,CENTER,FALSE,2161,32,0,POINT (-122.701943 45.557204),47274,516,FALSE,3315,33,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:10:36.155,13889086,bus,4204
39,4001,-177,1,<DATE> @ 16:15:32.099,CENTER,FALSE,3315,33,0,POINT (-122.70127 45.559419),47315,516,FALSE,324,34,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:11:33.110,13889086,bus,4204
308,4001,-139,1,<DATE> @ 16:16:33.430,CENTER,FALSE,318,35,0,POINT (-122.70631 45.564585),47414,516,FALSE,12383,36,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:12:36.311,13889086,bus,4204
132,4001,-110,1,<DATE> @ 16:17:32.853,CENTER,FALSE,12383,36,0,POINT (-122.705842 45.568722),47502,516,FALSE,11947,37,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:13:36.330,13889086,bus,4204
18,4006,65,1,<DATE> @ 16:18:15.048,CENTER,FALSE,6472,16,,POINT (-122.678204 45.509295),47720,516,FALSE,2567,17,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:14:18.479,13889087,bus,4201
341,4001,-81,1,<DATE> @ 16:18:32.118,CENTER,FALSE,11949,39,0,POINT (-122.702091 45.569103),47591,516,FALSE,11950,40,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:14:33.201,13889086,bus,4204
290,4006,49,1,<DATE> @ 16:19:31.498,CENTER,FALSE,2567,17,,POINT (-122.681092 45.510583),47780,516,FALSE,13305,18,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:15:33.183,13889087,bus,4201
217,4001,-46,1,<DATE> @ 16:19:32.545,CENTER,FALSE,11950,40,0,POINT (-122.707308 45.567549),47686,516,FALSE,314,41,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:15:33.194,13889086,bus,4204
290,4006,13,1,<DATE> @ 16:20:31.876,CENTER,FALSE,2567,17,,POINT (-122.682677 45.511006),47804,516,FALSE,13305,18,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:16:33.153,13889087,bus,4201
298,4001,-33,1,<DATE> @ 16:20:32.862,CENTER,FALSE,11950,40,0,POINT (-122.711194 45.568532),47759,516,FALSE,314,41,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:16:35.964,13889086,bus,4204
20,4006,-42,1,<DATE> @ 16:21:32.207,CENTER,FALSE,13305,18,,POINT (-122.682953 45.511078),47810,516,FALSE,11486,19,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:17:33.250,13889087,bus,4201
307,4001,-13,1,<DATE> @ 16:21:33.240,CENTER,FALSE,320,42,0,POINT (-122.71762 45.571437),47840,516,FALSE,321,43,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:17:36.119,13889086,bus,4204
20,4006,-34,1,<DATE> @ 16:22:31.601,CENTER,FALSE,13305,18,,POINT (-122.681322 45.51409),47877,516,FALSE,11486,19,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:18:33.230,13889087,bus,4201
20,4006,-33,1,<DATE> @ 16:23:30.927,CENTER,FALSE,11486,19,,POINT (-122.67989 45.516789),47937,516,FALSE,7789,20,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:19:33.486,13889087,bus,4201
20,4006,-30,1,<DATE> @ 16:24:22.272,CENTER,FALSE,7789,20,,POINT (-122.678819 45.518756),47992,516,FALSE,7803,21,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:20:24.710,13889087,bus,4201
21,4006,-47,1,<DATE> @ 16:25:23.814,CENTER,FALSE,7789,20,,POINT (-122.678055 45.520193),48036,516,FALSE,7803,21,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:21:27.243,13889087,bus,4201
21,4006,-58,1,<DATE> @ 16:26:22.938,CENTER,FALSE,7803,21,,POINT (-122.677105 45.521931),48084,516,FALSE,7751,22,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:22:24.446,13889087,bus,4201
358,4006,-83,1,<DATE> @ 16:27:33.380,CENTER,FALSE,7751,22,,POINT (-122.676465 45.52353),48130,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:23:36.289,13889087,bus,4201
358,4006,-110,1,<DATE> @ 16:28:34.690,CENTER,FALSE,7751,22,,POINT (-122.676511 45.5248),48164,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:24:36.303,13889087,bus,4201
88,4006,-112,1,<DATE> @ 16:29:04.928,CENTER,FALSE,7751,22,,POINT (-122.67572 45.52522),48192,516,FALSE,8886,23,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:25:06.369,13889087,bus,4201
89,4006,-147,1,<DATE> @ 16:30:37.480,CENTER,FALSE,8886,23,,POINT (-122.672434 45.525276),48250,516,FALSE,1612,24,FALSE,084C8D,40,Bus,<DATE> @ 03:00:00.000,40 To Swan Island,40 To Basin and Fathom,vm,<DATE> @ 16:26:39.425,13889087,bus,4201
