trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
50,4403,0,0,<DATE> @ 15:55:28.857,CENTER,FALSE,,,0,POINT (-122.762384 45.602147),46288,575,FALSE,10095,1,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:51:30.009,13889564,bus,4047
256,4401,-30,0,<DATE> @ 15:55:29.857,CENTER,FALSE,155,65,,POINT (-122.686665 45.480251),46259,576,FALSE,957,66,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy to PCC Sylvania,vm,<DATE> @ 15:51:33.260,13889562,bus,3524
177,4402,-96,0,<DATE> @ 15:55:34.861,CENTER,FALSE,5996,37,,POINT (-122.668262 45.559203),46198,575,FALSE,5978,38,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:51:35.985,13889563,bus,4228
50,4403,0,0,<DATE> @ 15:56:28.180,CENTER,FALSE,,,0,POINT (-122.762384 45.602147),46348,575,FALSE,10095,1,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:52:30.694,13889564,bus,4047
243,4401,-30,0,<DATE> @ 15:56:30.212,CENTER,FALSE,957,66,,POINT (-122.693157 45.478834),46320,576,FALSE,955,67,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy to PCC Sylvania,vm,<DATE> @ 15:52:32.890,13889562,bus,3524
176,4402,-105,0,<DATE> @ 15:56:34.221,CENTER,FALSE,6010,39,,POINT (-122.66807 45.556603),46249,575,FALSE,6005,40,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:52:36.047,13889563,bus,4228
255,4401,-22,0,<DATE> @ 15:57:13.420,CENTER,FALSE,955,67,,POINT (-122.696667 45.478133),46371,576,FALSE,964,68,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy to PCC Sylvania,vm,<DATE> @ 15:53:15.398,13889562,bus,3524
50,4403,0,0,<DATE> @ 15:57:28.548,CENTER,FALSE,,,0,POINT (-122.762384 45.602147),46408,575,FALSE,10095,1,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:53:30.321,13889564,bus,4047
179,4402,-130,0,<DATE> @ 15:57:34.559,CENTER,FALSE,6010,39,,POINT (-122.667971 45.554799),46284,575,FALSE,6005,40,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy/Mocks Crest to PCC Sylvania via City Center,vm,<DATE> @ 15:53:36.168,13889563,bus,4228
257,4401,-37,0,<DATE> @ 15:58:17.838,CENTER,FALSE,964,68,,POINT (-122.70012 45.477574),46420,576,FALSE,943,69,FALSE,084C8D,44,Bus,<DATE> @ 03:00:00.000,44 To PCC Sylvania,44  Capitol Hwy to PCC Sylvania,vm,<DATE> @ 15:54:21.398,13889562,bus,3524
