trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
270,4769,96,0,<DATE> @ 15:55:25.871,MERLO,FALSE,10046,36,0,POINT (-122.931518 45.519917),46381,560,FALSE,10047,37,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:51:26.879,13889896,bus,3215
270,4769,99,0,<DATE> @ 15:56:26.195,MERLO,FALSE,260,38,0,POINT (-122.939757 45.519923),46445,560,FALSE,305,39,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:52:30.277,13889896,bus,3215
270,4769,79,0,<DATE> @ 15:57:23.477,MERLO,FALSE,301,40,0,POINT (-122.944578 45.519929),46482,560,FALSE,288,41,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:53:30.010,13889896,bus,3215
270,4769,43,0,<DATE> @ 15:58:37.926,MERLO,FALSE,301,40,0,POINT (-122.94965 45.519938),46520,560,FALSE,288,41,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:54:38.879,13889896,bus,3215
275,4769,73,0,<DATE> @ 15:59:38.242,MERLO,FALSE,3716,43,0,POINT (-122.961148 45.521237),46611,560,FALSE,3711,44,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:55:38.939,13889896,bus,3215
275,4769,146,0,<DATE> @ 16:00:10.405,MERLO,FALSE,3687,46,0,POINT (-122.972216 45.522),46716,560,FALSE,13255,47,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:56:15.096,13889896,bus,3215
275,4769,81,0,<DATE> @ 16:01:38.013,MERLO,FALSE,3687,46,0,POINT (-122.973377 45.522083),46739,560,FALSE,13255,47,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:57:38.913,13889896,bus,3215
181,4769,73,0,<DATE> @ 16:02:38.385,MERLO,FALSE,13255,47,0,POINT (-122.973995 45.520582),46791,560,FALSE,310,48,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:58:39.077,13889896,bus,3215
270,4769,96,0,<DATE> @ 16:03:28.798,MERLO,FALSE,310,48,0,POINT (-122.977199 45.520013),46864,560,FALSE,308,49,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 15:59:30.301,13889896,bus,3215
270,4769,221,0,<DATE> @ 16:04:30.176,MERLO,FALSE,307,50,0,POINT (-122.986849 45.520103),47051,560,FALSE,280,51,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:00:32.888,13889896,bus,3215
0,4769,0,0,<DATE> @ 16:05:33.531,MERLO,FALSE,280,51,0,POINT (-122.988012 45.520282),47078,560,FALSE,9955,52,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:01:36.215,13889896,bus,3215
244,4774,-558,0,<DATE> @ 16:11:18.546,MERLO,FALSE,,,,POINT (-122.859385 45.565954),46680,560,FALSE,4429,1,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:07:21.079,13889897,bus,3025
162,4774,-610,0,<DATE> @ 16:12:37.972,MERLO,FALSE,4429,1,,POINT (-122.858614 45.564903),46707,560,FALSE,8840,2,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:08:39.048,13889897,bus,3025
270,4774,-615,0,<DATE> @ 16:13:38.422,MERLO,FALSE,4429,1,,POINT (-122.861468 45.563012),46763,560,FALSE,8840,2,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:09:39.351,13889897,bus,3025
270,4774,-609,0,<DATE> @ 16:14:37.677,MERLO,FALSE,8852,3,,POINT (-122.86713 45.5627),46828,560,FALSE,13669,4,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:10:39.138,13889897,bus,3025
180,4774,-592,0,<DATE> @ 16:15:38.089,MERLO,FALSE,8852,3,,POINT (-122.867669 45.558268),46906,560,FALSE,13669,4,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:11:39.378,13889897,bus,3025
117,4774,-547,0,<DATE> @ 16:16:38.451,MERLO,FALSE,8852,3,,POINT (-122.859457 45.55581),47011,560,FALSE,13669,4,FALSE,084C8D,47,Bus,<DATE> @ 03:00:00.000,47 To Hillsboro TC,47  Main/Evergreen to Hillsboro TC,vm,<DATE> @ 16:12:39.116,13889897,bus,3025
