trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
84,4875,99,1,<DATE> @ 15:55:22.840,MERLO,FALSE,8555,7,0,POINT (-122.965559 45.530683),46381,588,FALSE,8556,8,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:51:24.833,13890521,bus,3616
126,4873,-112,1,<DATE> @ 15:55:27.857,MERLO,FALSE,1188,38,0,POINT (-122.814909 45.526806),46175,588,FALSE,13309,39,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:51:29.750,13890519,bus,3237
89,4877,0,1,<DATE> @ 15:55:37.881,MERLO,FALSE,,,,POINT (-122.984842 45.521558),46297,588,FALSE,9954,1,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:51:38.720,13890522,bus,3645
107,4874,-74,1,<DATE> @ 15:55:35.861,MERLO,FALSE,10023,20,0,POINT (-122.887429 45.538002),46221,588,FALSE,10022,21,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:51:39.014,13890520,bus,3603
90,4875,106,1,<DATE> @ 15:56:23.132,MERLO,FALSE,8556,8,0,POINT (-122.957332 45.530669),46449,588,FALSE,10026,9,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:52:24.178,13890521,bus,3616
71,4873,-32,1,<DATE> @ 15:56:28.165,MERLO,FALSE,1171,42,0,POINT (-122.807078 45.525243),46316,588,FALSE,1183,43,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:52:30.299,13890519,bus,3237
118,4874,-66,1,<DATE> @ 15:56:35.237,MERLO,FALSE,10022,21,0,POINT (-122.881127 45.53587),46289,588,FALSE,10021,22,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:52:36.229,13890520,bus,3603
89,4877,0,1,<DATE> @ 15:56:38.238,MERLO,FALSE,,,,POINT (-122.984842 45.521558),46358,588,FALSE,9954,1,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:52:38.751,13890522,bus,3645
70,4873,-72,1,<DATE> @ 15:57:12.464,MERLO,FALSE,1171,42,0,POINT (-122.806661 45.525343),46320,588,FALSE,1183,43,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:53:14.976,13890519,bus,3237
120,4874,-68,1,<DATE> @ 15:57:12.432,MERLO,FALSE,10021,22,0,POINT (-122.87812 45.534648),46324,588,FALSE,10032,23,FALSE,084C8D,48,Bus,<DATE> @ 03:00:00.000,48 To Sunset TC,48  Cornell to Sunset TC,vm,<DATE> @ 15:53:15.529,13890520,bus,3603
