trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
246,5267,-334,0,<DATE> @ 15:55:32.876,MERLO,FALSE,1682,15,0,POINT (-122.853242 45.481303),45958,608,FALSE,1651,16,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:51:35.927,13890807,bus,3264
213,7669,0,0,<DATE> @ 15:55:33.877,MERLO,FALSE,,,0,POINT (-122.801203 45.491344),46293,608,FALSE,9985,1,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:51:36.199,13890808,bus,3606
237,5267,-348,0,<DATE> @ 15:56:33.203,MERLO,FALSE,1651,16,0,POINT (-122.857203 45.479929),46005,608,FALSE,1657,17,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:52:35.990,13890807,bus,3264
359,5274,-296,0,<DATE> @ 15:56:35.237,MERLO,FALSE,8884,43,0,POINT (-122.867525 45.537365),46059,607,FALSE,9467,44,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  185th Ave to PCC Rock Creek,vm,<DATE> @ 15:52:36.075,13890806,bus,3028
213,7669,0,0,<DATE> @ 15:56:34.221,MERLO,FALSE,,,0,POINT (-122.801203 45.491344),46354,608,FALSE,9985,1,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:52:36.233,13890808,bus,3606
239,5267,-300,0,<DATE> @ 15:57:32.550,MERLO,FALSE,13579,18,0,POINT (-122.865795 45.476072),46112,608,FALSE,6970,19,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:53:36.119,13890807,bus,3264
213,7669,0,0,<DATE> @ 15:57:33.552,MERLO,FALSE,,,0,POINT (-122.801203 45.491344),46413,608,FALSE,9985,1,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:53:36.410,13890808,bus,3606
359,5274,-274,0,<DATE> @ 15:57:35.575,MERLO,FALSE,8884,43,0,POINT (-122.867557 45.541299),46141,607,FALSE,9467,44,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  185th Ave to PCC Rock Creek,vm,<DATE> @ 15:53:39.052,13890806,bus,3028
0,5267,-322,0,<DATE> @ 15:58:21.836,MERLO,FALSE,6970,19,0,POINT (-122.867526 45.476032),46139,607,FALSE,7002,20,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  185th Ave to PCC Rock Creek,vm,<DATE> @ 15:54:24.087,13890807,bus,3264
0,5274,-255,0,<DATE> @ 15:58:34.925,MERLO,FALSE,9467,44,0,POINT (-122.867515 45.545019),46219,607,FALSE,6992,45,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  185th Ave to PCC Rock Creek,vm,<DATE> @ 15:54:36.169,13890806,bus,3028
213,7669,0,0,<DATE> @ 15:58:33.971,MERLO,FALSE,,,0,POINT (-122.801203 45.491344),46473,608,FALSE,9985,1,FALSE,084C8D,52,Bus,<DATE> @ 03:00:00.000,52 To PCC-Rock Creek,52  Farmington/185th to PCC Rock Creek,vm,<DATE> @ 15:54:36.337,13890808,bus,3606
