trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
88,5469,-47,0,<DATE> @ 15:55:27.857,MERLO,FALSE,13170,1,0,POINT (-122.675961 45.523013),46240,618,FALSE,13171,2,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:51:29.671,13891264,bus,3630
264,5467,-373,0,<DATE> @ 15:55:36.877,MERLO,FALSE,384,27,0,POINT (-122.744387 45.487072),45923,618,FALSE,350,28,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:51:39.029,13891262,bus,3624
273,5468,-136,0,<DATE> @ 15:56:23.116,MERLO,FALSE,155,10,0,POINT (-122.685804 45.480321),46207,618,FALSE,957,11,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:52:23.887,13891263,bus,3229
200,5469,-19,0,<DATE> @ 15:56:27.210,MERLO,FALSE,13171,2,0,POINT (-122.676378 45.520954),46328,618,FALSE,7586,3,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:52:30.210,13891264,bus,3630
250,5467,-397,0,<DATE> @ 15:56:37.346,MERLO,FALSE,384,27,0,POINT (-122.747934 45.4864),45960,618,FALSE,350,28,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:52:38.981,13891262,bus,3624
272,5467,-355,0,<DATE> @ 15:57:12.464,MERLO,FALSE,350,28,0,POINT (-122.75337 45.486076),46037,618,FALSE,332,29,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:53:15.544,13891262,bus,3624
243,5468,-142,0,<DATE> @ 15:57:22.459,MERLO,FALSE,957,11,0,POINT (-122.693171 45.478829),46260,618,FALSE,955,12,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:53:24.110,13891263,bus,3229
201,5469,-34,0,<DATE> @ 15:57:32.519,MERLO,FALSE,13171,2,0,POINT (-122.67715 45.519535),46378,618,FALSE,7586,3,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:53:36.067,13891264,bus,3630
200,5469,-54,0,<DATE> @ 15:58:16.816,MERLO,FALSE,7586,3,0,POINT (-122.677473 45.518922),46402,618,FALSE,7614,4,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:54:17.931,13891264,bus,3630
270,5468,-172,0,<DATE> @ 15:58:37.911,MERLO,FALSE,955,12,0,POINT (-122.697423 45.478155),46305,618,FALSE,363,13,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:54:38.890,13891263,bus,3229
271,5467,-337,0,<DATE> @ 15:58:35.909,MERLO,FALSE,385,30,0,POINT (-122.760719 45.486234),46138,618,FALSE,346,31,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Beaverton TC,54  Beaverton-Hillsdale Hwy to Beaverton TC,vm,<DATE> @ 15:54:39.075,13891262,bus,3624
