trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
290,5470,84,1,<DATE> @ 15:56:32.212,MERLO,FALSE,2567,42,0,POINT (-122.681383 45.51066),46436,619,FALSE,13305,43,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:52:32.780,13891605,bus,3241
290,5470,64,1,<DATE> @ 15:57:31.564,MERLO,FALSE,2567,42,0,POINT (-122.682614 45.510989),46475,619,FALSE,13305,43,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:53:32.894,13891605,bus,3241
20,5470,63,1,<DATE> @ 15:58:32.918,MERLO,FALSE,13305,43,0,POINT (-122.68232 45.512248),46535,619,FALSE,11486,44,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:54:36.056,13891605,bus,3241
20,5470,91,1,<DATE> @ 15:59:32.262,MERLO,FALSE,13305,43,0,POINT (-122.681239 45.514242),46623,619,FALSE,11486,44,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:55:33.121,13891605,bus,3241
20,5470,31,1,<DATE> @ 16:00:32.559,MERLO,FALSE,13305,43,0,POINT (-122.681239 45.514242),46623,619,FALSE,11486,44,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:56:35.851,13891605,bus,3241
20,5470,-15,1,<DATE> @ 16:01:19.908,MERLO,FALSE,13305,43,0,POINT (-122.681171 45.514368),46624,619,FALSE,11486,44,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:57:21.165,13891605,bus,3241
19,5470,30,1,<DATE> @ 16:02:29.300,MERLO,FALSE,11486,44,0,POINT (-122.679749 45.51705),46739,619,FALSE,7789,45,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:58:29.748,13891605,bus,3241
21,5470,164,1,<DATE> @ 16:03:29.782,MERLO,FALSE,7789,45,0,POINT (-122.678037 45.520226),46933,619,FALSE,7803,46,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 15:59:33.136,13891605,bus,3241
19,5470,0,1,<DATE> @ 16:04:20.074,MERLO,FALSE,7803,46,0,POINT (-122.677932 45.520421),46942,619,FALSE,13170,47,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:00:21.168,13891605,bus,3241
284,5470,0,1,<DATE> @ 16:05:20.427,MERLO,FALSE,7803,46,0,POINT (-122.677112 45.522499),47069,619,FALSE,13170,47,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:01:21.289,13891605,bus,3241
15,5472,-201,1,<DATE> @ 16:13:28.362,MERLO,FALSE,13179,41,0,POINT (-122.677257 45.508765),47167,619,FALSE,2567,42,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:09:30.337,13891606,bus,3257
291,5472,-174,1,<DATE> @ 16:14:37.630,MERLO,FALSE,13179,41,0,POINT (-122.678867 45.51007),47263,619,FALSE,2567,42,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:10:39.061,13891606,bus,3257
290,5472,-122,1,<DATE> @ 16:15:38.089,MERLO,FALSE,2567,42,0,POINT (-122.682628 45.510993),47376,619,FALSE,13305,43,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:11:39.272,13891606,bus,3257
20,5472,-154,1,<DATE> @ 16:16:23.347,MERLO,FALSE,13305,43,0,POINT (-122.682907 45.511163),47389,619,FALSE,11486,44,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Broadway & Burnside,54  To SW Broadway & Burnside,vm,<DATE> @ 16:12:23.986,13891606,bus,3257
