trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
89,5472,-83,1,<DATE> @ 15:55:25.840,MERLO,FALSE,382,20,0,POINT (-122.737816 45.48706),46202,620,FALSE,328,21,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:51:26.914,13891606,bus,3257
212,5475,0,1,<DATE> @ 15:55:33.877,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46293,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:51:35.899,13891608,bus,3205
98,5474,-117,1,<DATE> @ 15:56:22.160,MERLO,FALSE,12945,3,,POINT (-122.797518 45.486566),46225,620,FALSE,342,4,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:52:23.872,13891607,bus,3650
90,5472,-107,1,<DATE> @ 15:56:21.129,MERLO,FALSE,328,21,0,POINT (-122.735015 45.487052),46234,620,FALSE,379,22,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:52:23.897,13891606,bus,3257
212,5475,0,1,<DATE> @ 15:56:34.221,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46354,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:52:35.976,13891608,bus,3205
88,5474,-151,1,<DATE> @ 15:57:21.474,MERLO,FALSE,342,4,,POINT (-122.795919 45.486515),46250,620,FALSE,362,5,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:53:24.063,13891607,bus,3650
124,5472,-71,1,<DATE> @ 15:57:21.474,MERLO,FALSE,377,24,0,POINT (-122.726602 45.486479),46330,620,FALSE,375,25,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:53:24.137,13891606,bus,3257
212,5475,0,1,<DATE> @ 15:57:34.559,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46414,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:53:36.077,13891608,bus,3205
90,5474,-96,1,<DATE> @ 15:58:21.867,MERLO,FALSE,362,5,,POINT (-122.788481 45.486479),46365,620,FALSE,360,6,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:54:24.017,13891607,bus,3650
117,5472,-26,1,<DATE> @ 15:58:21.867,MERLO,FALSE,373,26,0,POINT (-122.717511 45.484886),46435,620,FALSE,371,27,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:54:24.086,13891606,bus,3257
212,5475,0,1,<DATE> @ 15:58:34.893,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46474,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:54:36.038,13891608,bus,3205
122,5472,-55,1,<DATE> @ 15:59:26.229,MERLO,FALSE,371,27,0,POINT (-122.714648 45.483634),46471,620,FALSE,326,28,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:55:26.894,13891606,bus,3257
212,5475,0,1,<DATE> @ 15:59:35.251,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46535,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:55:35.986,13891608,bus,3205
118,5474,-90,1,<DATE> @ 15:59:38.288,MERLO,FALSE,360,6,,POINT (-122.783122 45.48652),46448,620,FALSE,354,7,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:55:38.912,13891607,bus,3650
110,5472,-46,1,<DATE> @ 16:00:13.439,MERLO,FALSE,369,29,0,POINT (-122.710568 45.481895),46527,620,FALSE,368,30,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:56:15.151,13891606,bus,3257
65,5474,-142,1,<DATE> @ 16:00:36.562,MERLO,FALSE,354,7,,POINT (-122.782731 45.486531),46454,620,FALSE,357,8,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:56:39.105,13891607,bus,3650
212,5475,0,1,<DATE> @ 16:00:35.578,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46595,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:56:39.140,13891608,bus,3205
105,5472,-77,1,<DATE> @ 16:01:13.856,MERLO,FALSE,368,30,0,POINT (-122.707938 45.481615),46556,620,FALSE,367,31,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:57:14.863,13891606,bus,3257
212,5475,0,1,<DATE> @ 16:01:34.980,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46654,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:57:36.084,13891608,bus,3205
89,5474,-140,1,<DATE> @ 16:01:37.966,MERLO,FALSE,357,8,,POINT (-122.778467 45.486541),46517,620,FALSE,390,9,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:57:38.867,13891607,bus,3650
109,5472,-67,1,<DATE> @ 16:02:13.213,MERLO,FALSE,325,32,0,POINT (-122.702182 45.479953),46626,620,FALSE,364,33,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:58:15.261,13891606,bus,3257
212,5475,0,1,<DATE> @ 16:02:35.383,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46715,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:58:36.227,13891608,bus,3205
91,5474,-143,1,<DATE> @ 16:02:38.369,MERLO,FALSE,390,9,,POINT (-122.774797 45.4865),46575,620,FALSE,344,10,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:58:39.048,13891607,bus,3650
99,5472,-61,1,<DATE> @ 16:03:13.615,MERLO,FALSE,336,34,0,POINT (-122.697143 45.478049),46692,620,FALSE,925,35,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:59:15.018,13891606,bus,3257
91,5474,-113,1,<DATE> @ 16:03:22.699,MERLO,FALSE,388,11,,POINT (-122.770031 45.486414),46649,620,FALSE,345,12,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:59:23.920,13891607,bus,3650
212,5475,0,1,<DATE> @ 16:03:34.818,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46774,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 15:59:35.860,13891608,bus,3205
61,5472,-72,1,<DATE> @ 16:04:12.053,MERLO,FALSE,925,35,0,POINT (-122.69298 45.478898),46740,620,FALSE,929,36,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 16:00:15.156,13891606,bus,3257
91,5474,-80,1,<DATE> @ 16:04:38.219,MERLO,FALSE,335,13,,POINT (-122.762846 45.486274),46758,620,FALSE,347,14,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 16:00:39.111,13891607,bus,3650
212,5475,0,1,<DATE> @ 16:04:37.218,MERLO,FALSE,,,0,POINT (-122.800924 45.491068),46837,620,FALSE,9654,1,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 16:00:39.123,13891608,bus,3205
60,5472,-133,1,<DATE> @ 16:05:13.440,MERLO,FALSE,925,35,0,POINT (-122.692933 45.478916),46740,620,FALSE,929,36,FALSE,084C8D,54,Bus,<DATE> @ 03:00:00.000,54 To Portland,54  Beaverton-Hillsdale Hwy to Portland,vm,<DATE> @ 16:01:15.602,13891606,bus,3257
