trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
90,4374,19,1,<DATE> @ 16:04:33.180,MERLO,FALSE,383,23,0,POINT (-122.743466 45.48709),46852,648,FALSE,382,24,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:00:36.207,13892035,bus,3236
90,4374,57,1,<DATE> @ 16:05:33.515,MERLO,FALSE,379,26,0,POINT (-122.733899 45.487048),46950,648,FALSE,351,27,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:01:36.225,13892035,bus,3236
90,4374,34,1,<DATE> @ 16:06:34.830,MERLO,FALSE,351,27,0,POINT (-122.730133 45.487034),46988,648,FALSE,377,28,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:02:35.975,13892035,bus,3236
96,4374,59,1,<DATE> @ 16:07:34.142,MERLO,FALSE,377,28,0,POINT (-122.722189 45.485696),47073,648,FALSE,375,29,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:03:36.333,13892035,bus,3236
114,4374,58,1,<DATE> @ 16:08:23.523,MERLO,FALSE,373,30,0,POINT (-122.717659 45.484938),47121,648,FALSE,371,31,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:04:30.404,13892035,bus,3236
93,4374,102,1,<DATE> @ 16:09:23.897,MERLO,FALSE,368,34,0,POINT (-122.708647 45.481696),47225,648,FALSE,367,35,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:05:30.059,13892035,bus,3236
108,4374,77,1,<DATE> @ 16:10:38.326,MERLO,FALSE,367,35,0,POINT (-122.704122 45.480326),47275,648,FALSE,325,36,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:06:39.171,13892035,bus,3236
74,4374,148,1,<DATE> @ 16:11:22.579,MERLO,FALSE,925,39,0,POINT (-122.693825 45.478648),47390,648,FALSE,929,40,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:07:24.365,13892035,bus,3236
60,4374,97,1,<DATE> @ 16:12:22.936,MERLO,FALSE,925,39,0,POINT (-122.69293 45.478917),47399,648,FALSE,929,40,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:08:24.253,13892035,bus,3236
60,4374,39,1,<DATE> @ 16:13:20.256,MERLO,FALSE,925,39,0,POINT (-122.69293 45.478917),47399,648,FALSE,929,40,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56  To Marquam Hill,"56  To Marquam Hill, to OHSU and VA hospital",vm,<DATE> @ 16:09:21.281,13892035,bus,3236
