trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
309,4377,-20,0,<DATE> @ 15:56:16.143,MERLO,FALSE,14475,3,,POINT (-122.690905 45.502473),46316,645,FALSE,11010,4,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:52:18.332,13891866,bus,3022
69,4377,-18,0,<DATE> @ 15:57:15.436,MERLO,FALSE,14475,3,,POINT (-122.685618 45.502563),46377,645,FALSE,11010,4,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:53:18.191,13891866,bus,3022
159,4377,-31,0,<DATE> @ 15:58:16.816,MERLO,FALSE,14475,3,,POINT (-122.682594 45.501007),46425,645,FALSE,11010,4,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:54:18.049,13891866,bus,3022
159,4377,-42,0,<DATE> @ 15:59:16.128,MERLO,FALSE,11010,4,,POINT (-122.681051 45.498201),46474,645,FALSE,5782,5,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:55:18.128,13891866,bus,3022
188,4377,-12,0,<DATE> @ 16:00:16.424,MERLO,FALSE,11010,4,,POINT (-122.681397 45.492769),46564,645,FALSE,5782,5,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:56:17.841,13891866,bus,3022
167,4377,24,0,<DATE> @ 16:01:16.890,MERLO,FALSE,5783,6,,POINT (-122.686123 45.490009),46660,645,FALSE,5812,7,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:57:17.974,13891866,bus,3022
196,4377,59,0,<DATE> @ 16:02:17.198,MERLO,FALSE,5783,6,,POINT (-122.684656 45.484302),46756,645,FALSE,5812,7,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:58:18.092,13891866,bus,3022
290,4377,87,0,<DATE> @ 16:03:16.631,MERLO,FALSE,8450,8,,POINT (-122.686353 45.48057),46843,645,FALSE,5789,9,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 15:59:17.975,13891866,bus,3022
240,4377,99,0,<DATE> @ 16:04:17.072,MERLO,FALSE,5789,9,,POINT (-122.692818 45.478962),46916,645,FALSE,955,10,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 16:00:17.997,13891866,bus,3022
243,4377,42,0,<DATE> @ 16:05:17.409,MERLO,FALSE,5789,9,,POINT (-122.69315 45.478836),46919,645,FALSE,955,10,FALSE,084C8D,56,Bus,<DATE> @ 03:00:00.000,56 To Washington Square,56  Scholls Ferry Rd To Washington Square,vm,<DATE> @ 16:01:18.091,13891866,bus,3022
