trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
270,5773,-750,0,<DATE> @ 15:55:17.805,MERLO,FALSE,310,35,0,POINT (-122.975902 45.520001),45527,637,FALSE,308,36,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:51:24.826,13892270,bus,3615
170,5776,-63,0,<DATE> @ 15:55:29.857,MERLO,FALSE,8169,2,0,POINT (-122.801511 45.489246),46226,637,FALSE,8272,3,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:51:33.105,13892273,bus,3238
270,5772,-681,0,<DATE> @ 15:55:37.881,MERLO,FALSE,33,55,0,POINT (-123.052817 45.520911),45616,637,FALSE,32,56,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:51:38.742,13892269,bus,3232
0,5774,8,0,<DATE> @ 15:56:17.127,MERLO,FALSE,6499,34,0,POINT (-122.973907 45.518717),46345,637,FALSE,310,35,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:52:18.201,13892271,bus,3250
270,5773,-746,0,<DATE> @ 15:56:22.160,MERLO,FALSE,308,36,0,POINT (-122.979084 45.520028),45596,637,FALSE,307,37,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:52:24.192,13892270,bus,3615
257,5776,-102,0,<DATE> @ 15:56:30.212,MERLO,FALSE,8169,2,0,POINT (-122.802887 45.488615),46248,637,FALSE,8272,3,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:52:32.776,13892273,bus,3238
277,5775,-253,0,<DATE> @ 15:56:34.221,MERLO,FALSE,5629,15,0,POINT (-122.872566 45.494408),46101,637,FALSE,5594,16,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:52:35.984,13892272,bus,3221
270,5772,-717,0,<DATE> @ 15:56:37.221,MERLO,FALSE,32,56,0,POINT (-123.054467 45.520913),45640,637,FALSE,31,57,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:52:38.772,13892269,bus,3232
270,5774,22,0,<DATE> @ 15:57:13.420,MERLO,FALSE,6499,34,0,POINT (-122.975436 45.519996),46415,637,FALSE,310,35,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:53:14.992,13892271,bus,3250
270,5772,-722,0,<DATE> @ 15:57:16.436,MERLO,FALSE,32,56,0,POINT (-123.056817 45.520921),45674,637,FALSE,31,57,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:53:18.077,13892269,bus,3232
278,5775,-274,0,<DATE> @ 15:57:30.532,MERLO,FALSE,5594,16,0,POINT (-122.875904 45.494753),46136,637,FALSE,5633,17,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:53:32.871,13892272,bus,3221
268,5776,-126,0,<DATE> @ 15:57:33.552,MERLO,FALSE,8950,4,0,POINT (-122.806496 45.488352),46287,637,FALSE,8273,5,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:53:36.095,13892273,bus,3238
270,5773,-628,0,<DATE> @ 15:57:32.550,MERLO,FALSE,307,37,0,POINT (-122.987817 45.52011),45784,637,FALSE,280,38,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:53:36.435,13892270,bus,3615
278,5775,-267,0,<DATE> @ 15:58:11.797,MERLO,FALSE,5633,17,0,POINT (-122.880313 45.495214),46184,637,FALSE,5635,18,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:15.204,13892272,bus,3221
270,5774,153,0,<DATE> @ 15:58:13.784,MERLO,FALSE,307,37,0,POINT (-122.98425 45.520077),46606,637,FALSE,280,38,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:15.220,13892271,bus,3250
270,5772,-757,0,<DATE> @ 15:58:25.896,MERLO,FALSE,31,57,0,POINT (-123.059284 45.520931),45708,637,FALSE,30,58,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:29.941,13892269,bus,3232
213,5777,0,0,<DATE> @ 15:58:23.865,MERLO,FALSE,,,,POINT (-122.801085 45.490894),46463,637,FALSE,9654,1,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:30.106,13892274,bus,3037
0,5773,-644,0,<DATE> @ 15:58:26.881,MERLO,FALSE,280,38,0,POINT (-122.987994 45.521217),45822,637,FALSE,2672,39,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:30.297,13892270,bus,3615
267,5776,-153,0,<DATE> @ 15:58:33.971,MERLO,FALSE,8950,4,0,POINT (-122.809648 45.488281),46320,637,FALSE,8273,5,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:54:36.059,13892273,bus,3238
270,5774,169,0,<DATE> @ 15:59:14.112,MERLO,FALSE,307,37,0,POINT (-122.987847 45.52011),46683,637,FALSE,280,38,FALSE,084C8D,57,Bus,<DATE> @ 03:00:00.000,57 To Forest Grove,57  TV Hwy to Forest Grove,vm,<DATE> @ 15:55:15.182,13892271,bus,3250
