trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
337,614,-1000,0,<DATE> @ 15:55:20.837,CENTER,FALSE,13150,38,,POINT (-122.666415 45.590595),45280,152,FALSE,13497,39,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:51:24.804,13880335,bus,4031
0,613,-367,0,<DATE> @ 15:55:24.856,CENTER,FALSE,5937,35,0,POINT (-122.661293 45.575198),45917,152,FALSE,5918,36,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:51:27.006,13880336,bus,3558
109,601,-107,0,<DATE> @ 15:56:15.127,CENTER,FALSE,3635,6,0,POINT (-122.668397 45.51251),46228,152,FALSE,2170,7,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:52:18.359,13880338,bus,3504
0,613,-390,0,<DATE> @ 15:56:15.127,CENTER,FALSE,5918,36,0,POINT (-122.661351 45.576883),45945,152,FALSE,5932,37,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:52:18.396,13880336,bus,3558
1,670,-201,0,<DATE> @ 15:56:21.129,MERLO,FALSE,5896,17,,POINT (-122.661547 45.542017),46140,152,FALSE,5930,18,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:52:23.982,13880337,bus,3014
89,614,-1022,0,<DATE> @ 15:56:36.221,CENTER,FALSE,13161,40,,POINT (-122.662323 45.590209),45334,152,FALSE,13162,41,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:52:38.959,13880335,bus,4031
0,601,-25,0,<DATE> @ 15:57:14.436,CENTER,FALSE,3635,6,0,POINT (-122.660779 45.512501),46369,152,FALSE,2170,7,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:53:15.380,13880338,bus,3504
0,613,-462,0,<DATE> @ 15:57:27.548,CENTER,FALSE,5918,36,0,POINT (-122.66135 45.577017),45945,152,FALSE,5932,37,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:53:30.232,13880336,bus,3558
0,670,-136,0,<DATE> @ 15:57:37.608,MERLO,FALSE,5909,20,,POINT (-122.661525 45.547899),46281,152,FALSE,5910,21,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:53:39.041,13880337,bus,3014
315,614,-941,0,<DATE> @ 15:57:35.575,CENTER,FALSE,13648,44,,POINT (-122.669743 45.596759),45474,152,FALSE,13635,45,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:53:39.229,13880335,bus,4031
0,670,-167,0,<DATE> @ 15:58:14.816,MERLO,FALSE,5909,20,,POINT (-122.661524 45.548049),46287,152,FALSE,5910,21,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:54:18.059,13880337,bus,3014
1,613,-457,0,<DATE> @ 15:58:27.867,CENTER,FALSE,5932,37,0,POINT (-122.661331 45.580869),46010,152,FALSE,13150,38,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:54:30.189,13880336,bus,3558
316,614,-918,0,<DATE> @ 15:58:34.893,CENTER,FALSE,14207,46,,POINT (-122.678035 45.602811),45556,152,FALSE,13907,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:54:36.305,13880335,bus,4031
0,601,-44,0,<DATE> @ 15:58:35.909,CENTER,FALSE,2170,7,0,POINT (-122.660766 45.514932),46431,152,FALSE,11483,8,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:54:38.984,13880338,bus,3504
0,601,-63,0,<DATE> @ 15:59:29.215,CENTER,FALSE,11483,8,0,POINT (-122.660749 45.516366),46466,152,FALSE,11484,9,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To Jantzen Beach,6  M L King Jr to Jantzen Beach via Delta Park,vm,<DATE> @ 15:55:30.432,13880338,bus,3504
