trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
290,602,-533,1,<DATE> @ 15:55:36.862,CENTER,FALSE,2642,45,,POINT (-122.675588 45.515196),45763,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:51:38.914,13880679,bus,3553
200,602,-556,1,<DATE> @ 15:56:33.203,CENTER,FALSE,11956,46,,POINT (-122.67727 45.515125),45797,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:52:36.138,13880679,bus,3553
290,602,-583,1,<DATE> @ 15:57:33.552,CENTER,FALSE,11956,46,,POINT (-122.678529 45.51447),45830,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:53:36.285,13880679,bus,3553
290,602,-632,1,<DATE> @ 15:58:32.918,CENTER,FALSE,11956,46,,POINT (-122.679218 45.514654),45840,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:54:36.250,13880679,bus,3553
290,602,-686,1,<DATE> @ 15:59:38.242,CENTER,FALSE,12790,47,,POINT (-122.679585 45.514751),45852,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:55:39.078,13880679,bus,3553
290,602,-685,1,<DATE> @ 16:00:37.595,CENTER,FALSE,12790,47,,POINT (-122.68162 45.515292),45912,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:56:39.329,13880679,bus,3553
290,602,-673,1,<DATE> @ 16:01:38.013,CENTER,FALSE,12790,47,,POINT (-122.68406 45.515941),45985,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:57:39.059,13880679,bus,3553
290,602,-733,1,<DATE> @ 16:02:38.400,CENTER,FALSE,12790,47,,POINT (-122.68406 45.515941),45985,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:58:39.218,13880679,bus,3553
289,668,-82,1,<DATE> @ 16:03:23.684,MERLO,FALSE,2642,45,0,POINT (-122.673691 45.514001),46681,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:59:30.290,13880680,bus,3208
290,602,-690,1,<DATE> @ 16:03:26.763,CENTER,FALSE,3049,48,,POINT (-122.687041 45.516735),46076,153,FALSE,3051,49,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 15:59:30.485,13880679,bus,3553
290,668,-101,1,<DATE> @ 16:04:24.080,MERLO,FALSE,2642,45,0,POINT (-122.675531 45.515181),46723,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:00:26.982,13880680,bus,3208
290,602,-762,1,<DATE> @ 16:04:38.204,CENTER,FALSE,3049,48,,POINT (-122.687179 45.516771),46076,153,FALSE,3051,49,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:00:39.320,13880679,bus,3553
308,668,-146,1,<DATE> @ 16:05:14.394,MERLO,FALSE,11956,46,0,POINT (-122.675943 45.515295),46728,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:01:15.541,13880680,bus,3208
281,602,-388,1,<DATE> @ 16:05:36.536,CENTER,FALSE,14408,50,,POINT (-122.691704 45.517819),46208,153,FALSE,1114,51,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:01:39.264,13880679,bus,3553
200,668,-163,1,<DATE> @ 16:06:14.783,MERLO,FALSE,11956,46,0,POINT (-122.677597 45.514522),46771,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:02:18.200,13880680,bus,3208
290,668,-212,1,<DATE> @ 16:07:32.139,MERLO,FALSE,11956,46,0,POINT (-122.679264 45.514666),46800,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:03:32.913,13880680,bus,3208
290,668,-147,1,<DATE> @ 16:08:31.666,MERLO,FALSE,12790,47,0,POINT (-122.683409 45.515768),46924,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:04:32.967,13880680,bus,3208
290,668,-174,1,<DATE> @ 16:09:19.862,MERLO,FALSE,12790,47,0,POINT (-122.684151 45.515965),46945,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:05:21.123,13880680,bus,3208
290,668,-100,1,<DATE> @ 16:10:22.298,MERLO,FALSE,3051,49,0,POINT (-122.68873 45.517184),47082,153,FALSE,14408,50,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:06:24.054,13880680,bus,3208
281,668,-76,1,<DATE> @ 16:11:15.575,MERLO,FALSE,14408,50,0,POINT (-122.69138 45.517772),47159,153,FALSE,1114,51,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:07:18.064,13880680,bus,3208
330,603,174,1,<DATE> @ 16:14:33.643,CENTER,FALSE,2642,45,0,POINT (-122.674795 45.514839),47607,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:10:36.166,13880681,bus,4217
290,603,134,1,<DATE> @ 16:15:28.083,CENTER,FALSE,2642,45,0,POINT (-122.675779 45.515247),47622,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:11:30.195,13880681,bus,4217
200,603,116,1,<DATE> @ 16:16:28.413,CENTER,FALSE,11956,46,0,POINT (-122.677454 45.514785),47664,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:12:30.228,13880681,bus,4217
290,603,91,1,<DATE> @ 16:17:28.820,CENTER,FALSE,11956,46,0,POINT (-122.679092 45.51462),47699,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:13:30.189,13880681,bus,4217
290,603,48,1,<DATE> @ 16:18:24.022,CENTER,FALSE,12790,47,0,POINT (-122.679616 45.51476),47712,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:14:27.539,13880681,bus,4217
290,603,16,1,<DATE> @ 16:19:24.434,CENTER,FALSE,12790,47,0,POINT (-122.680581 45.515016),47740,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:15:27.142,13880681,bus,4217
290,603,51,1,<DATE> @ 16:20:24.827,CENTER,FALSE,12790,47,0,POINT (-122.683785 45.515868),47835,153,FALSE,3049,48,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:16:27.163,13880681,bus,4217
290,603,80,1,<DATE> @ 16:21:24.168,CENTER,FALSE,3049,48,0,POINT (-122.686816 45.516675),47924,153,FALSE,3051,49,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:17:27.201,13880681,bus,4217
290,603,46,1,<DATE> @ 16:22:20.471,CENTER,FALSE,3051,49,0,POINT (-122.687545 45.516874),47946,153,FALSE,14408,50,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:18:21.130,13880681,bus,4217
280,603,0,1,<DATE> @ 16:23:20.876,CENTER,FALSE,14408,50,0,POINT (-122.692295 45.517902),48084,153,FALSE,1114,51,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:19:24.214,13880681,bus,4217
290,669,-311,1,<DATE> @ 16:36:18.506,MERLO,FALSE,2642,45,,POINT (-122.670355 45.513136),48427,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:32:24.789,13880682,bus,3044
290,669,-273,1,<DATE> @ 16:37:16.813,MERLO,FALSE,2642,45,,POINT (-122.675645 45.515211),48523,153,FALSE,11956,46,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:33:18.335,13880682,bus,3044
200,669,-321,1,<DATE> @ 16:38:36.263,MERLO,FALSE,11956,46,,POINT (-122.677234 45.515192),48555,153,FALSE,12790,47,FALSE,084C8D,6,Bus,<DATE> @ 03:00:00.000,6  To SW 18th Ave,6  To SW 18th Ave - Goose Hollow MAX Station,vm,<DATE> @ 16:34:39.554,13880682,bus,3044
