trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
244,6767,0,1,<DATE> @ 16:23:11.741,MERLO,FALSE,,,,POINT (-122.859385 45.565954),47951,728,FALSE,4429,1,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:19:15.493,13893354,bus,3619
240,6767,-12,1,<DATE> @ 16:24:12.142,MERLO,FALSE,,,,POINT (-122.859546 45.565891),48000,728,FALSE,4429,1,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:20:15.639,13893354,bus,3619
224,6767,-28,1,<DATE> @ 16:25:14.684,MERLO,FALSE,4429,1,,POINT (-122.860753 45.563615),48046,728,FALSE,8840,2,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:21:18.639,13893354,bus,3619
178,6767,-38,1,<DATE> @ 16:26:33.038,MERLO,FALSE,8852,3,,POINT (-122.867598 45.561883),48115,728,FALSE,13681,4,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:22:36.472,13893354,bus,3619
100,6767,-48,1,<DATE> @ 16:27:33.349,MERLO,FALSE,8852,3,,POINT (-122.866974 45.557893),48165,728,FALSE,13681,4,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:23:36.484,13893354,bus,3619
113,6767,8,1,<DATE> @ 16:28:15.620,MERLO,FALSE,8852,3,,POINT (-122.855513 45.554456),48263,728,FALSE,13681,4,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:24:18.739,13893354,bus,3619
1,6767,-3,1,<DATE> @ 16:29:14.996,MERLO,FALSE,8852,3,,POINT (-122.851923 45.555686),48311,728,FALSE,13681,4,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:25:18.793,13893354,bus,3619
121,6767,5,1,<DATE> @ 16:30:26.410,MERLO,FALSE,13682,5,,POINT (-122.843696 45.557173),48391,728,FALSE,13683,6,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:26:27.323,13893354,bus,3619
180,6767,14,1,<DATE> @ 16:31:24.748,MERLO,FALSE,14095,7,,POINT (-122.836886 45.555186),48458,728,FALSE,10108,8,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:27:27.379,13893354,bus,3619
180,6767,-32,1,<DATE> @ 16:32:27.179,MERLO,FALSE,10108,8,,POINT (-122.836897 45.55375),48475,728,FALSE,10109,9,FALSE,084C8D,67,Bus,<DATE> @ 03:00:00.000,67 To Merlo Rd Max Station,67  Bethany/158th to Merlo Rd Max Station,vm,<DATE> @ 16:28:30.726,13893354,bus,3619
