trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
0,7003,-67,0,<DATE> @ 15:55:20.868,CENTER,FALSE,6592,32,,POINT (-122.653619 45.523567),46213,780,FALSE,6582,33,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland,vm,<DATE> @ 15:51:24.774,13893465,bus,3147
81,7006,0,0,<DATE> @ 15:55:28.857,CENTER,FALSE,,,,POINT (-122.640731 45.444867),46288,792,FALSE,13477,1,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:51:29.931,13893467,bus,3570
355,7004,-354,0,<DATE> @ 15:55:27.857,CENTER,FALSE,14415,10,0,POINT (-122.648294 45.469996),45933,792,FALSE,14222,11,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:51:30.018,13893466,bus,4065
0,7003,-3,0,<DATE> @ 15:56:20.145,CENTER,FALSE,6592,32,,POINT (-122.65359 45.52745),46337,780,FALSE,6582,33,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland,vm,<DATE> @ 15:52:21.295,13893465,bus,3147
81,7006,0,0,<DATE> @ 15:56:30.212,CENTER,FALSE,,,,POINT (-122.640731 45.444867),46350,792,FALSE,13477,1,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:52:32.911,13893467,bus,3570
355,7004,-363,0,<DATE> @ 15:56:30.212,CENTER,FALSE,14222,11,0,POINT (-122.648662 45.473048),45987,792,FALSE,3912,12,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:52:32.936,13893466,bus,4065
336,7003,17,0,<DATE> @ 15:57:20.474,CENTER,FALSE,6582,33,,POINT (-122.654435 45.529224),46417,780,FALSE,8513,34,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland,vm,<DATE> @ 15:53:24.382,13893465,bus,3147
81,7006,0,0,<DATE> @ 15:57:28.548,CENTER,FALSE,,,,POINT (-122.640731 45.444867),46408,792,FALSE,13477,1,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:53:30.249,13893467,bus,3570
355,7004,-370,0,<DATE> @ 15:57:31.548,CENTER,FALSE,3912,12,0,POINT (-122.64904 45.476165),46041,792,FALSE,3947,13,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:53:33.048,13893466,bus,4065
355,7004,-356,0,<DATE> @ 15:58:01.713,CENTER,FALSE,3947,13,0,POINT (-122.649337 45.47865),46085,792,FALSE,3940,14,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To NE Sunderland,70  12th/NE 33rd Ave to NE Sunderland via SE Ladd & 21st,vm,<DATE> @ 15:54:03.248,13893466,bus,4065
