trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
0,7002,7,0,<DATE> @ 15:55:37.881,CENTER,FALSE,7378,61,,POINT (-122.630655 45.569611),46304,783,FALSE,7389,62,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:51:38.932,13893464,bus,3120
287,7002,41,0,<DATE> @ 15:56:37.237,CENTER,FALSE,7369,63,,POINT (-122.632708 45.574096),46398,783,FALSE,8508,64,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:52:38.903,13893464,bus,3120
286,7002,40,0,<DATE> @ 15:57:22.459,CENTER,FALSE,8508,64,,POINT (-122.636771 45.574976),46442,783,FALSE,1115,65,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:53:24.350,13893464,bus,3120
0,7003,-10,0,<DATE> @ 15:58:17.838,CENTER,FALSE,8513,34,,POINT (-122.654579 45.53015),46447,783,FALSE,4047,35,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:54:21.444,13893465,bus,3147
0,7002,77,0,<DATE> @ 15:58:21.867,CENTER,FALSE,8303,67,,POINT (-122.643934 45.577669),46538,783,FALSE,7105,68,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:54:24.322,13893464,bus,3120
90,7003,-5,0,<DATE> @ 15:59:17.144,CENTER,FALSE,8513,34,,POINT (-122.652633 45.531482),46512,783,FALSE,4047,35,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:55:18.225,13893465,bus,3147
118,7002,87,0,<DATE> @ 15:59:22.177,CENTER,FALSE,8883,69,,POINT (-122.643134 45.582108),46609,783,FALSE,8854,70,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:55:24.684,13893464,bus,3120
89,7002,125,0,<DATE> @ 16:00:24.504,CENTER,FALSE,9550,71,,POINT (-122.634168 45.580075),46709,783,FALSE,4912,72,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:56:27.221,13893464,bus,3120
89,7003,4,0,<DATE> @ 16:00:32.559,CENTER,FALSE,4048,36,,POINT (-122.647549 45.531451),46596,783,FALSE,4050,37,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:56:36.056,13893465,bus,3147
89,7002,103,0,<DATE> @ 16:00:51.704,CENTER,FALSE,9550,71,,POINT (-122.633662 45.580075),46714,783,FALSE,4912,72,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:56:54.267,13893464,bus,3120
0,7003,7,0,<DATE> @ 16:01:33.964,CENTER,FALSE,4050,37,,POINT (-122.64485 45.532232),46660,783,FALSE,7107,38,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:57:36.304,13893465,bus,3147
336,7002,213,0,<DATE> @ 16:02:22.293,CENTER,FALSE,9339,75,,POINT (-122.634119 45.592887),46915,783,FALSE,11171,76,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:58:24.766,13893464,bus,3120
0,7003,-5,0,<DATE> @ 16:02:33.398,CENTER,FALSE,7107,38,,POINT (-122.644839 45.534149),46708,783,FALSE,7138,39,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:58:36.466,13893465,bus,3147
90,7003,11,0,<DATE> @ 16:03:18.617,CENTER,FALSE,6237,40,,POINT (-122.641284 45.534297),46769,783,FALSE,6239,41,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:59:21.377,13893465,bus,3147
180,7002,228,0,<DATE> @ 16:03:22.699,CENTER,FALSE,11171,76,,POINT (-122.63577 45.593183),46990,783,FALSE,9367,77,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 15:59:24.203,13893464,bus,3120
89,7003,32,0,<DATE> @ 16:04:38.204,CENTER,FALSE,636,42,,POINT (-122.636434 45.535164),46870,783,FALSE,638,43,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:00:39.368,13893465,bus,3147
89,7003,1,0,<DATE> @ 16:05:37.584,CENTER,FALSE,638,43,,POINT (-122.634748 45.535112),46898,783,FALSE,642,44,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:01:39.273,13893465,bus,3147
89,7003,-24,0,<DATE> @ 16:06:37.910,CENTER,FALSE,638,43,,POINT (-122.632765 45.535161),46933,783,FALSE,642,44,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:02:39.604,13893465,bus,3147
90,7003,-66,0,<DATE> @ 16:07:24.126,CENTER,FALSE,642,44,,POINT (-122.632416 45.53516),46938,783,FALSE,7392,45,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:03:27.086,13893465,bus,3147
90,7003,-103,0,<DATE> @ 16:08:25.523,CENTER,FALSE,642,44,,POINT (-122.630982 45.535159),46962,783,FALSE,7392,45,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:04:30.825,13893465,bus,3147
359,7003,-122,0,<DATE> @ 16:09:36.995,CENTER,FALSE,7392,45,,POINT (-122.630673 45.538117),47014,783,FALSE,7402,46,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:05:39.382,13893465,bus,3147
359,7003,-120,0,<DATE> @ 16:10:21.313,CENTER,FALSE,7365,47,,POINT (-122.630683 45.541569),47061,783,FALSE,7385,48,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:06:24.477,13893465,bus,3147
359,7003,-90,0,<DATE> @ 16:11:21.562,CENTER,FALSE,7395,50,,POINT (-122.630701 45.548133),47151,783,FALSE,7373,51,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:07:24.594,13893465,bus,3147
0,7003,-79,0,<DATE> @ 16:12:16.899,CENTER,FALSE,7393,52,,POINT (-122.630689 45.552066),47217,783,FALSE,7398,53,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:08:18.359,13893465,bus,3147
0,7003,-109,0,<DATE> @ 16:13:38.407,CENTER,FALSE,7398,53,,POINT (-122.630684 45.555063),47269,783,FALSE,7390,54,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:09:39.462,13893465,bus,3147
0,7003,-98,0,<DATE> @ 16:14:29.623,CENTER,FALSE,7364,55,,POINT (-122.630675 45.558614),47331,783,FALSE,7404,56,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:10:33.444,13893465,bus,3147
0,7003,-98,0,<DATE> @ 16:15:38.105,CENTER,FALSE,7371,57,,POINT (-122.630667 45.562568),47400,783,FALSE,7383,58,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:11:39.467,13893465,bus,3147
0,7003,-82,0,<DATE> @ 16:16:16.313,CENTER,FALSE,7380,59,,POINT (-122.63066 45.566212),47454,783,FALSE,7362,60,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:12:18.095,13893465,bus,3147
342,7003,-31,0,<DATE> @ 16:17:17.706,CENTER,FALSE,7369,63,,POINT (-122.62986 45.573471),47566,783,FALSE,8508,64,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:13:24.941,13893465,bus,3147
288,7003,36,0,<DATE> @ 16:18:16.001,CENTER,FALSE,1115,65,,POINT (-122.641296 45.575968),47692,783,FALSE,8498,66,FALSE,084C8D,70,Bus,<DATE> @ 03:00:00.000,70 To Sunderland,70  33rd Ave to NE Sunderland,vm,<DATE> @ 16:14:18.624,13893465,bus,3147
