trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
174,7244,0,0,<DATE> @ 15:55:37.866,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46297,766,FALSE,13248,1,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:51:38.790,13894293,bus,3313
359,7242,-94,0,<DATE> @ 15:55:37.928,POWELL,FALSE,7930,38,0,POINT (-122.579067 45.522616),46203,766,FALSE,7936,39,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:51:38.794,13894289,bus,3323
270,7238,-570,0,<DATE> @ 15:55:37.881,POWELL,FALSE,3174,89,0,POINT (-122.681866 45.562667),45727,767,FALSE,3170,90,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:51:38.854,13894285,bus,3909
1,7201,-140,0,<DATE> @ 15:55:37.881,CENTER,FALSE,8040,21,,POINT (-122.578804 45.490051),46157,768,FALSE,7984,22,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Shipyards,vm,<DATE> @ 15:51:38.934,13894290,bus,3106
352,7211,-120,0,<DATE> @ 15:55:37.913,CENTER,FALSE,13248,1,0,POINT (-122.569143 45.436187),46177,766,FALSE,12922,2,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:51:38.949,13894292,bus,3118
0,7250,-30,0,<DATE> @ 15:56:16.143,POWELL,FALSE,7927,57,0,POINT (-122.578546 45.559382),46306,767,FALSE,3216,58,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:52:18.254,13894288,bus,3307
270,7239,108,0,<DATE> @ 15:56:18.160,POWELL,FALSE,3174,89,0,POINT (-122.681901 45.562667),46446,767,FALSE,3170,90,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:52:21.100,13894286,bus,3757
0,7201,-162,0,<DATE> @ 15:56:26.179,CENTER,FALSE,7984,22,,POINT (-122.578808 45.491033),46184,768,FALSE,7935,23,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Shipyards,vm,<DATE> @ 15:52:30.590,13894290,bus,3106
320,7209,-64,0,<DATE> @ 15:56:31.196,CENTER,FALSE,7946,9,0,POINT (-122.579036 45.464662),46287,766,FALSE,7953,10,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:52:32.899,13894291,bus,3534
0,7242,-88,0,<DATE> @ 15:56:33.234,POWELL,FALSE,7955,40,0,POINT (-122.579059 45.525533),46265,766,FALSE,7972,41,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:52:36.029,13894289,bus,3323
174,7244,0,0,<DATE> @ 15:56:38.223,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46358,766,FALSE,13248,1,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:52:38.805,13894293,bus,3313
270,7238,-571,0,<DATE> @ 15:56:38.223,POWELL,FALSE,3159,91,0,POINT (-122.685805 45.562686),45787,767,FALSE,3163,92,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:52:38.862,13894285,bus,3909
179,7240,-94,0,<DATE> @ 15:56:37.331,POWELL,FALSE,7328,73,0,POINT (-122.634892 45.559487),46263,767,FALSE,7326,74,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:52:38.863,13894287,bus,3927
270,7211,-89,0,<DATE> @ 15:56:38.223,CENTER,FALSE,13248,1,0,POINT (-122.57185 45.437224),46269,766,FALSE,12922,2,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:52:38.910,13894292,bus,3118
174,7244,0,0,<DATE> @ 15:57:10.448,POWELL,FALSE,,,,POINT (-122.568589 45.435678),46390,766,FALSE,13248,1,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:53:15.144,13894293,bus,3313
270,7238,-509,0,<DATE> @ 15:57:10.448,POWELL,FALSE,3180,93,0,POINT (-122.691834 45.562738),45881,767,FALSE,3161,94,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:53:15.337,13894285,bus,3909
269,7250,-25,0,<DATE> @ 15:57:16.436,POWELL,FALSE,7927,57,0,POINT (-122.579019 45.562667),46371,767,FALSE,3216,58,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:53:18.128,13894288,bus,3307
359,7209,-25,0,<DATE> @ 15:57:25.509,CENTER,FALSE,7993,11,0,POINT (-122.579055 45.468967),46380,766,FALSE,7962,12,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:53:30.223,13894291,bus,3534
0,7201,-170,0,<DATE> @ 15:57:26.509,CENTER,FALSE,7984,22,,POINT (-122.578789 45.492469),46236,768,FALSE,7935,23,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Shipyards,vm,<DATE> @ 15:53:30.257,13894290,bus,3106
270,7239,102,0,<DATE> @ 15:57:31.564,POWELL,FALSE,3159,91,0,POINT (-122.686255 45.562689),46513,767,FALSE,3163,92,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:53:32.932,13894286,bus,3757
271,7211,-91,0,<DATE> @ 15:57:31.548,CENTER,FALSE,13248,1,0,POINT (-122.573947 45.43741),46320,766,FALSE,12922,2,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:53:33.015,13894292,bus,3118
0,7242,-133,0,<DATE> @ 15:57:33.552,POWELL,FALSE,7955,40,0,POINT (-122.579055 45.526201),46280,766,FALSE,7972,41,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Anchor St,vm,<DATE> @ 15:53:36.149,13894289,bus,3323
270,7240,-100,0,<DATE> @ 15:57:36.591,POWELL,FALSE,7326,74,0,POINT (-122.637781 45.559048),46316,767,FALSE,64,75,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:53:39.087,13894287,bus,3927
269,7250,24,0,<DATE> @ 15:58:16.816,POWELL,FALSE,3215,59,0,POINT (-122.587682 45.562655),46480,767,FALSE,3212,60,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth St to Swan Island-Anchor St,vm,<DATE> @ 15:54:18.002,13894288,bus,3307
0,7201,-155,0,<DATE> @ 15:58:19.820,CENTER,FALSE,7943,24,,POINT (-122.578764 45.494219),46304,768,FALSE,8031,25,FALSE,084C8D,72,Bus,<DATE> @ 03:00:00.000,72 Swan Island,72  Killingsworth/82nd to Swan Island-Shipyards,vm,<DATE> @ 15:54:21.420,13894290,bus,3106
